id,igbo,english,domain,source,quality_score,rejection_reasons
MON039,Ha nwere nzukọ gbasara azụmahịa ha.,they has a business.,business,baseline_model_round_1,100,
MON040,Onye nwe ụlọ ahịa ahụ na-elekọta ndị ọrụ ya.,the company hired a person for the company.,business,baseline_model_round_1,100,
MON041,Omenala Igbo nwere ọtụtụ ihe pụrụ iche.,many traditions is a person.,culture,baseline_model_round_1,100,
MON042,Ndị obodo na-eme emume kwa afọ.,the community prepared for celebrations.,culture,baseline_model_round_1,100,
MON043,Ezinụlọ ahụ kwadebere maka emume ọdịnala.,the family is traditional for the family.,culture,baseline_model_round_1,100,
MON044,Ndị okenye na-akụziri ụmụaka omenala.,children should know their culture.,culture,baseline_model_round_1,100,
MON045,A na-asọpụrụ ndị okenye n'obodo.,the community prepared the community.,culture,baseline_model_round_1,100,
MON046,Egwu ọdịnala na-atọ ọtụtụ mmadụ ụtọ.,many people use music is traditional music.,culture,baseline_model_round_1,100,
MON047,Ndị mmadụ gbakọtara maka emume ahụ.,people speak for the celebration.,culture,baseline_model_round_1,100,
MON048,Akụkọ ndị nna nna bara uru nke ukwuu.,the stories of ancestors.,culture,baseline_model_round_1,100,
MON049,Ụmụaka na-amụta egwu ọdịnala n'ụlọ akwụkwọ.,the children are playing of the children from school.,culture,baseline_model_round_1,100,
MON050,Omenala na-ejikọta ndị mmadụ ọnụ.,people together brings culture.,culture,baseline_model_round_1,100,
MON051,Ndị obodo na-akwado emume ha nke ọma.,they have a community development.,culture,baseline_model_round_1,100,
MON052,A na-eji egwu eme emume dị iche iche.,music is uses igbo people.,culture,baseline_model_round_1,100,
MON053,Ndị okenye kọọrọ ụmụaka akụkọ n'abalị.,the children learned about a story.,culture,baseline_model_round_1,100,
MON054,Asụsụ bụ akụkụ dị mkpa nke omenala.,learning is an important part of culture.,culture,baseline_model_round_1,100,
MON056,Emume ahụ malitere n'ehihie.,the celebration took place in the celebration.,culture,baseline_model_round_1,100,
MON057,Ndị mmadụ yi uwe ọdịnala n'emume ahụ.,people wore traditional clothes.,culture,baseline_model_round_1,100,
MON059,Omenala na-agbanwe nwayọọ nwayọọ.,culture are an important.,culture,baseline_model_round_1,100,
MON063,Ebee ka ị na-aga?,where are you doing?,daily_conversation,baseline_model_round_1,100,
MON064,Ana m aga n'ụlọ.,i am going home.,daily_conversation,baseline_model_round_1,100,
MON066,Achọrọ m ịjụ gị ajụjụ.,i want to learn.,daily_conversation,baseline_model_round_1,100,
MON067,Gịnị ka ị na-eme ugbu a?,what are you doing?,daily_conversation,baseline_model_round_1,100,
MON068,Ana m agụ akwụkwọ.,i am going to school.,daily_conversation,baseline_model_round_1,100,
MON069,Ị nwere oge taa?,do you have time?,daily_conversation,baseline_model_round_1,100,
MON071,Biko chere obere oge.,please for a moment.,daily_conversation,baseline_model_round_1,100,
MON072,A ga m alaghachi echi.,i am not feeling well.,daily_conversation,baseline_model_round_1,100,
MON074,Aghọtara m ihe ị kwuru.,you are you doing?,daily_conversation,baseline_model_round_1,100,
MON077,"Ọ dị mma, enweghị nsogbu.",it is not good.,daily_conversation,baseline_model_round_1,100,
MON079,A hụrụ m gị n'anya.,i am at home.,daily_conversation,baseline_model_round_1,100,
MON081,Ụmụ akwụkwọ na-amụ ihe n'ụlọ akwụkwọ.,the students study at home.,education,baseline_model_round_1,100,
MON082,Onye nkuzi na-akọwa ihe ọhụrụ.,the teacher explained the teacher.,education,baseline_model_round_1,100,
MON083,Akwụkwọ a nwere ọtụtụ ihe ọmụma.,many young people has a book.,education,baseline_model_round_1,100,
MON085,Ụmụ akwụkwọ na-akwadebe maka ule.,the students are an important for an examination.,education,baseline_model_round_1,100,
MON087,Ụlọ akwụkwọ ahụ nwere nnukwu ọbá akwụkwọ.,the student has a big dream.,education,baseline_model_round_1,100,
MON088,Ọ na-agụ akwụkwọ kwa mgbede.,he has a book.,education,baseline_model_round_1,100,
MON089,Ụmụ akwụkwọ na-ajụ ajụjụ n'oge klaasị.,the students study in the classroom.,education,baseline_model_round_1,100,
MON090,Agụmakwụkwọ dị mkpa maka ọdịnihu.,education is important for crops.,education,baseline_model_round_1,100,
MON091,Onye nkuzi dere ihe n'elu bọọdụ.,the teacher gave marks.,education,baseline_model_round_1,100,
MON093,Akwụkwọ kọmputa dị n'elu tebụl.,the book is on the book.,education,baseline_model_round_1,100,
MON094,Ọ na-amụ sayensị na mgbakọ na mwepụ.,he studies learning about culture.,education,baseline_model_round_1,100,
MON095,Ule ahụ ga-amalite n'izu na-abịa.,the examination will took place in the town.,education,baseline_model_round_1,100,
MON096,Ụmụ akwụkwọ na-arụ ọrụ ọnụ.,the students work together.,education,baseline_model_round_1,100,
MON097,Ọgụgụ na-enyere mmadụ aka ịmụ ihe.,learning helps a person.,education,baseline_model_round_1,100,
MON098,Onye nkuzi jụrụ ajụjụ dị mkpa.,the teacher is important part of the teacher.,education,baseline_model_round_1,100,
MON099,Ụmụ akwụkwọ ahụ gafere ule ha.,the students wrote their examination.,education,baseline_model_round_1,100,
MON100,Ọ chọrọ ịga mahadum n'ọdịnihu.,he wants to go to university.,education,baseline_model_round_1,100,
MON101,Ụtụtụ a dị jụụ nke ukwuu.,the morning is good.,general,baseline_model_round_1,100,
MON102,Anyanwụ na-enwu taa.,the phone is satisfied.,general,baseline_model_round_1,100,
MON103,E nwere ọtụtụ mmadụ n'okporo ụzọ.,many people love has a person.,general,baseline_model_round_1,100,
MON104,Nwa ahụ na-egwu egwu n'èzí.,the family works on time.,general,baseline_model_round_1,100,
MON106,Anyị gara njem n'ụtụtụ.,we went to a good morning.,general,baseline_model_round_1,100,
MON107,Ụlọ ahụ dị nso n'ahịa.,the market is at home.,general,baseline_model_round_1,100,
MON108,Ọtụtụ mmadụ nọ n'ụlọ.,many people speak at home.,general,baseline_model_round_1,100,
MON110,Ọ na-ehi ụra ugbu a.,he wants to a person.,general,baseline_model_round_1,100,
MON111,Ụbọchị taa dị ọkụ.,the business is good.,general,baseline_model_round_1,100,
MON112,Ndị enyi ahụ na-akparịta ụka.,the people welcomed the file.,general,baseline_model_round_1,100,
MON113,Ọ zụtara uwe ọhụrụ.,he received a new email.,general,baseline_model_round_1,100,
MON114,Anyị na-echere ụgbọ ala.,we will plant crops tomorrow.,general,baseline_model_round_1,100,
MON115,Ọtụtụ ụmụaka na-egwu bọl.,the children are many traditions.,general,baseline_model_round_1,100,
MON116,Nne na nna ya nọ n'ụlọ.,the children are in the bank.,general,baseline_model_round_1,100,
MON118,Ọ gara ịzụ nri.,he went to a food.,general,baseline_model_round_1,100,
MON119,Ha biri n'obodo ahụ ogologo oge.,they irrigate during the town.,general,baseline_model_round_1,100,
MON121,Gọọmenti na-arụ ọrụ maka ụmụ amaala.,the government builds schools.,government,baseline_model_round_1,100,
MON122,Ndị obodo chọrọ ezi ọchịchị.,the community want to know.,government,baseline_model_round_1,100,
MON123,A họpụtara onye isi ọhụrụ.,the new leader made a new law.,government,baseline_model_round_1,100,
MON124,Ụlọ ọrụ gọọmenti na-enye ọrụ dị iche iche.,the government provides different services.,government,baseline_model_round_1,100,
MON125,Ndị mmadụ gara votu n'ụbọchị ntuli aka.,people have a good day.,government,baseline_model_round_1,100,
MON126,Iwu obodo kwesịrị ichebe ụmụ amaala.,the students should learn.,government,baseline_model_round_1,100,
MON127,Gọọmenti kwupụtara atụmatụ ọhụrụ.,the government supports new law.,government,baseline_model_round_1,100,
MON130,Ọrụ gọọmenti chọrọ ndị ọrụ nwere ahụmahụ.,the government supports requires their work.,government,baseline_model_round_1,100,
MON131,Ndị mmadụ na-atụ anya mgbanwe dị mma.,people seek a good life.,government,baseline_model_round_1,100,
MON132,Onye isi ahụ kwuru okwu n'ihu ọha.,the leader gave a promise.,government,baseline_model_round_1,100,
MON135,Ndị ọrụ na-arụ ọrụ n'ụlọ ọrụ ọha.,the company work on the work.,government,baseline_model_round_1,100,
MON137,Ndị obodo kwuru echiche ha.,they have an idea.,government,baseline_model_round_1,100,
MON138,Gọọmenti na-akwado agụmakwụkwọ.,the government supports education.,government,baseline_model_round_1,100,
MON139,Ndị ọchịchị kwesịrị ige ntị n'ọnụ ndị mmadụ.,people should at the government together.,government,baseline_model_round_1,100,
MON140,Mmepe obodo chọrọ nkwado onye ọ bụla.,he needs to the community.,government,baseline_model_round_1,100,
MON141,Ahụ ike dị mkpa maka mmadụ niile.,people can is important in the body.,health,baseline_model_round_1,100,
MON142,Ọ gara ụlọ ọgwụ n'ụtụtụ.,he went to the hospital in the hospital.,health,baseline_model_round_1,100,
MON143,Dọkịta nyochara onye ọrịa ahụ.,the patient should the doctor the patient.,health,baseline_model_round_1,100,
MON144,Ọ na-enwe ahụ ọkụ.,he has a fever.,health,baseline_model_round_1,100,
MON145,Ndị mmadụ kwesịrị ịṅụ mmiri zuru oke.,people should tell the truth.,health,baseline_model_round_1,100,
MON147,Ọgwụ ahụ dị n'elu tebụl.,the hospital is on the hospital.,health,baseline_model_round_1,100,
MON148,Onye ọrịa ahụ na-agbake nke ọma.,the patient is a good.,health,baseline_model_round_1,100,
MON149,Dọkịta nyere ya ndụmọdụ.,the doctor gave advice.,health,baseline_model_round_1,100,
MON150,Ezinụlọ ahụ gara ụlọ ọgwụ.,the family went to the hospital.,health,baseline_model_round_1,100,
MON151,Ọ dị mkpa iri nri na-edozi ahụ.,it is important to eat an important to eat different foods.,health,baseline_model_round_1,100,
MON152,Ụra zuru oke na-enyere ahụ aka.,the body helps the body.,health,baseline_model_round_1,100,
MON153,Ọ na-enwe mgbu n'afọ.,he has stomach pain.,health,baseline_model_round_1,100,
MON154,Nọọsụ nyere onye ọrịa aka.,the patient gave a person.,health,baseline_model_round_1,100,
MON155,A ga-eme nyocha ahụ echi.,the market research was helpful.,health,baseline_model_round_1,100,
MON156,Ọrịa nwere ike imetụta ọtụtụ mmadụ.,many people can affect a person.,health,baseline_model_round_1,100,
MON157,Ọ na-agbaso ndụmọdụ dọkịta.,he does not always his medicine.,health,baseline_model_round_1,100,
MON158,Ahụ ya adịghị ya mma taa.,the doctor is good.,health,baseline_model_round_1,100,
MON160,Ịdị ọcha dị mkpa maka ahụ ike.,healthy food is important for the body.,health,baseline_model_round_1,100,
MON161,Ndị mmadụ gara ụlọ ekpere n'ụtụtụ.,people go to worship in the morning.,religion,baseline_model_round_1,100,
MON162,Ọ na-ekpe ekpere kwa ụbọchị.,he is every day.,religion,baseline_model_round_1,100,
MON163,Ezinụlọ ahụ gara ụka ọnụ.,the family went to the family.,religion,baseline_model_round_1,100,
MON164,Ndị mmadụ na-ekele Chineke maka ndụ.,people seek a good for the celebration.,religion,baseline_model_round_1,100,
MON165,Onye ụkọchukwu kwuru okwu n'ihu ọha.,the patient gave a person in the farm.,religion,baseline_model_round_1,100,
MON166,Ekpere na-enye ọtụtụ mmadụ olileanya.,many people seek a good quality.,religion,baseline_model_round_1,100,
MON167,Ndị kwere ekwe gbakọtara maka emume.,people ask for celebrations.,religion,baseline_model_round_1,100,
MON169,Ụlọ ekpere ahụ jupụtara na ndị mmadụ.,people seek a person ' s care.,religion,baseline_model_round_1,100,
MON170,Ha na-ekpe ekpere maka ezinụlọ ha.,they pray for their family.,religion,baseline_model_round_1,100,
MON171,Ndị mmadụ na-enyere ndị nọ na mkpa aka.,people help one another.,religion,baseline_model_round_1,100,
MON172,Okwukwe bụ ihe dị mkpa nye ọtụtụ mmadụ.,many people are an important part.,religion,baseline_model_round_1,100,
MON173,Ezinụlọ ahụ na-ekpe ekpere ọnụ.,the family is the family.,religion,baseline_model_round_1,100,
MON174,A na-eme emume okpukpe kwa afọ.,this soil for planting.,religion,baseline_model_round_1,100,
MON176,Ndị mmadụ na-ege ntị n'okwu onye ndu.,people gave the farm.,religion,baseline_model_round_1,100,
MON177,Ọtụtụ mmadụ na-achọ udo na olileanya.,many people seek a good life.,religion,baseline_model_round_1,100,
MON178,Ha nyere ndị ogbenye nri.,they gave the food.,religion,baseline_model_round_1,100,
MON179,Ndị mmadụ gbakọtara n'udo.,people seek a peace.,religion,baseline_model_round_1,100,
MON180,Ọ na-akwanyere nkwenkwe ndị ọzọ ùgwù.,he uses the igbo people respect.,religion,baseline_model_round_1,100,
MON181,Kọmputa dị mkpa n'oge a.,this computer is important to a computer during the body.,technology,baseline_model_round_1,100,
MON182,Ọ na-eji ekwentị ya kwa ụbọchị.,he uses the phone.,technology,baseline_model_round_1,100,
MON184,Onye mmemme na-ede koodu ọhụrụ.,the programmer checked the code.,technology,baseline_model_round_1,100,
MON185,A na-echekwa data n'ime nchekwa kọmputa.,a database in a database.,technology,baseline_model_round_1,100,
MON186,Ụlọ ọrụ ahụ mepụtara ngwa ọhụrụ.,the company new employee.,technology,baseline_model_round_1,100,
MON187,Ọ na-amụ banyere ọgụgụ isi mmadụ.,he is learning a person.,technology,baseline_model_round_1,100,
MON188,Ekwentị ahụ nwere batrị ọhụrụ.,the new has a new phone.,technology,baseline_model_round_1,100,
MON189,Ndị ọrụ na-eji ngwanrọ arụ ọrụ.,the work uses jobs.,technology,baseline_model_round_1,100,
MON191,Ọ na-amụta otú e si emepụta weebụsaịtị.,he learned how to a person achieve.,technology,baseline_model_round_1,100,
MON192,Kọmputa ahụ anaghị arụ ọrụ nke ọma.,the computer is not working.,technology,baseline_model_round_1,100,
MON195,Ọtụtụ mmadụ na-eji ngwa mkpanaka.,many people use music for many people.,technology,baseline_model_round_1,100,
MON196,Sistemụ ahụ na-arụ ọrụ ngwa ngwa.,the student works on time.,technology,baseline_model_round_1,100,
MON197,A na-eji nchekwa data echekwa ozi.,a database contains a database.,technology,baseline_model_round_1,100,
MON198,Ọ mụtara asụsụ mmemme ọhụrụ.,he learned a new.,technology,baseline_model_round_1,100,
MON199,Teknụzụ nwere ike ime ka ọrụ dị mfe.,hard work is a person.,technology,baseline_model_round_1,100,
