file,target,current,igbo,english,domain,source
,,,Anyi gara ulo akwukwo taa,We went to school today,Education,Manual
,,,Ntụgharị a ziri ezi,This translation is accurate,Translation,Manual
,,,Kemistri siri ike,Chemistry is difficult,Education,Manual
glossary,300.0,0.0,,,,
secondary,150.0,0.0,,,,
,,,Ebudaram ihe omumu ahu,I downloaded the course material,Education,Manual
,,,Deep learning na-achọ nnukwu data,Deep learning requires large datasets,AI_ML,Manual
,,,Portal ulo akwukwo na aru oru nke oma,The school portal is functioning properly,Education,Manual
,,,Kọmputa,Computer,Technology,Manual
,,,Anyi jikọtara sava ahụ,We connected the server,Technology,Manual
,,,Anyi na-ewu translator ọhụrụ,We are building a new translator,Translation,Manual
,,,Nkuzi a di na sistemu online,This lesson is available online,Education,Manual
,,,Anyi sonyeere webinar taa,We attended a webinar today,Education,Manual
,,,Onye nkuzi sayensi abiara taa,The science teacher came today,Education,Manual
,,,Anyi guru sayensi taa,We studied science today,Education,Manual
,,,Aga m lelee vidiyo ahu ozo,I will watch the video again,Education,Manual
,,,Nri anụmanụ dị mkpa,Animal feed is important,Agriculture,Manual
,,,NLP na-enyere kọmputa ịghọta asụsụ,NLP helps computers understand language,NLP,Manual
,,,Onye nkuzi nyochara akwukwo ule anyi,The teacher marked our examination scripts,Education,Manual
,,,Onye ugbo,Farmer,Agriculture,Manual
,,,Data synthetic na-eme ka dataset buru ibu,Synthetic data increases dataset size,Education,Manual
,,,Anom na klaasi isii,I am in primary six,Education,Manual
,,,Anyi ga-emezi model n'ọdịnihu,We will improve the model in the future,Education,Manual
,,,Anyi kụrụ ọka n'ubi,We planted maize on the farm,Agriculture,Manual
,,,Ịntanetị,Internet,Technology,Manual
,,,Akwukwo nri,Vegetable,Agriculture,Manual
,,,NLP na-akwado ntụgharị asụsụ,NLP supports language translation,NLP,Manual
examinations,150.0,0.0,,,,
,,,Anyi na-amụ NLP n'ime oru ngo a,We study NLP in this project,Education,Manual
,,,Ehi ahụ dị ike,The cow is healthy,Agriculture,Manual
,,,Asụsụ mpaghara kwesịrị inweta nkwado teknụzụ,Local languages deserve technological support,Education,Manual
,,,Aga m eme presentation,I will make a presentation,Education,Manual
,,,Anyi mechara ule anyi,We completed our examination,Education,Manual
,,,Nsonaazụ ikpeazụ dị mma,The final results are good,Education,Manual
,,,Data validation nyere aka nyochaa model,Validation data helped evaluate the model,Education,Manual
,,,Ọbara,Blood,Health,Manual
,,,Abum nwa akwukwo mahadum,I am a university student,Education,Manual
,,,O dara ule ahu,He failed the examination,Education,Manual
,,,Anyi gara laboratory taa,We went to the laboratory today,Education,Manual
,,,Ule semester ga amalite n'izu na-abia,Semester examinations will begin next week,Education,Manual
,,,A na-eji algorithm zụọ model,A model is trained using algorithms,AI_ML,Manual
,,,Anom na klaasi ise,I am in primary five,Education,Manual
,,,Ọgụgụ isi arụpụtara na-enyere mmadụ aka,Artificial intelligence assists humans,AI_ML,Manual
,,,Neural Machine Translation na-eji deep learning,Neural Machine Translation uses deep learning,Education,Manual
,,,Ọka,Maize,Agriculture,Manual
,,,Mmemme,Program,Technology,Manual
,,,Model ahụ nwere ike ịtụgharị ederede,The model can translate text,Translation,Manual
,,,Aga m ebugo assignment m,I will upload my assignment,Education,Manual
,,,Ugbo anụmanụ bara uru,Livestock farming is profitable,Agriculture,Manual
,,,Anyi nwere practical laboratory,We have a laboratory practical,Education,Manual
,,,Neural network nwere ọtụtụ layers,A neural network contains many layers,AI_ML,Manual
,,,Vidiyo a bara uru nke ukwuu,This video is very useful,Education,Manual
,,,Enwerem lecture n'ututu,I have a lecture this morning,Education,Manual
,,,Data ka ukwuu na-enye ezigbo nsonaazụ,More data produces better results,AI_ML,Manual
,,,A na-eji tokenizer kewaa ederede,A tokenizer splits text into tokens,NLP,Manual
,,,Biology bu isiokwu m kacha amasiri,Biology is my favourite subject,Education,Manual
university,300.0,0.0,,,,
,,,Nchọpụta a na-elekwasị anya na asụsụ Igbo,This research focuses on the Igbo language,Education,Manual
,,,Anom na akwadebe maka ule,I am preparing for an examination,Education,Manual
,,,Model ahụ nwekwara ike ịtụgharị Bekee gaa Igbo,The model can also translate English to Igbo,Education,Manual
,,,Nyocha,Examination,Health,Manual
,,,Anyi nyefere assignment anyi,We submitted our assignment,Education,Manual
,,,A nyere ya ọgwụ,He was given medicine,Health,Manual
,,,Model ahụ nwere ike ime amụma,The model can make predictions,AI_ML,Manual
,,,Aga m ede JAMB,I will write JAMB,Education,Manual
,,,Onye nkuzi zipuru ihe omumu,The teacher sent the learning material,Education,Manual
,,,Ọkụkọ ahụ tinyere akwa,The chicken laid eggs,Agriculture,Manual
ai_ml,200.0,0.0,,,,
,,,Ntụgharị asụsụ dị ezigbo mkpa,Translation is very important,Translation,Manual
,,,Anyi chọrọ ezigbo dataset,We need a quality dataset,Education,Manual
,,,Anyi jiri Google Classroom muta ihe,We used Google Classroom to learn,Education,Manual
,,,M natara ozi email sitere n'aka onye nkuzi,I received an email from the lecturer,Education,Manual
,,,Ịntanetị anaghị arụ ọrụ taa,The internet is not working today,Technology,Manual
,,,Ọrịa,Sickness,Health,Manual
,,,Anyi kparita uka na forum mmuta,We discussed in the learning forum,Education,Manual
nlp,200.0,0.0,,,,
,,,Mmiri ozuzo nyere aka n'ugbo,Rainfall helped the farm,Agriculture,Manual
,,,Anyi natara nsonaazu anyi,We received our results,Education,Manual
,,,Anyi jiri Excel hazie data,We used Excel to organize data,Education,Manual
,,,Anyi chekwara model ikpeazụ,We saved the final model,Education,Manual
,,,A kụrụ osikapa n'ubi,Rice was planted on the farm,Agriculture,Manual
,,,Physics na-ato m uto,Physics interests me,Education,Manual
,,,Akara m di ala,My score is low,Education,Manual
,,,Dọkịta,Doctor,Health,Manual
,,,Anyi nyochara njehie ntụgharị asụsụ,We analyzed translation errors,Education,Manual
,,,Aga m ede report,I will write a report,Education,Manual
