english,igbo
"yes, i need help.","Ee, achọrọ m enyemaka."
he found the information online.,Ọ chọtara ozi ahụ n'ịntanetị.
people want to live in peace.,Ndị mmadụ chọrọ ibi n'udo.
we want to buy more food.,Anyị chọrọ ịzụtakwu nri.
the mother prays for her children.,Nne na-ekpe ekpere maka ụmụ ya.
i am going to the market.,Anọ m na-aga ahịa.
where do you live?,Kedu ebe ị bi?
diabetes requires regular care.,Ọrịa shuga chọrọ nlekọta mgbe niile.
the warehouse is full of maize.,Ụlọ nkwakọba ihe ahụ jupụtara n'ọka.
let us talk.,Ka anyị kwuo okwu.
working together is a good tradition.,Ịrụkọ ọrụ ọnụ bụ omenala dị mma.
language is an important part of culture.,Asụsụ bụ akụkụ dị mkpa nke omenala.
the children sat and listened to the story.,Ụmụaka nọdụrụ gee akụkọ ahụ ntị.
the children come to school on time.,Ụmụaka na-abịa n'ụlọ akwụkwọ n'oge.
he came in the morning.,Ọ bịara n'ụtụtụ.
people elect leaders.,Ndị mmadụ na-ahọpụta ndị isi.
they study english at school.,Ha na-amụ Bekee n'ụlọ akwụkwọ.
the teacher wrote on the board.,Onye nkuzi dere n'elu bọọdụ.
they used a machine to harvest the crops.,Ha ji igwe ewe ihe ubi.
his salary is good.,Ụgwọ ọnwa ya dị mma.
technology makes work easier.,Ụzụ na-eme ka ọrụ dị mfe.
"no, i do not understand.","Mba, aghọtaghị m."
healthy habits are important.,Omume ahụike dị mkpa.
the doctor gave the patient medicine.,Dọkịta nyere onye ọrịa ọgwụ.
the government provides public services.,Gọọmenti na-enye ọrụ ọha.
the students are sitting on chairs.,Ụmụ akwụkwọ nọ ọdụ n'oche.
farming is a source of income.,Ọrụ ugbo bụ isi iyi nke ego.
love brings people together.,Ịhụnanya na-eme ka ndị mmadụ dịrị n'otu.
he took a photo with his phone.,Ọ sere foto site na ekwentị ya.
the leader listens to the people.,Onye isi ahụ na-ege ndị mmadụ ntị.
people use music for celebrations.,Ndị mmadụ na-eji egwu eme emume.
the students wrote their examination.,Ụmụ akwụkwọ dere ule ha.
health workers work hard.,Ndị ọrụ ahụike na-arụsi ọrụ ike.
do not be afraid.,Atụla egwu.
students use computers to learn.,Ụmụ akwụkwọ na-eji kọmputa amụ ihe.
he has a new phone.,Ọ nwere ekwentị ọhụrụ.
the teacher checked the students' work.,Onye nkuzi nyochara ọrụ ụmụ akwụkwọ.
it is important to be careful during an outbreak.,Ọ dị mkpa ịkpachara anya n'oge ọrịa.
they study mathematics.,Ha na-amụ mgbakọ na mwepụ.
the neighbors helped the farmer.,Ndị agbata obi nyere onye ọrụ ugbo aka.
good afternoon.,Ehihie ọma.
the government uses public money for projects.,Gọọmenti na-eji ego ọha arụ ọrụ.
thank you.,Daalụ.
the shop closed at night.,Ụlọ ahịa ahụ mechiri n'abalị.
it is important to use technology properly.,Ọ dị mkpa iji teknụzụ mee ihe nke ọma.
the town has a long history.,Obodo ahụ nwere akụkọ ogologo.
hope is important during difficult times.,Olileanya dị mkpa n'oge nsogbu.
do you know the answer?,Ị ma azịza ya?
he is learning digital skills.,Ọ na-amụ nkà dijitalụ.
come here.,Abịala ebe a.
the government protects the environment.,Gọọmenti na-echekwa gburugburu ebe obibi.
development requires the support of the people.,Mmepe chọrọ nkwado nke ndị mmadụ.
i am happy.,Enwere m obi ụtọ.
look at this.,Lee nke a.
he stores data in a database.,Ọ na-echekwa data n'ime nchekwa.
people ask for help.,Ndị mmadụ na-arịọ maka enyemaka.
can you tell me?,Ị nwere ike ịgwa m?
they used chemicals to protect the crops.,Ha ji ọgwụ chebe ihe ọkụkụ.
the school teaches traditional history.,Ụlọ akwụkwọ ahụ na-akụzi akụkọ ọdịnala.
the family is the foundation of the community.,Ezinụlọ bụ isi obodo.
people gather at the place of worship.,Ndị mmadụ na-ezukọ n'ebe ofufe.
the farmer repaired his machine.,Onye ọrụ ugbo rụziri igwe ya.
welcoming visitors is an important tradition.,Ịnabata ọbịa bụ omenala dị mkpa.
weeds damage crops.,Ahịhịa na-emebi ihe ọkụkụ.
he called the technician.,Ọ kpọrọ onye na-ahụ maka teknụzụ.
music is part of igbo culture.,Egwu bụ akụkụ nke omenala Igbo.
the system makes work faster.,Usoro ahụ na-eme ka ọrụ dị ngwa.
the people welcomed the visitor.,Ndị mmadụ nabatara onye ọbịa.
the camera is not working.,Igwefoto ahụ anaghị arụ ọrụ.
the patient should check his health.,Onye ọrịa kwesịrị ịlele ahụike ya.
the web developer works on websites.,Onye nrụpụta weebụ na-arụ ọrụ na weebụsaịtị.
they helped the family.,Ha nyere ezinụlọ ahụ aka.
he rests when he is tired.,Ọ na-ezu ike mgbe ọ gwụrụ ike.
people want justice.,Ndị mmadụ chọrọ ikpe ziri ezi.
take care.,Jisie ike.
a lawyer helps people.,Onye ọka iwu na-enyere ndị mmadụ aka.
the government issues licenses.,Gọọmenti na-enye akwụkwọ ikike.
i am going to school.,Aga m ụlọ akwụkwọ.
you are wrong.,Ị mehiere.
it is important to eat different foods.,Ọ dị mkpa iri nri dị iche iche.
some names remember ancestors.,Aha ụfọdụ na-echeta ndị nna nna.
he built a website.,Ọ wuru weebụsaịtị.
people want to know how their money is used.,Ndị mmadụ chọrọ ịma otú e si eji ego ha.
parents teach their children igbo.,Ndị nne na nna na-akụziri ụmụ ha Igbo.
agriculture provides jobs for many people.,Ọrụ ugbo na-enye ọtụtụ mmadụ ọrụ.
wait a moment.,Chere ntakịrị.
learning is important.,Ọmụmụ ihe dị mkpa.
forgiving a person is good.,Ịgbaghara mmadụ bụ ihe ọma.
he learned a new skill.,Ọ mụtara nkà ọhụrụ.
we will move forward.,Anyị ga-aga n'ihu.
cleanliness helps prevent disease.,Ịdị ọcha na-enyere aka igbochi ọrịa.
children should learn their language.,Ụmụaka kwesịrị ịmụ asụsụ ha.
he exercises every morning.,Ọ na-eme mmega ahụ kwa ụtụtụ.
hope helps a person move forward.,Olileanya na-enyere mmadụ aka ịga n'ihu.
people have different beliefs.,Ndị mmadụ nwere nkwenkwe dị iche iche.
the price of the product is high.,Ọnụ ahịa ngwaahịa ahụ dị elu.
he returned the book.,Ọ laghachiri akwụkwọ ahụ.
the family goes to worship together.,Ezinụlọ na-aga ofufe ọnụ.
where are you?,Ebee ka ị nọ?
the people gave advice.,Ndị mmadụ nyere ndụmọdụ.
the library has many books.,Ọbá akwụkwọ ahụ nwere ọtụtụ akwụkwọ.
hard work helps a business.,Ịrụsi ọrụ ike na-enyere azụmahịa aka.
"yes, i have a phone.","Ee, enwere m ekwentị."
he has been coughing since yesterday.,Ọ na-asụ ụkwara kemgbe ụnyaahụ.
the illness started in the morning.,Ọrịa ahụ malitere n'ụtụtụ.
the worker repaired the computer.,Onye ọrụ ahụ rụziri kọmputa.
technology helps community development.,Ụzụ na-enyere mmepe obodo aka.
this job requires experience.,Ọrụ a chọrọ ahụmahụ.
online learning is popular.,Ọmụmụ ihe n'ịntanetị na-ewu ewu.
do you understand?,Ị ghọtara?
the product arrived on time.,Ngwaahịa ahụ rutere n'oge.
he asks for guidance.,Ọ na-arịọ maka nduzi.
the town has many places of worship.,Obodo ahụ nwere ọtụtụ ebe ofufe.
the night is quiet.,Abalị dị jụụ.
they deposited money in the bank.,Ha debere ego n'ụlọ akụ.
i do not know.,Amaghị m.
the doctor conducted an examination.,Dọkịta mere nyocha.
i am leaving now.,Aga m aga ugbu a.
they plant seeds in rows.,Ha na-akụ mkpụrụ n'ahịrị.
the harvest began.,Owuwe ihe ubi malitere.
the old building is part of the town's history.,Ụlọ ochie ahụ bụ akụkụ nke akụkọ obodo.
cleanliness helps prevent germs.,Ịdị ọcha na-enyere aka igbochi nje.
peace is important in a community.,Udo dị mkpa n'obodo.
leaders should be accountable.,Ndị isi kwesịrị ịza ajụjụ.
he paid through the bank.,Ọ kwụrụ ụgwọ site na ụlọ akụ.
the nurse helps the patient.,Nọọsụ na-enyere onye ọrịa aka.
the student likes science.,Nwa akwụkwọ ahụ hụrụ sayensị n'anya.
the government gave farmers seeds.,Gọọmenti nyere ndị ọrụ ugbo mkpụrụ.
the entrepreneur made a plan.,Onye ọchụnta ego mere atụmatụ.
it is important to take care of our health.,Ọ dị mkpa ilekọta ahụike anyị.
smoking damages health.,Ise siga na-emebi ahụike.
he washes his hands before eating.,Ọ na-asa aka ya tupu o rie nri.
the government supports education.,Gọọmenti na-akwado agụmakwụkwọ.
regular health checkups are important.,Nyocha ahụike mgbe niile dị mkpa.
it is important to drink enough water.,Ọ dị mkpa ịṅụ mmiri zuru oke.
the school is in the town.,Ụlọ akwụkwọ ahụ dị n'obodo.
the farmers received assistance.,Ndị ọrụ ugbo nwetara enyemaka.
he thanks god every day.,Ọ na-ekele Chineke kwa ụbọchị.
rain helps farmers.,Mmiri ozuzo na-enyere ndị ọrụ ugbo aka.
it is important to keep the environment clean.,Ọ dị mkpa idobe gburugburu ebe obibi ọcha.
i am not happy.,Obi adịghị m ụtọ.
he uses technology for learning.,Ọ na-eji teknụzụ eme mmụta.
i am not feeling well.,Anaghị m enwe ahụ ike.
he learned how to use a computer.,Ọ mụtara otu esi eji kọmputa.
he is at home.,Ọ nọ n'ụlọ.
the system has a problem.,Usoro ahụ nwere nsogbu.
the engineer repaired the system.,Onye injinia meziri usoro ahụ.
many people pray every day.,Ọtụtụ mmadụ na-ekpe ekpere kwa ụbọchị.
the programmer writes code.,Onye mmemme na-ede koodu.
the market for farm produce is good today.,Ahịa ihe ubi dị mma taa.
they gathered the harvest.,Ha kpọkọtara ihe ubi.
it is not good to take medicine without advice.,Ọ dịghị mma ịṅụ ọgwụ n'enweghị ndụmọdụ.
the customer is not satisfied.,Onye ahịa enweghị afọ ojuju.
what is your name?,Kedu aha gị?
the government manages the community.,Gọọmenti na-elekọta obodo.
a visitor came to the house.,Ọbịa bịara n'ụlọ ahụ.
what are you doing?,Kedu ihe ị na-eme?
he has pain in his body.,Ọ na-enwe ihe mgbu n'ahụ.
education is essential for community development.,Agụmakwụkwọ bụ isi ihe na mmepe obodo.
they sell food at the market.,Ha na-ere nri n'ahịa.
they discussed community problems.,Ha kwurịtara banyere nsogbu obodo.
proper planting increases the harvest.,Ịkụ ihe n'ụzọ ziri ezi na-abawanye ihe ubi.
the database contains a lot of information.,Ebe nchekwa data nwere ọtụtụ ozi.
he uses a computer to work.,Ọ na-eji kọmputa arụ ọrụ.
they started working early in the morning.,Ha malitere ịrụ ọrụ n'isi ụtụtụ.
the ubo-aka is one of the traditional musical instruments.,Ụbọ aka bụ otu n'ime ngwá egwu ọdịnala.
i will come tomorrow.,Aga m abịa echi.
he learned something new.,Ọ mụtara ihe ọhụrụ.
nothing happened.,Ọ dịghị ihe mere.
no problem.,Enweghị nsogbu.
i have an idea.,Enwere m echiche.
it rained well.,Mmiri ozuzo dara nke ọma.
the company sells products.,Ụlọ ọrụ ahụ na-ere ngwaahịa.
people helped the sick person.,Ndị mmadụ nyere onye ọrịa aka.
the students listened to the teacher.,Ụmụ akwụkwọ gere onye nkuzi ntị.
we should learn from history.,Anyị kwesịrị ịmụta ihe n'akụkọ ihe mere eme.
the grandmother told a story at night.,Nne ochie kọrọ akụkọ n'abalị.
teachers tell stories about the community.,Ndị nkuzi na-akọ akụkọ banyere obodo.
the farmers work on the farm.,Ndị ọrụ ugbo na-arụ ọrụ n'ubi.
the farmer detects disease in the plants.,Onye ọrụ ugbo na-achọpụta ọrịa n'osisi.
education helps a community develop.,Agụmakwụkwọ na-enyere obodo aka ito eto.
the teaching was useful.,Nkuzi ahụ bara uru.
do you have a phone?,Ị nwere ekwentị?
the students are doing well.,Ụmụ akwụkwọ na-eme nke ọma.
we expect a good harvest.,Anyị na-atụ anya ezigbo owuwe ihe ubi.
the police protect the community.,Polis na-echekwa obodo.
we should preserve our culture.,Anyị kwesịrị ichekwa omenala anyị.
they read the holy book.,Ha na-agụ akwụkwọ nsọ.
people should protect the environment.,Ndị mmadụ kwesịrị ichekwa gburugburu ebe obibi.
he backs up his files.,Ọ na-echekwa faịlụ ya.
who are you looking for?,Onye ka ị na-achọ?
the website is easy to use.,Weebụsaịtị ahụ dị mfe iji.
they listened to the speech.,Ha gere okwu ahụ ntị.
farming requires patience.,Ọrụ ugbo chọrọ ndidi.
the children helped their parents on the farm.,Ụmụaka nyere nne na nna ha aka n'ubi.
the farmer uses a hoe to work.,Onye ọrụ ugbo na-eji hoe arụ ọrụ.
he is studying for his examination.,Ọ na-amụ maka ule ya.
i am thirsty.,Akpịrị na-akpọ m nkụ.
the office provides public services.,Ụlọ ọrụ ahụ na-enye ọrụ ọha.
he went to a government office.,Ọ gara ụlọ ọrụ gọọmenti.
they did group work.,Ha mere ọrụ otu.
close the door.,Mechie ụzọ.
"yes, i need water.","Eeh, achọrọ m mmiri."
the community prepares food for visitors.,Ndị obodo na-akwadebe nri maka ndị ọbịa.
the customer called the company.,Onye ahịa kpọrọ ụlọ ọrụ ahụ.
it is raining.,Mmiri na-ezo.
call me when you arrive.,Kpọọ m mgbe ị rutere.
names are an important part of culture.,Aha bụ akụkụ dị mkpa nke omenala.
come here.,Bịa ebe a.
the hospital is nearby.,Ụlọ ọgwụ ahụ dị nso.
small businesses help families.,Obere azụmahịa na-enyere ezinụlọ aka.
the leader thanked the people.,Onye nduzi kelere ndị mmadụ.
we organized the farm work well.,Anyị haziri ọrụ ubi nke ọma.
what do you want?,Gịnị ka ị chọrọ?
the student passed the examination.,Nwa akwụkwọ ahụ gafere ule ahụ.
the children pray before they eat.,Ụmụaka na-ekpe ekpere tupu ha erie nri.
they gave food to the visitor.,Ha nyere ọbịa nri.
he is learning a programming language.,Ọ na-amụ asụsụ mmemme.
people dance at celebrations.,Ndị mmadụ na-agba egwu n'emume.
healthy food helps health.,Nri dị mma na-enyere ahụike aka.
research is important in education.,Nchọpụta dị mkpa na agụmakwụkwọ.
the student needs help.,Nwa akwụkwọ ahụ chọrọ enyemaka.
people wear traditional clothing for celebrations.,Ndị mmadụ na-eji akwa eme emume.
people remember special days.,Ndị mmadụ na-echeta ụbọchị pụrụ iche.
write your name.,Dee aha gị.
healthcare helps people live longer lives.,Nlekọta ahụike na-enyere ndị mmadụ aka ibi ndụ ogologo.
i do not like it.,Ọ masịghị m.
i want to eat.,Achọrọ m iri nri.
he is telling the truth.,Ọ na-ekwu eziokwu.
he sent the file.,Ọ zipụrụ faịlụ ahụ.
it is important to avoid too much stress.,Ọ dị mkpa izere nrụgide dị ukwuu.
his friends gave him support.,Ndị enyi nyere ya nkwado.
that yam is big.,Ji ahụ buru ibu.
many people saw the advertisement.,Ọtụtụ mmadụ hụrụ mgbasa ozi ahụ.
sit down.,Nọdụ ala.
the students work together.,Ụmụ akwụkwọ na-arụkọ ọrụ ọnụ.
it is important to listen in class.,Ọ dị mkpa ige ntị na klaasị.
computer viruses can damage data.,Nje kọmputa nwere ike imebi data.
the human body needs good food.,Ahụ mmadụ chọrọ ezigbo nri.
he recovered after receiving treatment.,Ọ gbakere mgbe ọ nwetara ọgwụgwọ.
the error caused the program to stop.,Njehie ahụ mere ka mmemme kwụsị.
the people elected a new leader.,Ndị mmadụ họpụtara onye isi ọhụrụ.
he found an error in the code.,Ọ chọtara njehie na koodu ahụ.
the student did not understand the question.,Nwa akwụkwọ ahụ aghọtaghị ajụjụ ahụ.
i have a question.,Enwere m ajụjụ.
it is important.,Ọ dị mkpa.
education opens the way to the future.,Agụmakwụkwọ na-emeghe ụzọ maka ọdịnihu.
the teacher helps the students.,Onye nkuzi na-enyere ụmụ akwụkwọ aka.
the teacher explained it again.,Onye nkuzi kọwara ya ọzọ.
the traditional celebration began in the morning.,Emume ọdịnala ahụ malitere n'ụtụtụ.
good evening.,Ka chi bọọ.
exercise makes the body strong.,Mmega ahụ na-eme ka ahụ sie ike.
they sing traditional songs.,Ha na-abụ abụ ọdịnala.
the farmer measured holes for the seeds.,Onye ọrụ ugbo tụrụ oghere maka mkpụrụ.
they want to know what customers want.,Ha chọrọ ịmata ihe ndị ahịa chọrọ.
i am fine.,Adị m mma.
i am at work.,Anọ m n'ọrụ.
the students attended the lecture.,Ụmụ akwụkwọ gara nkuzi.
please sit down.,Biko nọdụ ala.
it is important to respect others.,Ọ dị mkpa ịkwanyere ndị ọzọ ùgwù.
it has been a long time.,Ọ dịla anya.
he works full time.,Ọ na-arụ ọrụ oge niile.
it is hot today.,Ọ dị ọkụ taa.
he is going to work.,Ọ na-aga ọrụ.
the community needs security.,Obodo chọrọ nchekwa.
i am sleeping.,Ana m ehi ụra.
the farmer went to the farm.,Onye ọrụ ugbo gara n'ubi.
i am happy to meet you.,Obi dị m ụtọ izute gị.
he has a headache.,Ọ na-arịa isi.
read the book.,Gụọ akwụkwọ ahụ.
books help students.,Akwụkwọ na-enyere ụmụ akwụkwọ aka.
this is a book.,Nke a bụ akwụkwọ.
clean water is important.,Mmiri dị ọcha dị mkpa.
i know.,Ama m.
he paid the debt on time.,Ọ kwụrụ ụgwọ ahụ n'oge.
they discussed the business.,Ha kwurịtara banyere azụmahịa.
it is important to get vaccinated.,Ọ dị mkpa ịgba ọgwụ mgbochi ọrịa.
have a good day.,Ka ụbọchị ọma.
the computer is new.,Kọmputa ahụ dị ọhụrụ.
farming has challenges.,Ọrụ ugbo nwere ihe ịma aka.
python is a programming language.,Python bụ asụsụ mmemme.
the product came from another city.,Ngwaahịa ahụ sitere n'obodo ọzọ.
we should respect different cultures.,Anyị kwesịrị ịkwanyere omenala dị iche iche ùgwù.
a password protects an account.,Paswọọdụ na-echekwa akaụntụ.
the tractor ploughs the land.,Traktọ ahụ na-akọ ala.
the community worked together.,Ndị obodo rụkọrọ ọrụ ọnụ.
the company hired a new employee.,Ụlọ ọrụ ahụ goro onye ọrụ ọhụrụ.
hello.,Ndewo.
he received his document.,Ọ natara akwụkwọ ya.
i am coming now.,Abịa m ugbu a.
the business has a major challenge.,Azụmahịa ahụ nwere nnukwu ihe ịma aka.
the community leader has an important responsibility.,Onye isi obodo nwere ọrụ dị mkpa.
the employee received his salary.,Onye ọrụ nwetara ụgwọ ọnwa ya.
hardware can become old.,Akụrụngwa nwere ike ịka nká.
the customer paid for the product.,Onye ahịa kwụrụ ụgwọ ngwaahịa ahụ.
they harvest the crops on time.,Ha na-ewe ihe ubi n'oge.
i am afraid.,Atụrụ m egwu.
the company listened to customers' opinions.,Ụlọ ọrụ ahụ gere ntị n'echiche ndị ahịa.
the internet provides different information.,Ịntanetị na-enye ozi dị iche iche.
taxes help the government.,Ụtụ isi na-enyere gọọmenti aka.
he withdrew money from the bank.,Ọ wepụtara ego n'ụlọ akụ.
security software protects computers.,Ngwanrọ nchebe na-echebe kọmputa.
business requires good planning.,Azụmahịa chọrọ ezigbo atụmatụ.
they need money to expand the business.,Ha chọrọ ego iji gbasaa azụmahịa.
the maize grew well.,Ọka toro nke ọma.
transparency is important in governance.,Nghọta dị mkpa na ọchịchị.
he studied well.,Ọ gụrụ akwụkwọ nke ọma.
training helps farmers.,Ọzụzụ na-enyere ndị ọrụ ugbo aka.
disease can affect a community.,Ọrịa nwere ike imetụta obodo.
i like it.,Ọ masịrị m.
the igbo people respect visitors.,Ndị Igbo na-akwanyere ndị ọbịa ùgwù.
they found a solution to the problem.,Ha chọtara ngwọta maka nsogbu ahụ.
the code works well.,Koodu ahụ na-arụ ọrụ nke ọma.
people greet one another at celebrations.,Ndị mmadụ na-enye ibe ha ekele n'emume.
dancing is part of the celebration.,Ịgba egwu bụ akụkụ nke emume.
the examination was difficult.,Ule ahụ siri ike.
they wrote down their lessons.,Ha debere ihe ọmụmụ ha.
the employee got the job.,Onye ọrụ ahụ nwetara ọrụ ahụ.
the company uses digital systems.,Ụlọ ọrụ ahụ na-eji usoro dijitalụ.
it is eight o'clock.,Ọ bụ elekere asatọ.
the customer ordered a product.,Onye ahịa nyere iwu ngwaahịa.
plants need sunlight.,Osisi chọrọ ìhè anyanwụ.
the government builds hospitals.,Gọọmenti na-arụ ụlọ ọgwụ.
the trader sells clothes.,Onye na-ere ahịa na-ere uwe.
i will not forget it.,Agaghị m echefu ya.
it is important to save seeds.,Ọ dị mkpa ịchekwa mkpụrụ.
the message arrived on time.,Ozi ahụ bịara n'oge.
the children enjoyed the celebration.,Ụmụaka nwere ọṅụ n'emume ahụ.
i have hope.,Enwere m olileanya.
they prepared food for the visitors.,Ha kwadebere nri maka ndị ọbịa.
they take good care of the livestock.,Ha na-elekọta anụ ụlọ nke ọma.
children should go to school.,Ụmụaka kwesịrị ịga ụlọ akwụkwọ.
religion teaches humility.,Okpukpe na-akụzi ịdị umeala n'obi.
the community needs electricity.,Obodo chọrọ ọkụ eletrik.
working together brings development.,Ịrụkọ ọrụ ọnụ na-eweta mmepe.
computer software helps workers.,Ngwa kọmputa na-enyere ndị ọrụ aka.
it is nothing.,Ọ dịghị ihe.
sunlight helps crops grow.,Anwụ na-enyere ihe ọkụkụ aka ito.
the lecture was useful.,Nkuzi ahụ bara uru.
learning helps a person achieve their goals.,Ọmụmụ ihe na-enyere mmadụ aka iru ihe mgbaru ọsọ ya.
computer hardware is important.,Akụrụngwa kọmputa dị mkpa.
they started the work.,Ha malitere ọrụ ahụ.
students study their culture.,Ụmụ akwụkwọ na-amụ banyere omenala ha.
he went to the market.,Ọ gara ahịa.
health workers help patients.,Ndị ọrụ ahụike na-enyere ndị ọrịa aka.
good morning.,Ụtụtụ ọma.
parents support education.,Ndị nne na nna na-akwado agụmakwụkwọ.
the farmer raises cattle.,Onye ọrụ ugbo na-azụ ehi.
his friends give him advice.,Ndị enyi ya na-enye ya ndụmọdụ.
people adopt new technology.,Ndị mmadụ na-anabata teknụzụ ọhụrụ.
i have arrived now.,Abịara m ugbu a.
the teacher gave them homework.,Onye nkuzi nyere ha ọrụ ụlọ.
it is okay.,Ọ dị mma.
the farmer returned home after sunset.,Onye ọrụ ugbo laghachiri n'ụlọ mgbe anyanwụ dara.
farmers provide food for the community.,Ndị ọrụ ugbo na-enye obodo nri.
the microphone is good.,Igwe okwu ahụ dị mma.
culture changes over time.,Omenala na-agbanwe ka oge na-aga.
respecting elders is an important tradition.,Ịkwanyere ndị okenye ùgwù bụ omenala dị mkpa.
i am sleepy.,Ụra na-agụ m.
this question is difficult.,Ajụjụ a siri ike.
the students study the igbo language.,Ụmụ akwụkwọ na-amụ asụsụ Igbo.
igbo is the language of the igbo people.,Igbo bụ asụsụ ndị Igbo.
they are planting vegetables.,Ha na-akụ akwụkwọ nri.
they transported the product to the shop.,Ha bufere ngwaahịa ahụ n'ụlọ ahịa.
it is not good.,Ọ dịghị mma.
the student presented his work.,Nwa akwụkwọ ahụ gosipụtara ọrụ ya.
many people use this road.,Ọtụtụ mmadụ na-eji ụzọ a.
the traditional clothing is beautiful.,Uwe ọdịnala ahụ mara mma.
the application helps people.,Ngwa ahụ na-enyere ndị mmadụ aka.
disease can affect a person.,Ọrịa nwere ike imetụta mmadụ.
university students conduct research.,Ụmụ akwụkwọ mahadum na-eme nchọpụta.
a computer is an important device.,Kọmputa bụ ngwaọrụ dị mkpa.
the plan is for community development.,Atụmatụ ahụ bụ maka mmepe obodo.
the government builds schools.,Gọọmenti na-arụ ụlọ akwụkwọ.
they want to expand their business.,Ha chọrọ ịgbasa azụmahịa ha.
the government supports small businesses.,Gọọmenti na-akwado obere azụmahịa.
the meeting took place in the meeting hall.,Nzukọ ahụ mere n'ụlọ nzukọ.
people shared food.,Ndị mmadụ kesara nri.
i am going home.,Ana m aga ụlọ.
the programmer fixed the error.,Onye mmemme meziri njehie ahụ.
they paid the rent.,Ha kwụrụ ụgwọ ụlọ.
they use traditional items to prepare food.,Ha na-eji ihe ọdịnala akwadebe nri.
the new building is being constructed.,Ụlọ ọhụrụ ahụ na-ewu.
religion teaches peace.,Okpukpe na-akụzi udo.
pollution damages the environment.,Gbururu na-emebi gburugburu ebe obibi.
let us stop.,Ka anyị kwụsị.
the students are writing.,Ụmụ akwụkwọ na-ede ihe.
the farmer attended training.,Onye ọrụ ugbo gara ọzụzụ.
many people want this product.,Ọtụtụ ndị mmadụ chọrọ ngwaahịa a.
he returned home.,Ọ lọtara n'ụlọ.
i am happy.,Ana m enwe obi ụtọ.
"yes, i will come.","Ee, aga m abịa."
many people buy this product.,Ọtụtụ mmadụ na-azụ ngwaahịa a.
this product is good.,Ngwaahịa a dị mma.
the question is easy.,Ajụjụ ahụ dị mfe.
the examination will begin tomorrow.,Ule ahụ ga-amalite echi.
the students are in the classroom.,Ụmụ akwụkwọ nọ na klaasị.
water shortage affects agriculture.,Ụkọ mmiri na-emetụta ọrụ ugbo.
people should help one another.,Ndị mmadụ kwesịrị inyere ibe ha aka.
experience helps the farmer.,Ahụmahụ na-enyere onye ọrụ ugbo aka.
