english,igbo
He found an error in the code.,Ọ chọtara njehie na koodu ahụ.
Exercise makes the body strong.,Mmega ahụ na-eme ka ahụ sie ike.
Elders give advice.,Ndị okenye na-enye ndụmọdụ.
Do you know this place?,Ị maara ebe a?
The priest delivered a sermon.,Onye ụkọchukwu kọrọ ozi ọma.
Many people came to the celebration.,Ọtụtụ ndị mmadụ bịara emume ahụ.
The student likes science.,Nwa akwụkwọ ahụ hụrụ sayensị n'anya.
They harvest the crops on time.,Ha na-ewe ihe ubi n'oge.
Let us start.,Ka anyị malite.
Faith gives many people hope.,Okwukwe na-enye ọtụtụ mmadụ olileanya.
I am happy to meet you.,Obi dị m ụtọ izute gị.
I want to drink water.,Achọrọ m ịṅụ mmiri.
People cook traditional food at celebrations.,Ndị mmadụ na-esi nri ọdịnala n'emume.
The customer gave his opinion.,Onye ahịa nyere echiche ya.
Please help me.,Biko nyere m aka.
The question is easy.,Ajụjụ ahụ dị mfe.
Jobs help families.,Ọrụ na-enyere ezinụlọ aka.
Hard work helps a business.,Ịrụsi ọrụ ike na-enyere azụmahịa aka.
I will not forget it.,Agaghị m echefu ya.
Wait for a short while.,Chere obere oge.
Religion teaches goodness.,Okpukpe na-akụzi ịdị mma.
Disease can affect a person.,Ọrịa nwere ike imetụta mmadụ.
The administrator manages the database.,Onye nchịkwa na-elekọta nchekwa data.
I need help.,Achọrọ m enyemaka.
The celebration took place at home.,Emume ahụ mere n'ụlọ.
The family prays together.,Ezinụlọ ahụ na-ekpe ekpere ọnụ.
The leader gave advice.,Onye nduzi nyere ndụmọdụ.
I am thirsty.,Akpịrị na-akpọ m nkụ.
I want to learn.,Achọrọ m ịmụ ihe.
Talking to someone can help.,Ịgwa mmadụ okwu nwere ike inye aka.
The customer received his product.,Onye ahịa natara ngwaahịa ya.
They received new farming equipment.,Ha nwetara ngwá ọrụ ugbo ọhụrụ.
What do you want?,Gịnị ka ị chọrọ?
Protecting health is everyone's responsibility.,Ịchekwa ahụike bụ ọrụ onye ọ bụla.
He uses a computer to work.,Ọ na-eji kọmputa arụ ọrụ.
Computer hardware is important.,Akụrụngwa kọmputa dị mkpa.
The website is easy to use.,Weebụsaịtị ahụ dị mfe iji.
Good morning.,Ka chi fo.
He washes his hands before eating.,Ọ na-asa aka ya tupu o rie nri.
Tell me what happened.,Gwa m ihe merenụ.
The teacher stood in front of the classroom.,Onye nkuzi guzoro n'ihu klaasị.
"Yes, I have time.","Ee, enwere m oge."
He is going to work.,Ọ na-aga ọrụ.
The court handles legal matters.,Ụlọ ikpe na-eleba anya n'okwu iwu.
The patient should take the medicine on time.,Onye ọrịa kwesịrị ịṅụ ọgwụ n'oge.
The device works well.,Ngwaọrụ ahụ na-arụ ọrụ nke ọma.
The classroom is clean.,Klaasị ahụ dị ọcha.
"Yes, I have time.","Ee, enwere m oge."
The leaders called a meeting.,Ndị isi kpọrọ nzukọ.
Books help students.,Akwụkwọ na-enyere ụmụ akwụkwọ aka.
Business provides people with job opportunities.,Azụmahịa na-enye ndị mmadụ ohere ọrụ.
We remember the stories of our ancestors.,Anyị na-echeta akụkọ ndị nna nna anyị.
Leaders make plans for the future.,Ndị isi na-eme atụmatụ maka ọdịnihu.
The doctor gave the patient medicine.,Dọkịta nyere onye ọrịa ọgwụ.
He is my good friend.,Ọ bụ ezigbo enyi m.
The company made a profit.,Ụlọ ọrụ ahụ nwetara uru.
The community needs security.,Obodo chọrọ nchekwa.
Do you have time?,Ị nwere oge?
He uses video to communicate.,Ọ na-eji vidio akparịta ụka.
Health campaigns provide important information.,Mkpọsa ahụike na-enye ozi dị mkpa.
I am not feeling well.,Anaghị m enwe ahụ ike.
People ask for help.,Ndị mmadụ na-arịọ maka enyemaka.
The students are studying.,Ụmụ akwụkwọ na-amụ ihe.
Water shortage affects agriculture.,Ụkọ mmiri na-emetụta ọrụ ugbo.
He uses different applications.,Ọ na-eji ngwa dị iche iche.
Students need good learning resources.,Ụmụ akwụkwọ chọrọ ezigbo akụrụngwa.
The student passed the examination.,Nwa akwụkwọ ahụ gafere ule ahụ.
Parents choose their children's names carefully.,Ndị nne na nna na-ahọrọ aha ụmụ ha nke ọma.
He received his document.,Ọ natara akwụkwọ ya.
Many diseases spread through germs.,Ọtụtụ ọrịa na-agbasa site na nje.
Small businesses create jobs.,Obere azụmahịa na-emepụta ọrụ.
He applied for a job.,Ọ tinyere akwụkwọ maka ọrụ.
They started the work.,Ha malitere ọrụ ahụ.
The system makes work faster.,Usoro ahụ na-eme ka ọrụ dị ngwa.
"Yes, I need help.","Ee, achọrọ m enyemaka."
Where are you going?,Ebee ka ị na-aga?
His salary is good.,Ụgwọ ọnwa ya dị mma.
The farmer has experience.,Onye ọrụ ugbo nwere ahụmahụ.
I will come tomorrow.,Aga m abịa echi.
The university has many students.,Mahadum ahụ nwere ọtụtụ ụmụ akwụkwọ.
A robot can perform some tasks.,Robot nwere ike ịrụ ụfọdụ ọrụ.
People should tell the truth.,Ndị mmadụ kwesịrị ikwu eziokwu.
He gains strength from his religion.,Ọ na-enweta ume site n'okpukpe ya.
Let us stop.,Ka anyị kwụsị.
The company operates in different cities.,Ụlọ ọrụ ahụ na-arụ ọrụ n'obodo dị iche iche.
The farmer works hard.,Onye ọrụ ugbo na-arụsi ọrụ ike.
Can you explain it?,Ị nwere ike ịkọwa ya?
Education is essential for community development.,Agụmakwụkwọ bụ isi ihe na mmepe obodo.
He wants to go to university.,Ọ chọrọ ịga mahadum.
Public schools provide education.,Ụlọ akwụkwọ ọha na-enye agụmakwụkwọ.
Working together brings development.,Ịrụkọ ọrụ ọnụ na-eweta mmepe.
Heavy rain can damage crops.,Oké mmiri ozuzo nwere ike imebi ihe ubi.
People dance at celebrations.,Ndị mmadụ na-agba egwu n'emume.
"Yes, I have a phone.","Ee, enwere m ekwentị."
Working together brings peace.,Ịrụkọ ọrụ ọnụ na-eweta udo.
They need money to expand the business.,Ha chọrọ ego iji gbasaa azụmahịa.
The market research was helpful.,Nnyocha ahịa nyere aka.
The students are learning new things.,Ụmụ akwụkwọ na-amụta ihe ọhụrụ.
He opened the file.,Ọ mepere faịlụ ahụ.
They want to know what customers want.,Ha chọrọ ịmata ihe ndị ahịa chọrọ.
Students use computers to learn.,Ụmụ akwụkwọ na-eji kọmputa amụ ihe.
The farmer measured holes for the seeds.,Onye ọrụ ugbo tụrụ oghere maka mkpụrụ.
High blood pressure can be dangerous.,Ọbara mgbali elu nwere ike ịdị ize ndụ.
I am fine.,Adị m mma.
It is important to use technology properly.,Ọ dị mkpa iji teknụzụ mee ihe nke ọma.
"Yes, I need water.","Eeh, achọrọ m mmiri."
Diabetes requires regular care.,Ọrịa shuga chọrọ nlekọta mgbe niile.
The community prepared for the celebration.,Ndị obodo kwadebere maka emume ahụ.
Leaders should work for the people.,Ndị isi kwesịrị ịrụ ọrụ maka ndị mmadụ.
Religion is part of the lives of many people.,Okpukpe bụ akụkụ nke ndụ ọtụtụ mmadụ.
The food is ready.,Nri dị njikere.
I live in this town.,Ana m ebi n'obodo a.
They gave the family food.,Ha nyere ezinụlọ ahụ nri.
Education opens the way to the future.,Agụmakwụkwọ na-emeghe ụzọ maka ọdịnihu.
They helped the customer.,Ha nyere onye ahịa aka.
He is studying for his examination.,Ọ na-amụ maka ule ya.
The business has a major challenge.,Azụmahịa ahụ nwere nnukwu ihe ịma aka.
The harvest began.,Owuwe ihe ubi malitere.
A phone is a commonly used device.,Ekwentị bụ ngwaọrụ a na-ejikarị eme ihe.
The employee works hard.,Onye ọrụ na-arụsi ọrụ ike.
The people elected a new leader.,Ndị mmadụ họpụtara onye isi ọhụrụ.
Farmers provide food for the community.,Ndị ọrụ ugbo na-enye obodo nri.
The book contains many teachings.,Akwụkwọ ahụ nwere ọtụtụ nkuzi.
I have woken up.,Etetaala m.
The farmers work on the farm.,Ndị ọrụ ugbo na-arụ ọrụ n'ubi.
Computer software helps workers.,Ngwa kọmputa na-enyere ndị ọrụ aka.
The new building is being constructed.,Ụlọ ọhụrụ ahụ na-ewu.
The students read books in the library.,Ụmụ akwụkwọ na-agụ akwụkwọ n'ọbá akwụkwọ.
It is important to keep the environment clean.,Ọ dị mkpa idobe gburugburu ebe obibi ọcha.
The company listened to customers' opinions.,Ụlọ ọrụ ahụ gere ntị n'echiche ndị ahịa.
The illness started in the morning.,Ọrịa ahụ malitere n'ụtụtụ.
People expect good governance.,Ndị mmadụ na-atụ anya ezi ọchịchị.
I am sleeping.,Ana m ehi ụra.
Livestock farming brings income.,Ọzụzụ anụ ụlọ na-eweta ego.
He takes the medicine twice a day.,Ọ na-aṅụ ọgwụ ugboro abụọ n'ụbọchị.
He took a photo with his phone.,Ọ sere foto site na ekwentị ya.
What are you doing?,Ị na-eme gịnị?
It is time to go.,Ọ bụ oge ịga.
This job requires skills.,Ọrụ a chọrọ nkà.
The customer is satisfied.,Onye ahịa nwere afọ ojuju.
The farmer is planting seeds.,Onye ọrụ ugbo na-akụ mkpụrụ.
The students study at home.,Ụmụ akwụkwọ na-amụ ihe n'ụlọ.
The chicken laid an egg.,Ọkụkọ ahụ tọrọ akwa.
The music is enjoyable.,Egwu ahụ na-atọ ụtọ.
We should support farmers.,Anyị kwesịrị ịkwado ndị ọrụ ugbo.
The teacher wrote on the board.,Onye nkuzi dere n'elu bọọdụ.
How are you?,Kedu ka ị mere?
Take care.,Jisie ike.
The customer is not satisfied.,Onye ahịa enweghị afọ ojuju.
The program helps many people.,Mmemme ahụ na-enyere ọtụtụ mmadụ aka.
The community preserves historical places.,Ndị obodo na-echekwa ebe akụkọ ihe mere eme.
Leaders should be accountable.,Ndị isi kwesịrị ịza ajụjụ.
They pray for their family.,Ha na-ekpe ekpere maka ezinụlọ ha.
The celebration went well.,Emume ahụ gara nke ọma.
The doctor told him to rest.,Dọkịta gwara ya ka ọ zuru ike.
A lawyer helps people.,Onye ọka iwu na-enyere ndị mmadụ aka.
The place of worship is near his house.,Ebe ofufe ahụ dị nso n'ụlọ ya.
The lecture was useful.,Nkuzi ahụ bara uru.
I am sleepy.,Ụra na-agụ m.
Friends met at the place of worship.,Ndị enyi zutere n'ebe ofufe.
They welcomed the visitor warmly.,Ha nabatara ọbịa nke ọma.
Good governance helps the community.,Ezi ọchịchị na-enyere obodo aka.
It is important to update software.,Ọ dị mkpa imelite ngwanrọ.
The children are playing.,Ụmụaka na-egwu egwu.
Culture changes over time.,Omenala na-agbanwe ka oge na-aga.
The Igbo people have many traditions.,Ndị Igbo nwere ọtụtụ omenala.
The vegetables are fresh.,Akwụkwọ nri ahụ dị ọhụrụ.
The students understood the lesson.,Ụmụ akwụkwọ ghọtara ihe ọmụmụ ahụ.
They gave food to the visitor.,Ha nyere ọbịa nri.
The children helped their parents on the farm.,Ụmụaka nyere nne na nna ha aka n'ubi.
This is a book.,Nke a bụ akwụkwọ.
He paid the debt on time.,Ọ kwụrụ ụgwọ ahụ n'oge.
People help one another.,Ndị mmadụ na-enyere ibe ha aka.
Students use computers to learn.,Ụmụ akwụkwọ na-eji kọmputa amụ ihe.
Goodbye.,Ka ọ dị.
Justice is important in a community.,Ikpe ziri ezi dị mkpa n'obodo.
It has been a long time.,Ọ dịla anya.
Studying helps students.,Ịgụ akwụkwọ na-enyere ụmụ akwụkwọ aka.
Traditional food reflects the history of a community.,Nri ọdịnala na-egosi akụkọ obodo.
He always helps others.,Ọ na-enyere ndị ọzọ aka mgbe niile.
Language preserves the history of a community.,Asụsụ na-echekwa akụkọ obodo.
The teacher gave advice.,Onye nkuzi nyere ndụmọdụ.
A computer is an important device.,Kọmputa bụ ngwaọrụ dị mkpa.
The mother takes care of her child.,Nne na-elekọta nwa ya.
Close the door.,Mechie ụzọ.
The company exports products.,Ụlọ ọrụ ahụ na-ebupụ ngwaahịa.
The day is beautiful.,Ụbọchị ahụ mara mma.
The government should listen to the people.,Gọọmenti kwesịrị ige ndị mmadụ ntị.
Parents support education.,Ndị nne na nna na-akwado agụmakwụkwọ.
They gave money to the poor.,Ha nyere ndị ogbenye ego.
The farmer uses a hoe to work.,Onye ọrụ ugbo na-eji hoe arụ ọrụ.
Business is important for community development.,Azụmahịa dị mkpa maka mmepe obodo.
The student needs help.,Nwa akwụkwọ ahụ chọrọ enyemaka.
The book is on the table.,Akwụkwọ ahụ dị na tebụl.
They gathered the harvest.,Ha kpọkọtara ihe ubi.
I love my family.,Ana m ahụ ezinụlọ m n'anya.
The school is in the town.,Ụlọ akwụkwọ ahụ dị n'obodo.
Language is an important part of culture.,Asụsụ bụ akụkụ dị mkpa nke omenala.
He does homework.,Ọ na-eme ihe omume ụlọ.
We should avoid sharing certain items.,Anyị kwesịrị izere ịkekọrịta ihe ụfọdụ.
That idea is good.,Echiche ahụ dị mma.
Fruits are good for health.,Mkpụrụ osisi dị mma maka ahụike.
The student is going to school.,Nwa akwụkwọ na-aga ụlọ akwụkwọ.
They plant seeds in rows.,Ha na-akụ mkpụrụ n'ahịrị.
He is at home.,Ọ nọ n'ụlọ.
He returned home.,Ọ lọtara n'ụlọ.
Open the book.,Mepee akwụkwọ.
He has a severe headache.,Isi na-arịa ya nke ukwuu.
Plants need sunlight.,Osisi chọrọ ìhè anyanwụ.
People seek peace.,Ndị mmadụ na-achọ udo.
The meeting took place in the meeting hall.,Nzukọ ahụ mere n'ụlọ nzukọ.
People wore beautiful clothes for the celebration.,Ndị mmadụ yi uwe mara mma maka emume.
He learned a new skill.,Ọ mụtara nkà ọhụrụ.
I will send you a message.,Aga m ezitere gị ozi.
The students listened to the teacher.,Ụmụ akwụkwọ gere onye nkuzi ntị.
The code works well.,Koodu ahụ na-arụ ọrụ nke ọma.
The children pray before they eat.,Ụmụaka na-ekpe ekpere tupu ha erie nri.
Business requires good planning.,Azụmahịa chọrọ ezigbo atụmatụ.
The government works to improve life.,Gọọmenti na-arụ ọrụ iji meziwanye ndụ.
I am here.,Anọ m ebe a.
Fever can be a sign of illness.,Ahụ ọkụ nwere ike ịbụ ihe ịrịba ama nke ọrịa.
It is important to listen in class.,Ọ dị mkpa ige ntị na klaasị.
He learned something new.,Ọ mụtara ihe ọhụrụ.
I am coming now.,Abịa m ugbu a.
The manager gave a new instruction.,Onye njikwa nyere iwu ọhụrụ.
The employee got the job.,Onye ọrụ ahụ nwetara ọrụ ahụ.
He asks for guidance.,Ọ na-arịọ maka nduzi.
I will see you later.,Aga m ahụ gị ma emechaa.
He sends messages by phone.,Ọ na-eziga ozi site na ekwentị.
The system has a problem.,Usoro ahụ nwere nsogbu.
The teacher asked a question.,Onye nkuzi jụrụ ajụjụ.
Learning is important.,Ịmụ ihe dị mkpa.
The stories of ancestors are important.,Akụkọ ndị nna nna dị mkpa.
I live in this town.,Ana m ebi n'obodo a.
The students are in the classroom.,Ụmụ akwụkwọ nọ na klaasị.
The company pays expenses.,Ụlọ ọrụ ahụ na-akwụ ụgwọ.
I am well.,Ọ dị m mma.
Children greet elders.,Ụmụaka na-ekele ndị okenye.
It is important to use public money properly.,Ọ dị mkpa iji ego ọha mee ihe nke ọma.
The leader made a promise.,Onye isi ahụ kwere nkwa.
The answer is easy.,Azịza ya dị mfe.
The farmer bought a tractor.,Onye ọrụ ugbo zụtara traktọ.
It is important to follow the law.,Ọ dị mkpa ịgbaso iwu.
The leader read a passage from the holy book.,Onye nduzi gụrụ akụkụ akwụkwọ nsọ.
The error caused the program to stop.,Njehie ahụ mere ka mmemme kwụsị.
A person who breaks the law may be punished.,Onye mebiri iwu nwere ike ịta ahụhụ.
He drinks water every day.,Ọ na-aṅụ mmiri kwa ụbọchị.
Welcoming visitors is an important tradition.,Ịnabata ọbịa bụ omenala dị mkpa.
The school teaches traditional history.,Ụlọ akwụkwọ ahụ na-akụzi akụkọ ọdịnala.
Farming has challenges.,Ọrụ ugbo nwere ihe ịma aka.
Parents teach their children their beliefs.,Ndị nne na nna na-akụziri ụmụ ha nkwenkwe ha.
People were happy.,Ndị mmadụ nwere obi ụtọ.
The farmer detects disease in the plants.,Onye ọrụ ugbo na-achọpụta ọrịa n'osisi.
The record contains important information.,Ndekọ ahụ nwere ozi dị mkpa.
The web developer works on websites.,Onye nrụpụta weebụ na-arụ ọrụ na weebụsaịtị.
The school opened in the morning.,Ụlọ akwụkwọ ahụ meghere n'ụtụtụ.
Do you have a phone?,Ị nwere ekwentị?
The meeting started at ten o'clock.,Nzukọ ahụ malitere n'elekere iri.
Learning requires patience.,Ọmụmụ ihe chọrọ ndidi.
Many people pray every day.,Ọtụtụ mmadụ na-ekpe ekpere kwa ụbọchị.
Technology helps people.,Ụzụ na-enyere ndị mmadụ aka.
They study mathematics.,Ha na-amụ mgbakọ na mwepụ.
It is important to protect data.,Ọ dị mkpa ichekwa data.
The patient went to the hospital.,Onye ọrịa gara ụlọ ọgwụ.
Culture teaches unity.,Omenala na-akụzi ịdị n'otu.
He listened to the advice.,Ọ gere ndụmọdụ ahụ ntị.
They sing traditional songs.,Ha na-abụ abụ ọdịnala.
The application helps people.,Ngwa ahụ na-enyere ndị mmadụ aka.
The customer bought a bag of rice.,Onye ahịa zụtara akpa osikapa.
Many people came to the celebration.,Ọtụtụ ndị mmadụ bịara emume ahụ.
People should live in love and peace.,Ndị mmadụ kwesịrị ibi ndụ n'ịhụnanya na udo.
They discussed the business.,Ha kwurịtara banyere azụmahịa.
The goat ate grass.,Ewu ahụ riri ahịhịa.
Members of the community support one another.,Ndị obodo na-akwado ibe ha.
Online learning helps students.,Ọmụmụ ihe n'ịntanetị na-enyere ụmụ akwụkwọ aka.
The company sells products.,Ụlọ ọrụ ahụ na-ere ngwaahịa.
The product is not good.,Ngwaahịa ahụ adịghị mma.
Geography teaches about the world.,Geography na-akụzi banyere ụwa.
A password protects an account.,Paswọọdụ na-echekwa akaụntụ.
Customer service is important.,Ọrụ ndị ahịa dị mkpa.
Send me a message.,Zipụ m ozi.
This soil is good for planting.,Ala a dị mma maka ịkụ ihe.
The entrepreneur borrowed money.,Onye ọchụnta ego gbaziri ego.
I am also happy to meet you.,Obi dịkwa m ụtọ izute gị.
Please stand up.,Biko bilie.
Children should learn good behavior.,Ụmụaka kwesịrị ịmụta ezi omume.
History teaches us lessons.,Akụkọ ihe mere eme na-akụziri anyị ihe.
They found a solution to the problem.,Ha chọtara ngwọta maka nsogbu ahụ.
They removed weeds from the farm.,Ha wepụrụ ahịhịa n'ubi.
How are you?,Kedu ka ị mere?
The neighbors helped the farmer.,Ndị agbata obi nyere onye ọrụ ugbo aka.
What happened?,Gịnị mere?
I have a question.,Enwere m ajụjụ.
Researchers study artificial intelligence.,Ndị nyocha na-amụ ọgụgụ isi mmadụ.
Forgiving a person is good.,Ịgbaghara mmadụ bụ ihe ọma.
"Yes, I understand.","Ee, aghọtara m."
The teacher teaches the students.,Onye nkuzi na-akụzi ụmụ akwụkwọ.
Traditional clothing shows a person's culture.,Uwe ọdịnala na-egosi omenala mmadụ.
It is important to learn new skills.,Ọ dị mkpa ịmụta nkà ọhụrụ.
The customer paid for the product.,Onye ahịa kwụrụ ụgwọ ngwaahịa ahụ.
Thank you very much.,Daalụ nke ukwuu.
The government manages the community.,Gọọmenti na-elekọta obodo.
The message arrived on time.,Ozi ahụ bịara n'oge.
The students compete in their studies.,Ụmụ akwụkwọ na-asọmpi n'ọmụmụ ihe.
The student is preparing for an examination.,Nwa akwụkwọ ahụ na-akwadebe maka ule.
The shop closed at night.,Ụlọ ahịa ahụ mechiri n'abalị.
Religious celebrations bring families together.,Emume okpukpe na-ejikọta ezinụlọ ọnụ.
Many people saw the advertisement.,Ọtụtụ mmadụ hụrụ mgbasa ozi ahụ.
The students asked many questions.,Ụmụ akwụkwọ jụrụ ọtụtụ ajụjụ.
Parents teach their children Igbo.,Ndị nne na nna na-akụziri ụmụ ha Igbo.
Traditional stories teach many things.,Akụkọ ọdịnala na-akụzi ọtụtụ ihe.
The company promoted its product.,Ụlọ ọrụ ahụ kwalitere ngwaahịa ya.
It is important.,Ọ dị mkpa.
The hospital has equipment.,Ụlọ ọgwụ nwere akụrụngwa.
New technology appears every year.,Ụzụ ọhụrụ na-apụta kwa afọ.
I will call you tomorrow.,Aga m akpọ gị echi.
People have different beliefs.,Ndị mmadụ nwere nkwenkwe dị iche iche.
The government issues licenses.,Gọọmenti na-enye akwụkwọ ikike.
The priest leads the worship service.,Onye ụkọchukwu na-eduzi ofufe.
I am looking for my friend.,Ana m achọ enyi m.
It is okay.,Ọ dị mma.
It is important to avoid too much stress.,Ọ dị mkpa izere nrụgide dị ukwuu.
I want to eat.,Achọrọ m iri nri.
Sit down.,Nọdụ ala.
I want water.,A chọrọ m mmiri.
Elders teach children traditional stories.,Ndị okenye na-akụziri ụmụaka akụkọ ọdịnala.
People respect one another's beliefs.,Ndị mmadụ na-akwanyere nkwenkwe ibe ha ùgwù.
The police officers do their work.,Ndị uwe ojii na-arụ ọrụ ha.
He has stomach pain.,Ọ na-enwe ihe mgbu n'afọ.
What is this?,Gịnị ka nke a bụ?
