english,igbo
The family celebrated together.,Ezinụlọ ahụ mere emume ọnụ.
People wore beautiful clothes for the celebration.,Ndị mmadụ yi uwe mara mma maka emume.
They prepared food for the visitors.,Ha kwadebere nri maka ndị ọbịa.
Many people came to the celebration.,Ọtụtụ ndị mmadụ bịara emume ahụ.
The celebration went well.,Emume ahụ gara nke ọma.
People were happy.,Ndị mmadụ nwere obi ụtọ.
The children enjoyed the celebration.,Ụmụaka nwere ọṅụ n'emume ahụ.
The celebration took place at home.,Emume ahụ mere n'ụlọ.
The community prepared the place.,Ndị obodo kwadebere ebe ahụ.
The leader thanked the people.,Onye nduzi kelere ndị mmadụ.
The people welcomed the visitor.,Ndị mmadụ nabatara onye ọbịa.
The visitor gave a speech.,Onye ọbịa kwuru okwu.
They listened to the speech.,Ha gere okwu ahụ ntị.
People read religious books.,Ndị mmadụ na-agụ akwụkwọ okpukpe.
The book contains many teachings.,Akwụkwọ ahụ nwere ọtụtụ nkuzi.
The teaching was useful.,Nkuzi ahụ bara uru.
He learned something new.,Ọ mụtara ihe ọhụrụ.
Religion teaches humility.,Okpukpe na-akụzi ịdị umeala n'obi.
Humility is a good quality.,Ịdị umeala n'obi bụ omume ọma.
People seek advice.,Ndị mmadụ na-achọ ndụmọdụ.
The leader gave advice.,Onye nduzi nyere ndụmọdụ.
He listened to the advice.,Ọ gere ndụmọdụ ahụ ntị.
Elders teach good behavior.,Ndị okenye na-akụzi ezi omume.
Children should learn good behavior.,Ụmụaka kwesịrị ịmụta ezi omume.
Good behavior helps the community.,Ezi omume na-enyere obodo aka.
People work together.,Ndị mmadụ na-arụkọ ọrụ ọnụ.
Working together brings peace.,Ịrụkọ ọrụ ọnụ na-eweta udo.
Peace is important in a community.,Udo dị mkpa n'obodo.
People seek peace.,Ndị mmadụ na-achọ udo.
Religion teaches peace.,Okpukpe na-akụzi udo.
It is important to live in peace.,Ọ dị mkpa ibi ndụ n'udo.
People respect one another's beliefs.,Ndị mmadụ na-akwanyere nkwenkwe ibe ha ùgwù.
We should respect people with different beliefs.,Anyị kwesịrị ịkwanyere ndị nwere nkwenkwe dị iche ùgwù.
Many people seek a good life.,Ọtụtụ mmadụ na-achọ ndụ dị mma.
Beliefs give some people strength.,Nkwenkwe na-enye ụfọdụ mmadụ ume.
He gains strength from his religion.,Ọ na-enweta ume site n'okpukpe ya.
His family supports him.,Ezinụlọ ya na-akwado ya.
His friends give him advice.,Ndị enyi ya na-enye ya ndụmọdụ.
He finds comfort during difficult times.,Ọ na-enweta nkasi obi n'oge nsogbu.
Hope helps a person move forward.,Olileanya na-enyere mmadụ aka ịga n'ihu.
Love and kindness make the world better.,Ịhụnanya na obiọma na-eme ka ụwa ka mma.
People should live in love and peace.,Ndị mmadụ kwesịrị ibi ndụ n'ịhụnanya na udo.
Good behavior helps both the individual and the community.,Ezi omume na-enyere mmadụ na obodo aka.
