english,igbo
They import products.,Ha na-ebubata ngwaahịa.
The company exports products.,Ụlọ ọrụ ahụ na-ebupụ ngwaahịa.
The product came from another city.,Ngwaahịa ahụ sitere n'obodo ọzọ.
They transported the product to the shop.,Ha bufere ngwaahịa ahụ n'ụlọ ahịa.
The vehicle carried the product.,Ụgbọala bu ngwaahịa ahụ.
The product arrived on time.,Ngwaahịa ahụ rutere n'oge.
The customer ordered a product.,Onye ahịa nyere iwu ngwaahịa.
The company received the order.,Ụlọ ọrụ ahụ natara iwu ahụ.
They prepared the product for the customer.,Ha kwadebere ngwaahịa maka onye ahịa.
The customer received his product.,Onye ahịa natara ngwaahịa ya.
The company provides different services.,Ụlọ ọrụ ahụ na-enye ọrụ dị iche iche.
The service is fast and good.,Ọrụ ahụ dị ngwa ma dị mma.
The customer is satisfied.,Onye ahịa nwere afọ ojuju.
The customer is not satisfied.,Onye ahịa enweghị afọ ojuju.
The company listened to customers' opinions.,Ụlọ ọrụ ahụ gere ntị n'echiche ndị ahịa.
They want to improve their service.,Ha chọrọ ime ka ọrụ ha ka mma.
Business provides people with job opportunities.,Azụmahịa na-enye ndị mmadụ ohere ọrụ.
Small businesses help families.,Obere azụmahịa na-enyere ezinụlọ aka.
Many people start small businesses.,Ọtụtụ ndị na-amalite obere azụmahịa.
Hard work helps a business.,Ịrụsi ọrụ ike na-enyere azụmahịa aka.
Business is important for community development.,Azụmahịa dị mkpa maka mmepe obodo.
