id,igbo,english,domain
BUS073,Ọ kwụrụ ụgwọ ahụ n'oge.,He paid the debt on time.,business
BUS074,Ha chọrọ ego iji gbasaa azụmahịa.,They need money to expand the business.,business
BUS075,Ụlọ ọrụ ahụ mepere alaka ọhụrụ.,The company opened a new branch.,business
BUS076,Alaka ahụ dị n'obodo ọzọ.,The branch is in another city.,business
BUS077,Ha chọrọ ịgbasa azụmahịa ha.,They want to expand their business.,business
BUS078,Azụmahịa ahụ toro ngwa ngwa.,The business grew quickly.,business
BUS079,Ụlọ ọrụ ahụ na-arụ ọrụ n'obodo dị iche iche.,The company operates in different cities.,business
BUS080,Ha na-ebubata ngwaahịa.,They import products.,business
BUS081,Ụlọ ọrụ ahụ na-ebupụ ngwaahịa.,The company exports products.,business
BUS082,Ngwaahịa ahụ sitere n'obodo ọzọ.,The product came from another city.,business
BUS083,Ha bufere ngwaahịa ahụ n'ụlọ ahịa.,They transported the product to the shop.,business
BUS084,Ụgbọala bu ngwaahịa ahụ.,The vehicle carried the product.,business
BUS085,Ngwaahịa ahụ rutere n'oge.,The product arrived on time.,business
BUS086,Onye ahịa nyere iwu ngwaahịa.,The customer ordered a product.,business
BUS087,Ụlọ ọrụ ahụ natara iwu ahụ.,The company received the order.,business
BUS088,Ha kwadebere ngwaahịa maka onye ahịa.,They prepared the product for the customer.,business
BUS089,Onye ahịa natara ngwaahịa ya.,The customer received his product.,business
BUS090,Ụlọ ọrụ ahụ na-enye ọrụ dị iche iche.,The company provides different services.,business
BUS091,Ọrụ ahụ dị ngwa ma dị mma.,The service is fast and good.,business
BUS092,Onye ahịa nwere afọ ojuju.,The customer is satisfied.,business
BUS093,Onye ahịa enweghị afọ ojuju.,The customer is not satisfied.,business
BUS094,Ụlọ ọrụ ahụ gere ntị n'echiche ndị ahịa.,The company listened to customers' opinions.,business
BUS095,Ha chọrọ ime ka ọrụ ha ka mma.,They want to improve their service.,business
BUS096,Azụmahịa na-enye ndị mmadụ ohere ọrụ.,Business provides people with job opportunities.,business
BUS097,Obere azụmahịa na-enyere ezinụlọ aka.,Small businesses help families.,business
BUS098,Ọtụtụ ndị na-amalite obere azụmahịa.,Many people start small businesses.,business
BUS099,Ịrụsi ọrụ ike na-enyere azụmahịa aka.,Hard work helps a business.,business
BUS100,Azụmahịa dị mkpa maka mmepe obodo.,Business is important for community development.,business
