igbo,english
Mmụta Site Na Ekwentị,Mobile Learning
Mmụta Site Na Kọmputa,Computer Based Learning
Nyocha N'Ịntanet,Online Assessment
Nnwale N'Ịntanet,Online Examination
Ọbá Akwụkwọ Dijitalụ,Digital Library
Ndekọ Mmụta,Learning Record
Ọmụmụ N'onwe Onye,Self Learning
Nkuzi Vidiyo,Video Lecture
Nkuzi Ọnụ,Audio Lecture
Nkuzi Dị Ndụ,Live Class
Nnyefe Ihe Omụmụ,Course Delivery
Nlekọta Mmụta,Learning Management
Ndebanye Akwụkwọ,Course Registration
Ihe Omụmụ,Course Material
Nkwukọrịta Nkuzi,Educational Communication
Ntụle Mmụta,Learning Evaluation
Aga m arụ ọrụ m n'afọ ikpeazụ,I will work on my final year project
Isiokwu oru ngo m bu ntụgharị asụsụ igwe,My project topic is machine translation
Anyi na-eji ọgụgụ isi arụ ọrụ ntụgharị asụsụ,We use artificial intelligence for translation
Asụsụ Igbo bụ asụsụ nwere obere data,Igbo is a low-resource language
Nchọpụta a na-elekwasị anya na asụsụ Igbo,This research focuses on the Igbo language
Anyi na-ewu usoro ntụgharị asụsụ,We are building a translation system
Usoro a na-eji neural network,This system uses a neural network
Anyi na-anakọta data maka nyocha,We are collecting data for research
Data dị mkpa maka ịzụlite model,Data is important for training a model
Anyi chọrọ ezigbo dataset,We need a quality dataset
A na-eji dataset a zụọ model,This dataset is used to train a model
Anyi ga-enyocha arụmọrụ model,We will evaluate the model performance
BLEU score na-atụ ogo ntụgharị asụsụ,BLEU score measures translation quality
Anyi jiri BLEU score nyochaa model,We used BLEU score to evaluate the model
Nsonaazụ gosiri mmezi dị ukwuu,The results showed significant improvement
Iterative back translation na-enyere aka imezi model,Iterative back translation helps improve the model
Anyi mepụtara data synthetic,We generated synthetic data
Data synthetic na-eme ka dataset buru ibu,Synthetic data increases dataset size
Anyi jikọtara data ọhụrụ na data mbụ,We combined new data with the original data
Model ọhụrụ karịrị nke mbụ arụmọrụ,The new model outperformed the previous one
Natural Language Processing bụ akụkụ AI,Natural Language Processing is a branch of AI
Anyi na-amụ NLP n'ime oru ngo a,We study NLP in this project
Neural Machine Translation na-eji deep learning,Neural Machine Translation uses deep learning
Model ahụ mụtara site na ọtụtụ atụ,The model learned from many examples
Anyi haziri dataset tupu ọzụzụ,We cleaned the dataset before training
A wepụrụ data ugboro ugboro,Duplicate data was removed
Anyi kewara dataset n'ime train na test,We split the dataset into train and test sets
Data validation nyere aka nyochaa model,Validation data helped evaluate the model
Anyi jiri GPU mee ọzụzụ model,We used a GPU to train the model
Ọzụzụ model were ọtụtụ awa,Model training took several hours
Anyi chekwara model ikpeazụ,We saved the final model
Model ahụ nwere ike ịtụgharị Igbo gaa Bekee,The model can translate Igbo to English
Model ahụ nwekwara ike ịtụgharị Bekee gaa Igbo,The model can also translate English to Igbo
Anyi nyochara njehie ntụgharị asụsụ,We analyzed translation errors
Nsonaazụ ikpeazụ dị mma,The final results are good
Anyi ga-emezi model n'ọdịnihu,We will improve the model in the future
Nchọpụta a bara uru nye mmepe asụsụ Igbo,This research is useful for Igbo language development
Teknụzụ asụsụ na-eto ngwa ngwa,Language technology is growing rapidly
Asụsụ mpaghara kwesịrị inweta nkwado teknụzụ,Local languages deserve technological support
Nchọpụta a na-enyere nchekwa asụsụ aka,This research supports language preservation
Orụ Ngo Afọ Ikpeazụ,Final Year Project
Nnyocha,Research
Akwụkwọ Nnyocha,Research Paper
Nkọwa Nsogbu,Problem Statement
Ebumnuche Nnyocha,Research Objective
Ajụjụ Nnyocha,Research Question
Usoro Nnyocha,Research Methodology
Nyocha Akwụkwọ,Literature Review
Nyocha Data,Data Analysis
Mmepe Sistem,System Development
Nnwale Sistem,System Testing
Nsonaazụ,Results
Mkparịta Ụka,Discussion
Mmechi,Conclusion
Aro,Recommendation
Nchịkọta Orụ,Project Summary
Onye Nlekọta,Supervisor
Onye Nnyocha,Researcher
Nchekwa Data,Data Storage
Ntụgharị Asụsụ Igbo Bekee,Igbo English Translation
Self Attention Mechanism,Self Attention Mechanism
Dataset,Dataset
Corpus,Corpus
Machine Translation,Ntụgharị Asụsụ Akpaaka
Artificial Intelligence,Amamihe Arụrụ Arụ
NLP na-enyere kọmputa ịghọta asụsụ,NLP helps computers understand language
Asụsụ mmadụ siri ike nghọta,Human language is difficult to understand
NLP bụ akụkụ AI,NLP is a branch of AI
Anyi na-arụ ọrụ na asụsụ Igbo,We are working with the Igbo language
A na-eji tokenizer kewaa ederede,A tokenizer splits text into tokens
Anyi na-ewepụ mkpụrụokwu na-adịghị mkpa,We remove unnecessary words
Dataset anyị nwere ederede Igbo na Bekee,Our dataset contains Igbo and English text
NLP na-akwado ntụgharị asụsụ,NLP supports language translation
Anyi na-amụ semantics na syntax,We study semantics and syntax
A ga-enyocha ogo ntụgharị asụsụ,Translation quality will be evaluated
Nhazi Asụsụ Nkịtị,Natural Language Processing
Ntụgharị Asụsụ,Machine Translation
Nhazi Okwu,Text Processing
Mgbakọ Okwu,Word Count
Nchịkọta Okwu,Corpus
Nyocha Mmetụta,Sentiment Analysis
Nkọwapụta Okwu,Text Classification
Ịmata Aha,Named Entity Recognition
Nchọpụta Asụsụ,Language Detection
Nkewa Ahịrịokwu,Sentence Segmentation
Nchịkọta Okwu Mgbọrọgwụ,Stemming
Nhazi Lemma,Lemmatization
Ntụgharị Okwu,Word Embedding
Nchekwa Okwu,Vocabulary
Nyocha Ahịrịokwu,Sentence Analysis
Nyocha Okwu,Word Analysis
Nnyocha Nkọwa,Semantic Analysis
Nnyocha Grama,Syntactic Analysis
Nghọta Asụsụ,Language Understanding
Ọgbọ Okwu,Text Generation
Mepụta Ahịrịokwu,Sentence Generation
Nyocha Mkparịta Ụka,Dialogue Analysis
Chatbot,Chatbot
Ajụjụ na Azịza,Question Answering
Nchịkọta Akụkọ,Text Summarization
Ntụgharị Okwu N'otu Asụsụ,Paraphrasing
Nyocha Mkpụrụedemede,Character Analysis
Nchọpụta Njehie,Error Detection
Mmezi Njehie,Error Correction
Nkọwa Okwu,Word Meaning
Njikọ Okwu,Word Association
Nnyocha Mkpọpụta,Speech Analysis
Nchọpụta Isiokwu,Topic Detection
Nchọpụta Isi Akụkọ,Topic Modeling
Anom na klaasi otu,I am in primary one
Anom na klaasi abuo,I am in primary two
Anom na klaasi ato,I am in primary three
Anom na klaasi ano,I am in primary four
Anom na klaasi ise,I am in primary five
Anom na klaasi isii,I am in primary six
Onye nkuzi anyi mara ezigbo ihe,Our teacher is knowledgeable
Anyi gara ulo akwukwo taa,We went to school today
Anyi guru sayensi taa,We studied science today
Anyi guru mgbako taa,We studied mathematics today
Ụlọ Akwụkwọ Praịmarị,Primary School
Nwa Akwụkwọ,Pupil
Onye Nkụzi,Teacher
Klas,Class
Ihe Omụmụ,Lesson
Akwụkwọ,Book
Pensụl,Pencil
Pensụl Mkpisi,Eraser
Tebụl,Table
Oche,Chair
Bọdụ,Board
Ọgụgụ,Reading
Ide Ihe,Writing
Mgbakọ,Mathematics
Sayensị,Science
Bekee,English Language
Igbo,Igbo Language
Akụkọ Ihe Mere Eme,History
Egwuregwu,Sports
Ọmụmụ Ihe,Learning
Nkuzi,Teaching
Ụbọchị Akwụkwọ,School Day
Ezumike,Break Time
Ọrụ Ụlọ,Homework
Ndị Mụrụ Ụmụakwụkwọ,Parents
Nlekọta Nwa,Child Care
Akwụkwọ Ndebanye,Attendance Register
Ụlọ Klas,Classroom
Aga m ede WAEC,I will write WAEC
Aga m ede NECO,I will write NECO
Aga m ede JAMB,I will write JAMB
Biology bu isiokwu m kacha amasiri,Biology is my favourite subject
Kemistri siri ike,Chemistry is difficult
Physics na-ato m uto,Physics interests me
Anyi nwere practical taa,We have practical today
Onye nkuzi sayensi abiara taa,The science teacher came today
Akwukwo m di n'akwukwo nchekwa m,My notebook is in my school bag
Anyi na akwadebe maka ule,We are preparing for examinations
Ụlọ Akwụkwọ Sekọndrị,Secondary School
Nwa Akwụkwọ,Student
Isi Nkụzi,Principal
Vice Principal,Vice Principal
Nkuzi,Lesson
Fiziks,Physics
Kemistri,Chemistry
Bayoloji,Biology
Gọọmenti,Government
Nchịkọta Ahịa,Economics
Akaụntụ,Accounting
Geography,Geography
WAEC,WAEC
NECO,NECO
JAMB,JAMB
Ụlọ Nkuzi,Classroom
Ọbá Akwụkwọ,Library
Laboratorị,Laboratory
Ọrụ Ụlọ,Assignment
Asambodo,Certificate
Ngụsị Akwụkwọ,Graduation
Mmepe Nwa,Student Development
Nduzi,Guidance
Ntụgharị asụsụ dị ezigbo mkpa,Translation is very important
Anyi na-ewu translator ọhụrụ,We are building a new translator
A ga-atụgharị ahịrịokwu a,This sentence will be translated
Asụsụ Igbo chọrọ nkwado teknụzụ,The Igbo language needs technological support
Model ahụ nwere ike ịtụgharị ederede,The model can translate text
Anyi na-atụgharị Bekee gaa Igbo,We translate English into Igbo
Anyi na-atụgharị Igbo gaa Bekee,We translate Igbo into English
Ogo ntụgharị asụsụ dị mkpa,Translation quality is important
A na-eji BLEU score tụọ ogo ntụgharị,A BLEU score measures translation quality
Ntụgharị a ziri ezi,This translation is accurate
igbo,english
Ndewo,Hello
Kedu ka ị mere?,How are you?
Ụtụtụ ọma,Good morning
Ehihie ọma,Good afternoon
Mgbede ọma,Good evening
Ka ọ dị,Welcome
Daalụ,Thank you
Biko,Please
Ndo,Sorry
Ka ọ dị mma?,Is it okay?
Aha m bụ John,My name is John
Kedu aha gị?,What is your name?
Ebee ka ị si?,Where are you from?
Anọ m n'ụlọ akwụkwọ,I am in school
Achọrọ m ịmụ,I want to learn
Ọ bụ eziokwu,It is true
Ọ bụghị eziokwu,It is not true
Anọ m ebe a,I am here
Bịa ebe a,Come here
Gaa ụlọ,Go home
Abum nwa akwukwo mahadum,I am a university student
Enwerem lecture n'ututu,I have a lecture this morning
Enwerem seminar echi,I have a seminar tomorrow
Anyi gara laboratory taa,We went to the laboratory today
Anyi nyefere assignment anyi,We submitted our assignment
Aga m echebe project m,I will defend my project
Prọfesọ anyi nyere anyi oru,Our professor gave us an assignment
Anyi na-eme nyocha,We are conducting research
Anyi nwere workshop n'izu a,We have a workshop this week
Aga m agụ maka ule semester,I will study for the semester examination
Anyi nwere tutorial taa,We have a tutorial today
Aga m aga lecture hall,I will go to the lecture hall
Nwa akwukwo nile no na lecture,All students are in the lecture
Onye nkuzi juru anyi ajuju,The lecturer asked us questions
Anyi zara ajuju nile,We answered all the questions
Aga m ede report,I will write a report
Anyi nyefere report anyi,We submitted our report
Aga m eme presentation,I will make a presentation
Anyi gosiputara nchoputa anyi,We presented our findings
Prọfesọ toro oru anyi,The professor praised our work
Anyi nwere practical laboratory,We have a laboratory practical
Nchoputa a metutara mmuta,This research concerns education
Anyi gara ogbako omumu,We attended an academic conference
Aga m ebipụta nchoputa m,I will publish my research
Anyi jiri SPSS nyochaa data,We used SPSS to analyze data
Anyi jiri Excel hazie data,We used Excel to organize data
Onye ndu anyi nyochara chapter mbu,Our supervisor reviewed chapter one
Aga m ede chapter ise,I will write chapter five
Anyi chotara ihe di mkpa,We discovered important findings
Nchoputa anyi gosiri ezigbo nsonaazu,Our research produced good results
Mahadum,University
Nwa Akwụkwọ Mahadum,University Student
Onye Nkụzi,Lecturer
Prọfesọ,Professor
Ngalaba,Department
Fakọlti,Faculty
Dean,Dean
Vice Chancellor,Vice Chancellor
Registrar,Registrar
Bursar,Bursar
Ọmụmụ Nna Ukwu,Undergraduate Study
Ọmụmụ Nna Ochie,Postgraduate Study
Nna Ukwu Mbụ,First Degree
Masta,Masters Degree
Doktọret,Doctorate Degree
Ndebanye Akwụkwọ,Registration
Ụgwọ Akwụkwọ,School Fees
Transcript,Transcript
Semester,Semester
Afọ Akwụkwọ,Academic Session
Nkuzi,Lecture
Ụlọ Nkuzi,Lecture Hall
Ndị Nkuzi,Academic Staff
Ndị Ọrụ,Non Academic Staff
Nchịkọta GPA,GPA Calculation
Nchekwa Nsonaazụ,Result Management
Akwụkwọ Ngụsị Akwụkwọ,Certificate
Aha m bụ Chinedu,My name is Chinedu
Abụ m onye Enugu,I am from Enugu
Kedu ebe ị na-aga?,Where are you going?
Ana m aga ahịa,I am going to the market
Ị riela nri?,Have you eaten?
Ee eriela m,Yes I have eaten
Mba eribeghị m,No I have not eaten
Kedu ihe ị chọrọ?,What do you want?
Achọrọ m mmiri,I want water
Achọrọ m nri,I want food
Enwere m agụụ,I am hungry
Enwere m akpịrị ịkpọ nkụ,I am thirsty
Biko nyere m aka,Please help me
Enweghị nsogbu,No problem
Kedu oge ọ bụ?,What time is it?
Ọ bụ elekere atọ,It is three o'clock
Anyi ga-ahụ echi,We will meet tomorrow
Ka ọ dị ugbu a?,How is everything now?
Ezinụlọ,Family
Nna,Father
Nne,Mother
Nwa,Child
Nwanne nwoke,Brother
Nwanne nwanyị,Sister
Nna nna,Grandfather
Nne nne,Grandmother
Di,Husband
Nwunye,Wife
Nwa nwoke,Son
Nwa nwanyị,Daughter
Nwanne,Relative
Ezigbo enyi,Close friend
Nwa nwanne,Nephew
Nwa nwanne nwanyị,Niece
Ezinụlọ m,My family
A hụrụ m ezinụlọ m n'anya,I love my family
Anyi bụ ezinụlọ ọma,We are a good family
Nna m nọ n'ụlọ,My father is at home
Ka chi fo,Good night
Kedu?,How are you?
Adị m mma,I am fine
Nnọọ,Welcome
Ka ọ dị?,How is it?
Ọ dị mma,It is fine
Ka emesia,See you later
Nọrọ nke ọma,Stay well
Jisie ike,Take care
Ka ọ dị gị?,How are you doing?
Ekele m gị,I greet you
Daalụ nke ukwuu,Thank you very much
Enwere m obi ụtọ,I am happy
Ọ dị m nwute,I am sorry
Ụgbọ ala,Car
Bọs,Bus
Ụgbọ elu,Airplane
Ụgbọ mmiri,Boat
Okporo ụzọ,Road
Onye ọkwọ ụgbọ ala,Driver
Tiketi,Ticket
Njem,Journey
Ụzọ,Route
Ebe ụgbọ ala na-akwụsị,Bus Stop
Ọdụ ụgbọ elu,Airport
Ọdụ ụgbọ mmiri,Seaport
Ana m eje ije,I am walking
Ana m ewere ụgbọ ala,I am taking a car
Njem ahụ dị ogologo,The journey is long
Kedu ebe ọdụ ụgbọ ala dị?,Where is the bus stop?
Bọs ahụ eruola,The bus has arrived
Anyi na-eme njem taa,We are travelling today
Ụgbọ ala ahụ mebiri,The car broke down
Njem ọma,Safe journey
Gọvanọ kwuru okwu taa.,The governor spoke today.
A họpụtara onye isi ọhụrụ.,A new leader was elected.
Ụlọ omeiwu zukọrọ.,The parliament held a meeting.
Iwu ọhụrụ ahụ amalitela.,The new law has taken effect.
Ụmụ amaala nwere ikike.,Citizens have rights.
A ga-eme ntuli aka echi.,The election will take place tomorrow.
Onye isi ala bịara obodo ahụ.,The president visited the town.
Minista ahụ nyere akụkọ.,The minister gave a report.
A na-anakọta ụtụ isi.,Taxes are collected.
A ga-ewu ụzọ ọhụrụ.,A new road will be constructed.
Ọfịs ahụ meghere n'ụtụtụ.,The office opened in the morning.
A kwadoro mmefu ego.,The budget was approved.
A ga-eme nyocha.,An investigation will be conducted.
Ha bịanyere aka na nkwekọrịta.,They signed the agreement.
Obodo chọrọ mmepe.,The community needs development.
Ọrịa,Disease
Ịba,Malaria
Typhoid,Typhoid Fever
Ọrịa Shuga,Diabetes
Ọbara Mgbali Elu,Hypertension
Ọrịa Obi,Heart Disease
Ọrịa Cancer,Cancer
Ọrịa Akpịrị,Throat Infection
Ọrịa Ntị,Ear Infection
Ọrịa Anya,Eye Disease
Ọrịa Akpụkpọ Ahụ,Skin Disease
COVID-19,COVID-19
Ọrịa Nkụchi Ume,Asthma
Ọrịa Ume,Pneumonia
Tuberculosis,Tuberculosis
Ọrịa Akụrụ,Kidney Disease
Ọrịa Imeju,Liver Disease
Ọrịa Obi Ọjọọ,Heart Failure
Mgbu Isi,Headache
Ọkụ Ahụ,Fever
Ntụrụndụ Ahụ Ike,Recovery
Mgbu Afọ,Stomach Pain
Ọgbụgbọ,Vomiting
Ọsịsa,Diarrhea
Nsogbu Ura,Sleep Disorder
Nsogbu Nri,Malnutrition
Nsogbu Uche,Mental Illness
Ịda Mbà N'obi,Depression
Nchekasị,Anxiety
Ọrịa Na-efe Efe,Infectious Disease
Ọgwụ,Medicine
Mkpụrụ Ọgwụ,Tablet
Capsule,Capsule
Syrup,Syrup
Injection,Injection
Paracetamol,Paracetamol
Ibuprofen,Ibuprofen
Antibiotic,Antibiotic
Antimalarial,Antimalarial Drug
Vitamin,Vitamin
Dose,Dosage
Prescription,Prescription
Onye Na-enye Ọgwụ,Pharmacist
Ụlọ Ọgwụ,Pharmacy
Mgbochi Ọrịa,Vaccine
Immunization,Immunization
Ọgwụ Mgbu,Pain Reliever
Ọgwụ Nchekwa Ahụ,Supplement
Mgbochi Nsị,Antiseptic
Bandeeji,Bandage
