english,igbo
he studies computer programming. tomorrow,Ọ na-amụ mmemme kọmputa.
the vehicle carried the product. today,Ụgbọala bu ngwaahịa ahụ.
she works part time.,Ọ na-arụ ọrụ nwa oge.
the database contains a lot of information. now,Ebe nchekwa data nwere ọtụtụ ozi.
students study their culture.,Ụmụ akwụkwọ na-amụ banyere omenala ha.
the grandmother told a story at night. now,Nne ochie kọrọ akụkọ n'abalị.
working together helps students.,Ịrụkọ ọrụ ọnụ na-enyere ụmụ akwụkwọ aka.
they are planting vegetables. now,Ha na-akụ akwụkwọ nri.
i am well.,Ọ dị m mma.
learning helps a person achieve their goals.,Ọmụmụ ihe na-enyere mmadụ aka iru ihe mgbaru ọsọ ya.
studying helps students. today,Ịgụ akwụkwọ na-enyere ụmụ akwụkwọ aka.
the student needs help.,Nwa akwụkwọ ahụ chọrọ enyemaka.
this soil is good for planting.,Ala a dị mma maka ịkụ ihe.
the trader sells clothes.,Onye na-ere ahịa na-ere uwe.
the company sells products. later,Ụlọ ọrụ ahụ na-ere ngwaahịa.
people greet one another at celebrations.,Ndị mmadụ na-enye ibe ha ekele n'emume.
the celebration took place in the town. now,Emume ahụ mere n'obodo.
many people buy this product. today,Ọtụtụ mmadụ na-azụ ngwaahịa a.
health campaigns provide important information.,Mkpọsa ahụike na-enye ozi dị mkpa.
i am coming now.,Abịa m ugbu a.
the company made a profit.,Ụlọ ọrụ ahụ nwetara uru.
the family works together.,Ezinụlọ ahụ na-arụ ọrụ ọnụ.
the lecture was useful. tomorrow,Nkuzi ahụ bara uru.
cleanliness helps prevent disease. tomorrow,Ịdị ọcha na-enyere aka igbochi ọrịa.
the book is on the table.,Akwụkwọ ahụ dị na tebụl.
the students study the igbo language. now,Ụmụ akwụkwọ na-amụ asụsụ Igbo.
the leader read a passage from the holy book. later,Onye nduzi gụrụ akụkụ akwụkwọ nsọ.
working together brings development.,Ịrụkọ ọrụ ọnụ na-eweta mmepe.
the company made a profit. today,Ụlọ ọrụ ahụ nwetara uru.
regular health checkups are important.,Nyocha ahụike mgbe niile dị mkpa.
working together brings development. now,Ịrụkọ ọrụ ọnụ na-eweta mmepe.
that idea is good.,Echiche ahụ dị mma.
they store the harvest in a warehouse.,Ha na-echekwa ihe ubi n'ụlọ nkwakọba ihe.
we used fertilizer to improve the soil.,Ha ji fatịlaịza mee ka ala dị mma.
drinking alcohol can harm health. tomorrow,Ịṅụ mmanya na-aba n'anya nwere ike imerụ ahụike.
many diseases spread through germs. tomorrow,Ọtụtụ ọrịa na-agbasa site na nje.
he works in an office. later,Ọ na-arụ ọrụ n'ụlọ ọrụ.
hello. today,Ndewo.
it is nothing. now,Ọ dịghị ihe.
illness can affect a family. now,Ọrịa nwere ike imetụta ezinụlọ.
the children pray before they eat.,Ụmụaka na-ekpe ekpere tupu ha erie nri.
it is not a problem. today,Ọ bụghị nsogbu.
they remember the stories of our ancestors.,Anyị na-echeta akụkọ ndị nna nna anyị.
the government made a new law.,Gọọmenti mere iwu ọhụrụ.
good governance helps the community.,Ezi ọchịchị na-enyere obodo aka.
they paid the rent.,Ha kwụrụ ụgwọ ụlọ.
the school is in the town. now,Ụlọ akwụkwọ ahụ dị n'obodo.
the harvest began. today,Owuwe ihe ubi malitere.
the government keeps public records. tomorrow,Gọọmenti na-echekwa ndekọ obodo.
the customer paid with cash.,Onye ahịa jiri ego kwụọ ụgwọ.
"yes, i need help.","Ee, achọrọ m enyemaka."
let us stop.,Ka anyị kwụsị.
the farmer returned home after sunset.,Onye ọrụ ugbo laghachiri n'ụlọ mgbe anyanwụ dara.
they study science.,Ha na-amụ sayensị.
they need to increase profit.,Ha chọrọ ịbawanye uru.
what is this? today,Gịnị ka nke a bụ?
the family prays together. today,Ezinụlọ ahụ na-ekpe ekpere ọnụ.
we gathered the harvest.,Ha kpọkọtara ihe ubi.
the government builds hospitals. later,Gọọmenti na-arụ ụlọ ọgwụ.
he returned home. later,Ọ lọtara n'ụlọ.
the farmers received assistance. today,Ndị ọrụ ugbo nwetara enyemaka.
religion teaches goodness. now,Okpukpe na-akụzi ịdị mma.
the community prepared for the celebration.,Ndị obodo kwadebere maka emume ahụ.
she is at home.,Ọ nọ n'ụlọ.
the company provides different services.,Ụlọ ọrụ ahụ na-enye ọrụ dị iche iche.
he downloaded a new application. later,Ọ budatara ngwa ọhụrụ.
we am going to the market.,Anọ m na-aga ahịa.
they plant seeds in rows.,Ha na-akụ mkpụrụ n'ahịrị.
we do not know that place.,Amaghị m ebe ahụ.
the government builds schools. later,Gọọmenti na-arụ ụlọ akwụkwọ.
how are you?,Kedu ka ị mere?
do you understand? tomorrow,Ị ghọtara?
the house was filled with the smell of food. later,Ụlọ ahụ jupụtara n'isi nri.
the people elected a new leader.,Ndị mmadụ họpụtara onye isi ọhụrụ.
traditional clothing shows a person's culture. tomorrow,Uwe ọdịnala na-egosi omenala mmadụ.
the teacher checked the students' work.,Onye nkuzi nyochara ọrụ ụmụ akwụkwọ.
the maize is ready for harvest.,Ọka dị njikere maka owuwe ihe ubi.
the teacher gave advice.,Onye nkuzi nyere ndụmọdụ.
she uses his phone to call his friend.,Ọ na-eji ekwentị kpọọ enyi ya.
she received a new email.,Ọ natara email ọhụrụ.
the administrator manages the database.,Onye nchịkwa na-elekọta nchekwa data.
names are an important part of culture.,Aha bụ akụkụ dị mkpa nke omenala.
she went for a job interview.,Ọ gara ajụjụ ọnụ maka ọrụ.
we should listen to elders' advice.,Anyị kwesịrị ige ndụmọdụ ndị okenye ntị.
the government collects taxes. now,Gọọmenti na-anakọta ụtụ isi.
parents teach their children igbo. now,Ndị nne na nna na-akụziri ụmụ ha Igbo.
it is okay.,Ọ dị mma.
we should work together. later,Anyị kwesịrị ịrụkọ ọrụ ọnụ.
the government promised to build roads.,Gọọmenti kwere nkwa ịrụ ụzọ.
the teacher sent learning materials online. later,Onye nkuzi zitere ihe ọmụmụ n'ịntanetị.
they discussed the business plan.,Ha tụlere atụmatụ azụmahịa ahụ.
they planted rice on the farm.,Anyị kụrụ osikapa n'ubi.
i want water.,A chọrọ m mmiri.
computer skills help a person find a job. today,Nkà kọmputa na-enyere mmadụ aka ịchọta ọrụ.
the code works well. now,Koodu ahụ na-arụ ọrụ nke ọma.
the company has many employees. tomorrow,Ụlọ ọrụ ahụ nwere ọtụtụ ndị ọrụ.
look at this.,Lee nke a.
they harvest the crops on time. today,Ha na-ewe ihe ubi n'oge.
she built a website.,Ọ wuru weebụsaịtị.
you are right.,Ị kwuru eziokwu.
the celebration took place at home. tomorrow,Emume ahụ mere n'ụlọ.
traditional stories teach many things. later,Akụkọ ọdịnala na-akụzi ọtụtụ ihe.
they want to increase profit.,Ha chọrọ ịbawanye uru.
the teacher stood in front of the classroom.,Onye nkuzi guzoro n'ihu klaasị.
the meeting took place in the meeting hall.,Nzukọ ahụ mere n'ụlọ nzukọ.
"yes, i require help.","Ee, achọrọ m enyemaka."
the branch is in another city. today,Alaka ahụ dị n'obodo ọzọ.
machines can work quickly. now,Igwè nwere ike ịrụ ọrụ ngwa ngwa.
researchers study artificial intelligence.,Ndị nyocha na-amụ ọgụgụ isi mmadụ.
the mother took the child to the hospital.,Nne kpọgara nwa ahụ ụlọ ọgwụ.
the government builds roads.,Gọọmenti na-arụ ụzọ.
who called you? tomorrow,Ònye kpọrọ gị?
irrigation helps crops.,Ịgba mmiri na-enyere ihe ọkụkụ aka.
the community prepares food for visitors.,Ndị obodo na-akwadebe nri maka ndị ọbịa.
children learned about religion.,Ụmụaka mụtara ihe n'okpukpe.
children should learn their language.,Ụmụaka kwesịrị ịmụ asụsụ ha.
they transported the product to the shop.,Ha bufere ngwaahịa ahụ n'ụlọ ahịa.
the student has a big dream. today,Nwa akwụkwọ ahụ nwere nnukwu nrọ.
humility is a good quality. later,Ịdị umeala n'obi bụ omume ọma.
elders give advice. today,Ndị okenye na-enye ndụmọdụ.
we store the harvest in a warehouse.,Ha na-echekwa ihe ubi n'ụlọ nkwakọba ihe.
technology helps people.,Ụzụ na-enyere ndị mmadụ aka.
they read the holy book.,Ha na-agụ akwụkwọ nsọ.
the community prepared for the celebration. today,Ndị obodo kwadebere maka emume ahụ.
the university has many students. tomorrow,Mahadum ahụ nwere ọtụtụ ụmụ akwụkwọ.
they thanked god for the food.,Ha kelere Chineke maka nri.
the visitor gave a speech.,Onye ọbịa kwuru okwu.
they gave food to the visitor. now,Ha nyere ọbịa nri.
he washes his hands before eating.,Ọ na-asa aka ya tupu o rie nri.
the family goes to worship together. tomorrow,Ezinụlọ na-aga ofufe ọnụ.
the teacher is in the classroom. today,Onye nkuzi nọ na klaasị.
do you need anything? later,Ị chọrọ ihe ọ bụla?
they need to expand their business.,Ha chọrọ ịgbasa azụmahịa ha.
good governance helps the community. tomorrow,Ezi ọchịchị na-enyere obodo aka.
"no, i do not need anything. today","Mba, achọghị m ihe ọ bụla."
a person who breaks the law may be punished.,Onye mebiri iwu nwere ike ịta ahụhụ.
we used chemicals to protect the crops.,Ha ji ọgwụ chebe ihe ọkụkụ.
learning is important.,Ọmụmụ ihe dị mkpa.
hope helps a person move forward.,Olileanya na-enyere mmadụ aka ịga n'ihu.
the government protects the environment. later,Gọọmenti na-echekwa gburugburu ebe obibi.
culture changes over time.,Omenala na-agbanwe ka oge na-aga.
the people gave advice.,Ndị mmadụ nyere ndụmọdụ.
kindness is important among people. later,Obiọma dị mkpa n'etiti ndị mmadụ.
the farmer raises goats.,Onye ọrụ ugbo na-azụ ewu.
they have many chickens.,Ha nwere ọtụtụ ọkụkọ.
everyone should respect the law. today,Onye ọ bụla kwesịrị ịkwanyere iwu ùgwù.
will you come tomorrow?,Ị ga-abịa echi?
people should use technology responsibly. tomorrow,Ndị mmadụ kwesịrị iji teknụzụ mee ihe n'ụzọ ziri ezi.
he uses technology for learning. today,Ọ na-eji teknụzụ eme mmụta.
young people support their culture. tomorrow,Ndị ntorobịa na-akwado omenala ha.
"yes, i require water.","Eeh, achọrọ m mmiri."
learning is important. now,Ọmụmụ ihe dị mkpa.
people pay taxes. later,Ndị mmadụ na-akwụ ụtụ isi.
they asked for forgiveness.,Ha rịọrọ mgbaghara.
laws help maintain peace. now,Iwu na-enyere aka idobe udo.
the women wore beautiful clothing.,Ndị inyom yi akwa mara mma.
farming requires good planning.,Ọrụ ugbo chọrọ ezigbo atụmatụ.
she listened to the advice.,Ọ gere ndụmọdụ ahụ ntị.
he works full time.,Ọ na-arụ ọrụ oge niile.
i have hope. today,Enwere m olileanya.
the government manages the community.,Gọọmenti na-elekọta obodo.
the teacher explained the topic. now,Onye nkuzi kọwara ihe ahụ.
people want to live in peace.,Ndị mmadụ chọrọ ibi n'udo.
the human body needs good food.,Ahụ mmadụ chọrọ ezigbo nri.
training helps young people. later,Ọzụzụ na-enyere ndị ntorobịa aka.
reading makes a person knowledgeable. now,Ịgụ akwụkwọ na-eme ka mmadụ mara ihe.
it is important to update software.,Ọ dị mkpa imelite ngwanrọ.
i am not feeling well. today,Anaghị m enwe ahụ ike.
the government issues licenses.,Gọọmenti na-enye akwụkwọ ikike.
i am going home.,Ana m aga ụlọ.
the application helps people.,Ngwa ahụ na-enyere ndị mmadụ aka.
it is important to use technology properly. later,Ọ dị mkpa iji teknụzụ mee ihe nke ọma.
the company promoted its product.,Ụlọ ọrụ ahụ kwalitere ngwaahịa ya.
he uses his phone to call his friend.,Ọ na-eji ekwentị kpọọ enyi ya.
she is watering the farm.,Ọ na-agba mmiri n'ubi.
the price of the product is low.,Ọnụ ahịa ngwaahịa ahụ dị ala.
business requires good planning. later,Azụmahịa chọrọ ezigbo atụmatụ.
we want food.,A chọrọ m nri.
the teacher wrote on the board. now,Onye nkuzi dere n'elu bọọdụ.
the student likes science. later,Nwa akwụkwọ ahụ hụrụ sayensị n'anya.
the students listened to the teacher. now,Ụmụ akwụkwọ gere onye nkuzi ntị.
she likes reading.,Ọ masịrị ya ịgụ akwụkwọ.
we organized the farm work well. now,Anyị haziri ọrụ ubi nke ọma.
i am happy to meet you. later,Obi dị m ụtọ izute gị.
it is not good to take medicine without advice. tomorrow,Ọ dịghị mma ịṅụ ọgwụ n'enweghị ndụmọdụ.
leaders make plans for the future.,Ndị isi na-eme atụmatụ maka ọdịnihu.
please say it again.,Biko kwuo ya ọzọ.
the classroom is clean.,Klaasị ahụ dị ọcha.
artificial intelligence learns from data. tomorrow,Ọgụgụ isi mmadụ na-eji data amụta ihe.
many people pray every day. later,Ọtụtụ mmadụ na-ekpe ekpere kwa ụbọchị.
i am at work.,Anọ m n'ọrụ.
the chicken laid an egg. today,Ọkụkọ ahụ tọrọ akwa.
he installed new software.,Ọ wụnyere ngwanrọ ọhụrụ.
they sell food at the market. later,Ha na-ere nri n'ahịa.
people gather at the place of worship.,Ndị mmadụ na-ezukọ n'ebe ofufe.
the children dance well.,Ụmụaka na-agba egwu nke ọma.
the student needs help. now,Nwa akwụkwọ ahụ chọrọ enyemaka.
he has pain in his body. now,Ọ na-enwe ihe mgbu n'ahụ.
sunlight helps crops grow. tomorrow,Anwụ na-enyere ihe ọkụkụ aka ito.
the company has many employees.,Ụlọ ọrụ ahụ nwere ọtụtụ ndị ọrụ.
water shortage affects agriculture.,Ụkọ mmiri na-emetụta ọrụ ugbo.
many people need this product.,Ọtụtụ ndị mmadụ chọrọ ngwaahịa a.
his friends gave him support.,Ndị enyi nyere ya nkwado.
we take good care of the livestock.,Ha na-elekọta anụ ụlọ nke ọma.
he went to the market. now,Ọ gara ahịa.
a lawyer helps people.,Onye ọka iwu na-enyere ndị mmadụ aka.
truth is important in life. later,Eziokwu dị mkpa na ndụ.
the meeting started at ten o'clock.,Nzukọ ahụ malitere n'elekere iri.
they celebrated happily.,Ha ji obi ụtọ mee emume ahụ.
people listened to the sermon. now,Ndị mmadụ gere ozi ọma ahụ ntị.
welcoming visitors is an important tradition. later,Ịnabata ọbịa bụ omenala dị mkpa.
people learned about the law. now,Ndị mmadụ mụtara banyere iwu ahụ.
water helps the body.,Mmiri na-enyere ahụ aka.
iron is important for the body. today,Ígwè dị mkpa maka ahụ.
the students wrote their examination. tomorrow,Ụmụ akwụkwọ dere ule ha.
we gave the family food.,Ha nyere ezinụlọ ahụ nri.
they used a machine to harvest the crops. today,Ha ji igwe ewe ihe ubi.
some traditions are still alive today. now,Ụfọdụ omenala ka dị ndụ taa.
the government supports agriculture.,Gọọmenti na-akwado ọrụ ugbo.
the ubo-aka is one of the traditional musical instruments. tomorrow,Ụbọ aka bụ otu n'ime ngwá egwu ọdịnala.
the student attended an online class. tomorrow,Nwa akwụkwọ ahụ gara klasị n'ịntanetị.
health is very important.,Ahụike dị ezigbo mkpa.
the igbo people have many traditions.,Ndị Igbo nwere ọtụtụ omenala.
people dance at celebrations. now,Ndị mmadụ na-agba egwu n'emume.
the children dance well. now,Ụmụaka na-agba egwu nke ọma.
the new product is in the market.,Ngwaahịa ọhụrụ ahụ dị n'ahịa.
she works in an office.,Ọ na-arụ ọrụ n'ụlọ ọrụ.
my name is chinedu.,Aha m bụ Chinedu.
the company promoted its product. now,Ụlọ ọrụ ahụ kwalitere ngwaahịa ya.
the record contains important information.,Ndekọ ahụ nwere ozi dị mkpa.
we am at work.,Anọ m n'ọrụ.
i want to drink water.,Achọrọ m ịṅụ mmiri.
the book contains many teachings.,Akwụkwọ ahụ nwere ọtụtụ nkuzi.
many people purchase this product.,Ọtụtụ mmadụ na-azụ ngwaahịa a.
grass grows quickly.,Ahịhịa na-eto ngwa ngwa.
some jobs use machines. tomorrow,Ụfọdụ ọrụ na-eji igwe eme ihe.
the manager has a meeting. later,Onye njikwa nwere nzukọ.
we deposited money in the bank.,Ha debere ego n'ụlọ akụ.
the ubo-aka is one of the traditional musical instruments.,Ụbọ aka bụ otu n'ime ngwá egwu ọdịnala.
he replied to the email.,Ọ zara email ahụ.
the student failed the examination.,Nwa akwụkwọ ahụ dara ule ahụ.
the doctor gave the patient medicine.,Dọkịta nyere onye ọrịa ọgwụ.
the company received the order. today,Ụlọ ọrụ ahụ natara iwu ahụ.
the system has a problem.,Usoro ahụ nwere nsogbu.
diseases can harm crops. tomorrow,Ọrịa nwere ike imerụ ihe ọkụkụ.
they gave the family food. later,Ha nyere ezinụlọ ahụ nri.
farming requires good planning. later,Ọrụ ugbo chọrọ ezigbo atụmatụ.
it is eight o'clock. today,Ọ bụ elekere asatọ.
the university has many students.,Mahadum ahụ nwere ọtụtụ ụmụ akwụkwọ.
we want to increase profit.,Ha chọrọ ịbawanye uru.
they harvest the crops on time.,Ha na-ewe ihe ubi n'oge.
researchers study artificial intelligence. later,Ndị nyocha na-amụ ọgụgụ isi mmadụ.
the customer ordered a product. tomorrow,Onye ahịa nyere iwu ngwaahịa.
she called the technician.,Ọ kpọrọ onye na-ahụ maka teknụzụ.
taxes help the government. tomorrow,Ụtụ isi na-enyere gọọmenti aka.
the internet helps students learn.,Ịntanetị na-enyere ụmụ akwụkwọ aka ịmụ ihe.
she created a strong password.,Ọ mepụtara paswọọdụ siri ike.
he does homework. later,Ọ na-eme ihe omume ụlọ.
he needs the support of his family.,Ọ chọrọ nkwado nke ezinụlọ ya.
children greet elders.,Ụmụaka na-ekele ndị okenye.
irrigation helps crops. now,Ịgba mmiri na-enyere ihe ọkụkụ aka.
let us talk.,Ka anyị kwuo okwu.
his family supports him.,Ezinụlọ ya na-akwado ya.
they need to improve their service.,Ha chọrọ ime ka ọrụ ha ka mma.
jobs help families.,Ọrụ na-enyere ezinụlọ aka.
water shortage affects agriculture. today,Ụkọ mmiri na-emetụta ọrụ ugbo.
the government supports agriculture. now,Gọọmenti na-akwado ọrụ ugbo.
he installed security software. tomorrow,Ọ wụnyere ngwanrọ nchebe.
he saved the document.,Ọ chekwaara akwụkwọ ahụ.
the system has a problem. now,Usoro ahụ nwere nsogbu.
many people use this road. later,Ọtụtụ mmadụ na-eji ụzọ a.
we want to expand their business.,Ha chọrọ ịgbasa azụmahịa ha.
many people depend on small businesses. today,Ọtụtụ mmadụ na-adabere n'obere azụmahịa.
people can participate in the program. tomorrow,Ndị mmadụ nwere ike isonye na mmemme ahụ.
the student is preparing for an examination. later,Nwa akwụkwọ ahụ na-akwadebe maka ule.
internet security is important.,Nchekwa ịntanetị dị mkpa.
religion teaches goodness.,Okpukpe na-akụzi ịdị mma.
farmers face climate change. later,Ndị ọrụ ugbo na-eche ihu mgbanwe ihu igwe.
elders tell stories about the past. today,Ndị okenye na-akọ akụkọ banyere oge gara aga.
the company hired a new employee.,Ụlọ ọrụ ahụ goro onye ọrụ ọhụrụ.
he works part time.,Ọ na-arụ ọrụ nwa oge.
he finds comfort during difficult times.,Ọ na-enweta nkasi obi n'oge nsogbu.
she needs to rest.,Ọ chọrọ izu ike.
my father went to work. tomorrow,Nna m gara ọrụ.
he wants to go to university.,Ọ chọrọ ịga mahadum.
the farmer takes care of his farm every day.,Onye ọrụ ugbo na-elekọta ubi ya kwa ụbọchị.
learning is important. today,Ịmụ ihe dị mkpa.
the business is doing well. today,Azụmahịa ahụ na-aga nke ọma.
we am not happy.,Obi adịghị m ụtọ.
the leaders called a meeting.,Ndị isi kpọrọ nzukọ.
i am looking for my friend.,Ana m achọ enyi m.
the students are sitting on chairs.,Ụmụ akwụkwọ nọ ọdụ n'oche.
the doctor gave him medicine for the cough. later,Dọkịta nyere ya ọgwụ maka ụkwara.
the teacher asked a question.,Onye nkuzi jụrụ ajụjụ.
the customer gave his opinion.,Onye ahịa nyere echiche ya.
people have different beliefs.,Ndị mmadụ nwere nkwenkwe dị iche iche.
he sends messages by phone.,Ọ na-eziga ozi site na ekwentị.
the maize grew well.,Ọka toro nke ọma.
please sit down.,Biko nọdụ ala.
he went for a job interview.,Ọ gara ajụjụ ọnụ maka ọrụ.
it is not a problem.,Ọ bụghị nsogbu.
this question is difficult. tomorrow,Ajụjụ a siri ike.
the government conducts health campaigns. tomorrow,Gọọmenti na-eme mkpọsa ahụike.
religion teaches love. later,Okpukpe na-akụzi ịhụnanya.
elders teach good behavior.,Ndị okenye na-akụzi ezi omume.
technology is changing the world. later,Ụzụ na-agbanwe ụwa.
i am here. now,Anọ m ebe a.
do not be afraid.,Atụla egwu.
the food is delicious. today,Nri ahụ dị ụtọ.
the assistance helped the farmers. tomorrow,Enyemaka ahụ nyere ndị ọrụ ugbo aka.
"yes, i have a phone.","Ee, enwere m ekwentị."
he has had a fever for two days.,Ọ na-enwe ahụ ọkụ kemgbe ụbọchị abụọ.
the computer stopped working.,Kọmputa ahụ kwụsịrị ịrụ ọrụ.
he works with web technology. tomorrow,Ọ na-eji teknụzụ webụ arụ ọrụ.
the students are studying. tomorrow,Ụmụ akwụkwọ na-amụ ihe.
the family celebrated together. tomorrow,Ezinụlọ ahụ mere emume ọnụ.
the farmer has experience.,Onye ọrụ ugbo nwere ahụmahụ.
the father prays every morning.,Nna ahụ na-ekpe ekpere kwa ụtụtụ.
he drinks water every day.,Ọ na-aṅụ mmiri kwa ụbọchị.
he sent the file. tomorrow,Ọ zipụrụ faịlụ ahụ.
the student did not understand the question.,Nwa akwụkwọ ahụ aghọtaghị ajụjụ ahụ.
come here. now,Abịala ebe a.
they prepared the product for the customer. now,Ha kwadebere ngwaahịa maka onye ahịa.
the software is easy to use.,Ngwanrọ ahụ dị mfe iji.
this job requires skills. now,Ọrụ a chọrọ nkà.
she recovered after receiving treatment.,Ọ gbakere mgbe ọ nwetara ọgwụgwọ.
people find comfort through religion.,Ndị mmadụ na-enweta nkasi obi site n'okpukpe.
weeds damage crops. today,Ahịhịa na-emebi ihe ọkụkụ.
she uses the internet every day.,Ọ na-eji ịntanetị kwa ụbọchị.
disasters damage farms.,Ọdachi na-emebi ubi.
open the book.,Mepee akwụkwọ.
she went to the market.,Ọ gara ahịa.
the government started a training program. later,Gọọmenti malitere mmemme ọzụzụ.
the people welcomed the visitor. today,Ndị mmadụ nabatara onye ọbịa.
he returned home.,Ọ lọtara n'ụlọ.
public hospitals help people. today,Ụlọ ọgwụ ọha na-enyere ndị mmadụ aka.
i want food.,A chọrọ m nri.
rain helps farmers.,Mmiri ozuzo na-enyere ndị ọrụ ugbo aka.
the farmer sold his harvest. tomorrow,Onye ọrụ ugbo rere ihe ubi ya.
the patient has a cough.,Onye ọrịa nwere ụkwara.
they want to expand their business. later,Ha chọrọ ịgbasa azụmahịa ha.
good behavior helps both the individual and the community.,Ezi omume na-enyere mmadụ na obodo aka.
the internet helps students.,Ịntanetị na-enyere ụmụ akwụkwọ aka.
the stories of ancestors are important. today,Akụkọ ndị nna nna dị mkpa.
it is cold today.,Ọ dị oyi taa.
computer hardware is important.,Akụrụngwa kọmputa dị mkpa.
the government conducts health campaigns.,Gọọmenti na-eme mkpọsa ahụike.
the patient should tell the doctor everything.,Onye ọrịa kwesịrị ịgwa dọkịta ihe niile.
walking is good exercise. later,Ije ije bụ ezigbo mmega ahụ.
good evening. later,Ka chi bọọ.
it is not good to take medicine without advice.,Ọ dịghị mma ịṅụ ọgwụ n'enweghị ndụmọdụ.
the court handles legal matters. now,Ụlọ ikpe na-eleba anya n'okwu iwu.
the student presented his work. today,Nwa akwụkwọ ahụ gosipụtara ọrụ ya.
the customer is not satisfied. later,Onye ahịa enweghị afọ ojuju.
the system makes work faster. today,Usoro ahụ na-eme ka ọrụ dị ngwa.
it is important to keep the environment clean. tomorrow,Ọ dị mkpa idobe gburugburu ebe obibi ọcha.
thank you very much. later,Daalụ nke ukwuu.
it is time.,Oge eruola.
he likes reading.,Ọ masịrị ya ịgụ akwụkwọ.
proper planting increases the harvest. now,Ịkụ ihe n'ụzọ ziri ezi na-abawanye ihe ubi.
they prepared the product for the customer.,Ha kwadebere ngwaahịa maka onye ahịa.
igbo is the language of the igbo people. tomorrow,Igbo bụ asụsụ ndị Igbo.
he received the file. today,Ọ natara faịlụ ahụ.
the software has a problem. tomorrow,Ngwanrọ ahụ nwere nsogbu.
she finds comfort during difficult times.,Ọ na-enweta nkasi obi n'oge nsogbu.
this question is difficult.,Ajụjụ a siri ike.
people remember special days. later,Ndị mmadụ na-echeta ụbọchị pụrụ iche.
i need to learn.,Achọrọ m ịmụ ihe.
cleanliness helps prevent germs.,Ịdị ọcha na-enyere aka igbochi nje.
the leader listens to the people.,Onye isi ahụ na-ege ndị mmadụ ntị.
taxes help the government.,Ụtụ isi na-enyere gọọmenti aka.
the children come to school on time. tomorrow,Ụmụaka na-abịa n'ụlọ akwụkwọ n'oge.
she sends messages by phone.,Ọ na-eziga ozi site na ekwentị.
learning helps a person achieve their goals. now,Ọmụmụ ihe na-enyere mmadụ aka iru ihe mgbaru ọsọ ya.
they should preserve our culture.,Anyị kwesịrị ichekwa omenala anyị.
i want to eat.,Achọrọ m iri nri.
people dance at celebrations.,Ndị mmadụ na-agba egwu n'emume.
