id,igbo,domain,source
MON039,Ha nwere nzukọ gbasara azụmahịa ha.,business,manual
MON040,Onye nwe ụlọ ahịa ahụ na-elekọta ndị ọrụ ya.,business,manual
MON041,Omenala Igbo nwere ọtụtụ ihe pụrụ iche.,culture,manual
MON042,Ndị obodo na-eme emume kwa afọ.,culture,manual
MON043,Ezinụlọ ahụ kwadebere maka emume ọdịnala.,culture,manual
MON044,Ndị okenye na-akụziri ụmụaka omenala.,culture,manual
MON045,A na-asọpụrụ ndị okenye n'obodo.,culture,manual
MON046,Egwu ọdịnala na-atọ ọtụtụ mmadụ ụtọ.,culture,manual
MON047,Ndị mmadụ gbakọtara maka emume ahụ.,culture,manual
MON048,Akụkọ ndị nna nna bara uru nke ukwuu.,culture,manual
MON049,Ụmụaka na-amụta egwu ọdịnala n'ụlọ akwụkwọ.,culture,manual
MON050,Omenala na-ejikọta ndị mmadụ ọnụ.,culture,manual
MON051,Ndị obodo na-akwado emume ha nke ọma.,culture,manual
MON052,A na-eji egwu eme emume dị iche iche.,culture,manual
MON053,Ndị okenye kọọrọ ụmụaka akụkọ n'abalị.,culture,manual
MON054,Asụsụ bụ akụkụ dị mkpa nke omenala.,culture,manual
MON055,Ọtụtụ ezinụlọ na-echekwa omenala ha.,culture,manual
MON056,Emume ahụ malitere n'ehihie.,culture,manual
MON057,Ndị mmadụ yi uwe ọdịnala n'emume ahụ.,culture,manual
MON058,A na-akụziri ụmụaka nkwanye ùgwù.,culture,manual
MON059,Omenala na-agbanwe nwayọọ nwayọọ.,culture,manual
MON060,Obodo ahụ nwere ọtụtụ akụkọ ihe mere eme.,culture,manual
MON061,Kedu ka ị mere taa?,daily_conversation,manual
MON062,A mere m nke ọma.,daily_conversation,manual
MON063,Ebee ka ị na-aga?,daily_conversation,manual
MON064,Ana m aga n'ụlọ.,daily_conversation,manual
MON065,Biko nyere m aka.,daily_conversation,manual
MON066,Achọrọ m ịjụ gị ajụjụ.,daily_conversation,manual
MON067,Gịnị ka ị na-eme ugbu a?,daily_conversation,manual
MON068,Ana m agụ akwụkwọ.,daily_conversation,manual
MON069,Ị nwere oge taa?,daily_conversation,manual
MON070,"Ee, enwere m oge.",daily_conversation,manual
MON071,Biko chere obere oge.,daily_conversation,manual
MON072,A ga m alaghachi echi.,daily_conversation,manual
MON073,Echegbula onwe gị.,daily_conversation,manual
MON074,Aghọtara m ihe ị kwuru.,daily_conversation,manual
MON075,Amaghị m azịza ya.,daily_conversation,manual
MON076,Ka anyị gaa ọnụ.,daily_conversation,manual
MON077,"Ọ dị mma, enweghị nsogbu.",daily_conversation,manual
MON078,Kpọọ m mgbe ị rutere.,daily_conversation,manual
MON079,A hụrụ m gị n'anya.,daily_conversation,manual
MON080,Ka chi fo.,daily_conversation,manual
MON081,Ụmụ akwụkwọ na-amụ ihe n'ụlọ akwụkwọ.,education,manual
MON082,Onye nkuzi na-akọwa ihe ọhụrụ.,education,manual
MON083,Akwụkwọ a nwere ọtụtụ ihe ọmụma.,education,manual
MON084,Ọmụmụ ihe chọrọ mgbalị.,education,manual
MON085,Ụmụ akwụkwọ na-akwadebe maka ule.,education,manual
MON086,Onye nkuzi nyere ụmụ akwụkwọ ọrụ ụlọ.,education,manual
MON087,Ụlọ akwụkwọ ahụ nwere nnukwu ọbá akwụkwọ.,education,manual
MON088,Ọ na-agụ akwụkwọ kwa mgbede.,education,manual
MON089,Ụmụ akwụkwọ na-ajụ ajụjụ n'oge klaasị.,education,manual
MON090,Agụmakwụkwọ dị mkpa maka ọdịnihu.,education,manual
MON091,Onye nkuzi dere ihe n'elu bọọdụ.,education,manual
MON092,Ụmụ akwụkwọ bịara klaasị n'oge.,education,manual
MON093,Akwụkwọ kọmputa dị n'elu tebụl.,education,manual
MON094,Ọ na-amụ sayensị na mgbakọ na mwepụ.,education,manual
MON095,Ule ahụ ga-amalite n'izu na-abịa.,education,manual
MON096,Ụmụ akwụkwọ na-arụ ọrụ ọnụ.,education,manual
MON097,Ọgụgụ na-enyere mmadụ aka ịmụ ihe.,education,manual
MON098,Onye nkuzi jụrụ ajụjụ dị mkpa.,education,manual
MON099,Ụmụ akwụkwọ ahụ gafere ule ha.,education,manual
MON100,Ọ chọrọ ịga mahadum n'ọdịnihu.,education,manual
MON101,Ụtụtụ a dị jụụ nke ukwuu.,general,manual
MON102,Anyanwụ na-enwu taa.,general,manual
MON103,E nwere ọtụtụ mmadụ n'okporo ụzọ.,general,manual
MON104,Nwa ahụ na-egwu egwu n'èzí.,general,manual
MON105,Nne m na-esi nri n'ọnụ ụlọ.,general,manual
MON106,Anyị gara njem n'ụtụtụ.,general,manual
MON107,Ụlọ ahụ dị nso n'ahịa.,general,manual
MON108,Ọtụtụ mmadụ nọ n'ụlọ.,general,manual
MON109,Akwụkwọ ahụ dị n'elu tebụl.,general,manual
MON110,Ọ na-ehi ụra ugbu a.,general,manual
MON111,Ụbọchị taa dị ọkụ.,general,manual
MON112,Ndị enyi ahụ na-akparịta ụka.,general,manual
MON113,Ọ zụtara uwe ọhụrụ.,general,manual
MON114,Anyị na-echere ụgbọ ala.,general,manual
MON115,Ọtụtụ ụmụaka na-egwu bọl.,general,manual
MON116,Nne na nna ya nọ n'ụlọ.,general,manual
MON117,A na-anụ egwu n'ebe dị anya.,general,manual
MON118,Ọ gara ịzụ nri.,general,manual
MON119,Ha biri n'obodo ahụ ogologo oge.,general,manual
MON120,Anyị ga-ahụ ibe anyị echi.,general,manual
MON121,Gọọmenti na-arụ ọrụ maka ụmụ amaala.,government,manual
MON122,Ndị obodo chọrọ ezi ọchịchị.,government,manual
MON123,A họpụtara onye isi ọhụrụ.,government,manual
MON124,Ụlọ ọrụ gọọmenti na-enye ọrụ dị iche iche.,government,manual
MON125,Ndị mmadụ gara votu n'ụbọchị ntuli aka.,government,manual
MON126,Iwu obodo kwesịrị ichebe ụmụ amaala.,government,manual
MON127,Gọọmenti kwupụtara atụmatụ ọhụrụ.,government,manual
MON128,Ndị isi obodo nwere nzukọ.,government,manual
MON129,Ụlọ ọgwụ ọha na-enyere ọtụtụ mmadụ aka.,government,manual
MON130,Ọrụ gọọmenti chọrọ ndị ọrụ nwere ahụmahụ.,government,manual
MON131,Ndị mmadụ na-atụ anya mgbanwe dị mma.,government,manual
MON132,Onye isi ahụ kwuru okwu n'ihu ọha.,government,manual
MON133,A na-eme nzukọ maka mmepe obodo.,government,manual
MON134,Obodo chọrọ ezigbo okporo ụzọ.,government,manual
MON135,Ndị ọrụ na-arụ ọrụ n'ụlọ ọrụ ọha.,government,manual
MON136,Iwu ọhụrụ malitere ịrụ ọrụ.,government,manual
MON137,Ndị obodo kwuru echiche ha.,government,manual
MON138,Gọọmenti na-akwado agụmakwụkwọ.,government,manual
MON139,Ndị ọchịchị kwesịrị ige ntị n'ọnụ ndị mmadụ.,government,manual
MON140,Mmepe obodo chọrọ nkwado onye ọ bụla.,government,manual
MON141,Ahụ ike dị mkpa maka mmadụ niile.,health,manual
MON142,Ọ gara ụlọ ọgwụ n'ụtụtụ.,health,manual
MON143,Dọkịta nyochara onye ọrịa ahụ.,health,manual
MON144,Ọ na-enwe ahụ ọkụ.,health,manual
MON145,Ndị mmadụ kwesịrị ịṅụ mmiri zuru oke.,health,manual
MON146,Ịsa aka na-enyere aka igbochi ọrịa.,health,manual
MON147,Ọgwụ ahụ dị n'elu tebụl.,health,manual
MON148,Onye ọrịa ahụ na-agbake nke ọma.,health,manual
MON149,Dọkịta nyere ya ndụmọdụ.,health,manual
MON150,Ezinụlọ ahụ gara ụlọ ọgwụ.,health,manual
MON151,Ọ dị mkpa iri nri na-edozi ahụ.,health,manual
MON152,Ụra zuru oke na-enyere ahụ aka.,health,manual
MON153,Ọ na-enwe mgbu n'afọ.,health,manual
MON154,Nọọsụ nyere onye ọrịa aka.,health,manual
MON155,A ga-eme nyocha ahụ echi.,health,manual
MON156,Ọrịa nwere ike imetụta ọtụtụ mmadụ.,health,manual
MON157,Ọ na-agbaso ndụmọdụ dọkịta.,health,manual
MON158,Ahụ ya adịghị ya mma taa.,health,manual
MON159,A na-enye ụmụaka ọgwụ mgbochi.,health,manual
MON160,Ịdị ọcha dị mkpa maka ahụ ike.,health,manual
MON161,Ndị mmadụ gara ụlọ ekpere n'ụtụtụ.,religion,manual
MON162,Ọ na-ekpe ekpere kwa ụbọchị.,religion,manual
MON163,Ezinụlọ ahụ gara ụka ọnụ.,religion,manual
MON164,Ndị mmadụ na-ekele Chineke maka ndụ.,religion,manual
MON165,Onye ụkọchukwu kwuru okwu n'ihu ọha.,religion,manual
MON166,Ekpere na-enye ọtụtụ mmadụ olileanya.,religion,manual
MON167,Ndị kwere ekwe gbakọtara maka emume.,religion,manual
MON168,Ọ na-agụ akwụkwọ nsọ n'ụlọ.,religion,manual
MON169,Ụlọ ekpere ahụ jupụtara na ndị mmadụ.,religion,manual
MON170,Ha na-ekpe ekpere maka ezinụlọ ha.,religion,manual
MON171,Ndị mmadụ na-enyere ndị nọ na mkpa aka.,religion,manual
MON172,Okwukwe bụ ihe dị mkpa nye ọtụtụ mmadụ.,religion,manual
MON173,Ezinụlọ ahụ na-ekpe ekpere ọnụ.,religion,manual
MON174,A na-eme emume okpukpe kwa afọ.,religion,manual
MON175,Ọ gara n'ụlọ ekpere n'ehihie.,religion,manual
MON176,Ndị mmadụ na-ege ntị n'okwu onye ndu.,religion,manual
MON177,Ọtụtụ mmadụ na-achọ udo na olileanya.,religion,manual
MON178,Ha nyere ndị ogbenye nri.,religion,manual
MON179,Ndị mmadụ gbakọtara n'udo.,religion,manual
MON180,Ọ na-akwanyere nkwenkwe ndị ọzọ ùgwù.,religion,manual
MON181,Kọmputa dị mkpa n'oge a.,technology,manual
MON182,Ọ na-eji ekwentị ya kwa ụbọchị.,technology,manual
MON183,Ịntanetị na-enyere ndị mmadụ aka ịkparịta ụka.,technology,manual
MON184,Onye mmemme na-ede koodu ọhụrụ.,technology,manual
MON185,A na-echekwa data n'ime nchekwa kọmputa.,technology,manual
MON186,Ụlọ ọrụ ahụ mepụtara ngwa ọhụrụ.,technology,manual
MON187,Ọ na-amụ banyere ọgụgụ isi mmadụ.,technology,manual
MON188,Ekwentị ahụ nwere batrị ọhụrụ.,technology,manual
MON189,Ndị ọrụ na-eji ngwanrọ arụ ọrụ.,technology,manual
MON190,Teknụzụ na-agbanwe ndụ mmadụ.,technology,manual
MON191,Ọ na-amụta otú e si emepụta weebụsaịtị.,technology,manual
MON192,Kọmputa ahụ anaghị arụ ọrụ nke ọma.,technology,manual
MON193,Onye mmemme chọtara njehie na koodu ahụ.,technology,manual
MON194,A na-eji paswọọdụ echekwa akaụntụ.,technology,manual
MON195,Ọtụtụ mmadụ na-eji ngwa mkpanaka.,technology,manual
MON196,Sistemụ ahụ na-arụ ọrụ ngwa ngwa.,technology,manual
MON197,A na-eji nchekwa data echekwa ozi.,technology,manual
MON198,Ọ mụtara asụsụ mmemme ọhụrụ.,technology,manual
MON199,Teknụzụ nwere ike ime ka ọrụ dị mfe.,technology,manual
MON200,Ndị ọrụ kwesịrị ichekwa ozi nkeonwe ha.,technology,manual
