igbo,english,source
Mmiri na-enyere ahụ aka.,Water helps the body.,round1_training_data
Ka anyị gaa.,Let us go.,round1_training_data
Ha kụrụ ọka.,They planted maize.,round1_training_data
Ha chọrọ ime ka ọrụ ha ka mma.,They want to improve their service.,round1_training_data
Ụmụ akwụkwọ na-eji kọmputa amụ ihe.,Students use computers to learn.,round1_training_data
Faịlụ ahụ dị na kọmputa.,The file is on the computer.,round1_training_data
Akpịrị na-akpọ m nkụ.,I am thirsty.,round1_training_data
Ọ mepụtara paswọọdụ siri ike.,He created a strong password.,round1_training_data
Azụmahịa ọma chọrọ atụmatụ siri ike.,business requires good planning.,round1_training_data
Onye ọrụ ugbo na-azụ ewu.,The farmer raises goats.,round1_training_data
Ozi ahụ bịara n'oge.,The message arrived on time.,round1_training_data
Ndo.,Sorry.,round1_training_data
Anyị kwesịrị ịrụkọ ọrụ ọnụ.,We should work together.,round1_training_data
Ebe nchekwa data nwere ọtụtụ ozi.,The database contains a lot of information.,round1_training_data
Ụkọ mmiri na-emetụta ọrụ ugbo.,Water shortage affects agriculture.,round1_training_data
Nwa akwụkwọ na-aga ụlọ akwụkwọ.,The student is going to school.,round1_training_data
Ihu igwe dị mma.,The weather is good.,round1_training_data
Ndị mmadụ kesara nri.,People shared food.,round1_training_data
Ọka dị njikere maka owuwe ihe ubi.,The maize is ready for harvest.,round1_training_data
Ọ dị mkpa ịgba ọgwụ mgbochi ọrịa.,It is important to get vaccinated.,round1_training_data
Gọọmenti malitere mmemme ọzụzụ.,The government started a training program.,round1_training_data
Ụmụ akwụkwọ dere ule ha.,The students wrote their examination.,round1_training_data
Ọ dị mkpa iji ego ọha mee ihe nke ọma.,It is important to use public money properly.,round1_training_data
Ha mụtara ụzọ ọhụrụ e si akụ ihe.,They learned new methods of planting.,round1_training_data
Achọrọ m iri nri.,I want to eat.,round1_training_data
Dọkịta nyere ya ọgwụ maka ụkwara.,The doctor gave him medicine for the cough.,round1_training_data
Omenala na-ejikọta ọgbọ dị iche iche.,Culture connects different generations.,round1_training_data
Ụmụaka kwesịrị ịma omenala ha.,Children should know their culture.,round1_training_data
Ezinụlọ na-aga ofufe ọnụ.,The family goes to worship together.,round1_training_data
Ọnụ ahịa ọka mụbara.,The price of maize increased.,round1_training_data
Ọ dị mma nke ukwuu.,It is very good.,round1_training_data
Aha m bụ Chinedu.,My name is Chinedu.,round1_training_data
Ụzụ na-enyere ndị mmadụ aka.,Technology helps people.,round1_training_data
Ndị mmadụ na-esi nri ọdịnala n'emume.,People cook traditional food at celebrations.,round1_training_data
Ndị enyi ya na-enye ya ndụmọdụ.,His friends give him advice.,round1_training_data
Ndị isi kwesịrị ịza ajụjụ.,Leaders should be accountable.,round1_training_data
Ha mere ọrụ otu.,They did group work.,round1_training_data
Ọ na-eji ekwentị ya kwa ụbọchị.,he uses the phone.,round1_training_data
Obi adịghị m ụtọ.,I am not happy.,round1_training_data
Python bụ asụsụ mmemme.,Python is a programming language.,round1_training_data
Ọ mụtara otu esi eji kọmputa.,He learned how to use a computer.,round1_training_data
Ndị ọrụ ahụike na-enyere ndị ọrịa aka.,Health workers help patients.,round1_training_data
Ọ na-enwe ahụ ọkụ.,he has a fever.,round1_training_data
Biko nyere m aka.,Please help me.,round1_training_data
Ndị mmadụ gere ozi ọma ahụ ntị.,People listened to the sermon.,round1_training_data
Ụzọ ọgbara ọhụrụ na-eme ka ọrụ ugbo dị mfe.,Modern methods make farming easier.,round1_training_data
Kedu ka ị mere?,How are you?,round1_training_data
Gọọmenti na ndị mmadụ kwesịrị ịrụkọ ọrụ ọnụ.,The government and the people should work together.,round1_training_data
Ọrụ siri ike na-eweta ihe ịga nke ọma.,Hard work brings success.,round1_training_data
Ọ wụnyere ngwanrọ ọhụrụ.,He installed new software.,round1_training_data
Onye ọchụnta ego mere atụmatụ.,The entrepreneur made a plan.,round1_training_data
Gwa m ihe merenụ.,Tell me what happened.,round1_training_data
Nwa akwụkwọ ahụ gafere ule ahụ.,The student passed the examination.,round1_training_data
Olileanya na-enyere mmadụ aka ịga n'ihu.,Hope helps a person move forward.,round1_training_data
Nne ochie kọrọ akụkọ n'abalị.,The grandmother told a story at night.,round1_training_data
Achọrọ m enyemaka.,I need help.,round1_training_data
"Mba, enweghị m oge.","No, I do not have time.",round1_training_data
Ọ gụrụ akwụkwọ nke ọma.,He studied well.,round1_training_data
Ndị ezinụlọ na-akwado ibe ha.,Family members support one another.,round1_training_data
Ọ dị mkpa ibi ndụ n'udo.,It is important to live in peace.,round1_training_data
Ị maara ebe a?,Do you know this place?,round1_training_data
Atụla egwu.,Do not be afraid.,round1_training_data
Ndị ọrụ ugbo bụ akụkụ dị mkpa nke obodo.,Farmers are an important part of the community.,round1_training_data
"Ee, enwere m ekwentị.","Yes, I have a phone.",round1_training_data
Ahụ mmadụ chọrọ ezigbo nri.,The human body needs good food.,round1_training_data
Gaa ebe ahụ.,Go there.,round1_training_data
Nwa akwụkwọ ahụ hụrụ sayensị n'anya.,The student likes science.,round1_training_data
Ụmụ akwụkwọ nọ ọdụ n'oche.,The students are sitting on chairs.,round1_training_data
Anụ ụlọ chọrọ nri.,Domestic animals need food.,round1_training_data
Ọ dị mkpa ịmụta ịgbaghara.,It is important to learn to forgive.,round1_training_data
Ọ mụtara ihe ọhụrụ.,He learned something new.,round1_training_data
Ọ gbakere mgbe ọ nwetara ọgwụgwọ.,He recovered after receiving treatment.,round1_training_data
Anyị kụrụ osikapa n'ubi.,We planted rice on the farm.,round1_training_data
Ụmụ akwụkwọ mahadum na-eme nchọpụta.,University students conduct research.,round1_training_data
Klaasị ahụ dị ọcha.,The classroom is clean.,round1_training_data
Ọ na-echekwa data n'ime nchekwa.,He stores data in a database.,round1_training_data
Akwụkwọ nri nwere ọtụtụ vitamin.,Vegetables contain many vitamins.,round1_training_data
Ịntanetị na-enyere ụmụ akwụkwọ aka.,The internet helps students.,round1_training_data
Daalụ.,Thank you.,round1_training_data
Ha na-ebubata ngwaahịa.,They import products.,round1_training_data
Ndị obodo chọrọ ọrụ.,The citizens need jobs.,round1_training_data
Obodo chọrọ ọkụ eletrik.,The community needs electricity.,round1_training_data
Nlekọta ahụike na-enyere ndị mmadụ aka ibi ndụ ogologo.,Healthcare helps people live longer lives.,round1_training_data
Ị na-eme gịnị?,What are you doing?,round1_training_data
Ndị mmadụ kwesịrị ikwu eziokwu.,People should tell the truth.,round1_training_data
Enwere m echiche.,I have an idea.,round1_training_data
Ka anyị kwụsị.,Let us stop.,round1_training_data
Ọ kwụrụ ụgwọ site na ụlọ akụ.,He paid through the bank.,round1_training_data
Onye ọrụ zara ajụjụ onye ahịa.,The employee answered the customer's question.,round1_training_data
Ha siri ji na ofe.,They cooked yam and soup.,round1_training_data
Ọ gara ụlọ ọrụ gọọmenti.,He went to a government office.,round1_training_data
Ndị mmadụ na-enyere ibe ha aka.,People help one another.,round1_training_data
Obodo ahụ nwere akụkọ ogologo.,The town has a long history.,round1_training_data
Nkà kọmputa na-enyere mmadụ aka ịchọta ọrụ.,Computer skills help a person find a job.,round1_training_data
Ha debere ego n'ụlọ akụ.,They deposited money in the bank.,round1_training_data
Nwa akwụkwọ ahụ gosipụtara ọrụ ya.,The student presented his work.,round1_training_data
Vitamin na-enyere ahụ aka.,Vitamins help the body.,round1_training_data
Gọọmenti na-arụ ụlọ akwụkwọ.,The government builds schools.,round1_training_data
Onye nkuzi kọwara ihe ahụ.,The teacher explained the topic.,round1_training_data
Ha nyere ezinụlọ ahụ nri.,They gave the family food.,round1_training_data
Onye nkuzi nyere ha ọrụ ụlọ.,The teacher gave them homework.,round1_training_data
Ha kelere Chineke maka nri.,They thanked God for the food.,round1_training_data
Ụmụ akwụkwọ na-amụta ihe ọhụrụ.,The students are learning new things.,round1_training_data
Kọmputa ahụ dị ọhụrụ.,The computer is new.,round1_training_data
"Eeh, achọrọ m mmiri.","Yes, I need water.",round1_training_data
Ọ na-echekwa faịlụ ya.,He backs up his files.,round1_training_data
Abịara m ugbu a.,I have arrived now.,round1_training_data
Onye ahịa kwụrụ ụgwọ ngwaahịa ahụ.,The customer paid for the product.,round1_training_data
Ha kwụrụ ụgwọ ụlọ.,They paid the rent.,round1_training_data
Onye nkuzi mahadum kụziri klaasị.,The university lecturer taught the class.,round1_training_data
Ha na-abụ abụ ọdịnala.,They sing traditional songs.,round1_training_data
Ọrụ a chọrọ ahụmahụ.,This job requires experience.,round1_training_data
Ezinụlọ m dị mkpa nye m.,My family is important to me.,round1_training_data
Ebe ofufe ahụ dị nso n'ụlọ ya.,The place of worship is near his house.,round1_training_data
Ebee ka ị bi?,Where do you live?,round1_training_data
Nne na-elekọta nwa ya.,The mother takes care of her child.,round1_training_data
Ọ dị ọkụ taa.,It is hot today.,round1_training_data
Onye ọrịa kwesịrị ịṅụ ọgwụ ya.,The patient should take his medicine.,round1_training_data
Anwụ na-enyere ihe ọkụkụ aka ito.,Sunlight helps crops grow.,round1_training_data
Ndị inyom yi akwa mara mma.,The women wore beautiful clothing.,round1_training_data
Ndị mmadụ na-agba egwu n'emume.,People dance at celebrations.,round1_training_data
Ọ na-enwe ihe mgbu n'ahụ.,He has pain in his body.,round1_training_data
Ọ na-arịọ maka nduzi.,He asks for guidance.,round1_training_data
Anyị na-echeta akụkọ ndị nna nna anyị.,We remember the stories of our ancestors.,round1_training_data
Ana m arụ ọrụ.,I am working.,round1_training_data
Obodo ahụ nwere ọtụtụ ebe ofufe.,The town has many places of worship.,round1_training_data
Ndị ọrụ ahụike na-elekọta ndị ọrịa.,Health workers care for patients.,round1_training_data
Ndị ọrụ ugbo na-enye obodo nri.,Farmers provide food for the community.,round1_training_data
Ọkụkọ ahụ tọrọ akwa.,The chicken laid an egg.,round1_training_data
Amaghị m.,I do not know.,round1_training_data
Ụra na-agụ m.,I am sleepy.,round1_training_data
Anyị kwesịrị ịkwanyere ndị nwere nkwenkwe dị iche ùgwù.,We should respect people with different beliefs.,round1_training_data
Gọọmenti kwere nkwa ịrụ ụzọ.,The government promised to build roads.,round1_training_data
Ọmụmụ ihe na-enyere mmadụ aka iru ihe mgbaru ọsọ ya.,Learning helps a person achieve their goals.,round1_training_data
Ndị obodo na-eji Igbo eme emume.,The community uses Igbo during celebrations.,round1_training_data
Gịnị ka ị na-eme ugbu a?,what are you doing?,round1_training_data
Ndị mmadụ yi uwe mara mma maka emume.,People wore beautiful clothes for the celebration.,round1_training_data
Ezinụlọ na-elekọta onye ọrịa.,The family takes care of the patient.,round1_training_data
Ise siga na-emebi ahụike.,Smoking damages health.,round1_training_data
Ọ na-aga ebe ofufe kwa izu.,He goes to a place of worship every week.,round1_training_data
Anaghị m enwe ahụ ike.,I am not feeling well.,round1_training_data
Ha wepụrụ ahịhịa n'ubi.,They removed weeds from the farm.,round1_training_data
Echiche ahụ dị mma.,That idea is good.,round1_training_data
Ọ chọtara ozi ahụ n'ịntanetị.,He found the information online.,round1_training_data
Anyị kwesịrị ịkwado ndị ọrụ ugbo.,We should support farmers.,round1_training_data
Ọdachi na-emebi ubi.,Disasters damage farms.,round1_training_data
Ụmụaka kwesịrị ịmụ asụsụ ha.,Children should learn their language.,round1_training_data
Ndị mmadụ na-asụ asụsụ dị iche iche.,People speak different languages.,round1_training_data
Onye ọrịa nwere ahụ ọkụ.,The patient has a fever.,round1_training_data
Ịdị ọcha na-enyere aka igbochi nje.,Cleanliness helps prevent germs.,round1_training_data
Ekpere dị mkpa nye ọtụtụ ndị mmadụ.,Prayer is important to many people.,round1_training_data
Onye ọrụ ugbo na-arụsi ọrụ ike.,The farmer works hard.,round1_training_data
Ndị mmadụ yi uwe ọdịnala n'emume ahụ.,people wore traditional clothes.,round1_training_data
Ana m aga ụlọ.,I am going home.,round1_training_data
Ọ dị m ka ike gwụrụ m.,I feel tired.,round1_training_data
"Ee, enwere m oge.","yes, i have time.",round1_training_data
Ụlọ ọrụ ahụ na-akwụ ụgwọ.,The company pays expenses.,round1_training_data
Ụlọ ọrụ ahụ goro onye ọrụ ọhụrụ.,The company hired a new employee.,round1_training_data
Ịkekọrịta nri na-eme ka ndị mmadụ dịrị n'otu.,Sharing food brings people together.,round1_training_data
Nwa akwụkwọ ahụ na-eji pensụl ede ihe.,The student uses a pencil to write.,round1_training_data
Agụmakwụkwọ na-emeghe ụzọ maka ọdịnihu.,Education opens the way to the future.,round1_training_data
Ọrụ ugbo bụ ọrụ dị mkpa.,Farming is an important occupation.,round1_training_data
Ana m achọ enyi m.,I am looking for my friend.,round1_training_data
Ọ na-aṅụ ọgwụ ugboro abụọ n'ụbọchị.,He takes the medicine twice a day.,round1_training_data
Gọọmenti na-elekọta obodo.,The government manages the community.,round1_training_data
Achọrọ m ịṅụ mmiri.,I want to drink water.,round1_training_data
Ndị obodo nwere ikike.,The citizens have rights.,round1_training_data
Onye ọrụ ugbo nwere ahụmahụ.,The farmer has experience.,round1_training_data
Ụmụ akwụkwọ na-amụ banyere omenala ha.,Students study their culture.,round1_training_data
Ụzụ ọhụrụ na-apụta kwa afọ.,New technology appears every year.,round1_training_data
Enweghị ụra nwere ike imetụta ahụike.,Lack of sleep can affect health.,round1_training_data
Nzukọ n'ịntanetị na-ewu ewu.,Online meetings are popular.,round1_training_data
Akụrụngwa kọmputa dị mkpa.,Computer hardware is important.,round1_training_data
Ahụmahụ na-enyere onye ọrụ ugbo aka.,Experience helps the farmer.,round1_training_data
Ezinụlọ ahụ gara ụlọ ọgwụ.,the family went to the hospital.,round1_training_data
Igbo bụ asụsụ ndị Igbo.,Igbo is the language of the Igbo people.,round1_training_data
Adị m mma.,I am fine.,round1_training_data
Ịgba mmiri na-enyere ihe ọkụkụ aka.,Irrigation helps crops.,round1_training_data
Nzukọ ahụ mere n'ụlọ nzukọ.,The meeting took place in the meeting hall.,round1_training_data
Dọkịta gwara ya ka ọ zuru ike.,The doctor told him to rest.,round1_training_data
Onye isi ahụ kwere nkwa.,The leader made a promise.,round1_training_data
Njehie ahụ mere ka mmemme kwụsị.,The error caused the program to stop.,round1_training_data
Aga m ezitere gị ozi.,I will send you a message.,round1_training_data
Dọkịta na-enyocha onye ọrịa.,The doctor examines the patient.,round1_training_data
Ụlọ ọrụ gọọmenti na-enye ọrụ dị iche iche.,the government provides different services.,round1_training_data
Onye ọrụ ugbo na-azụ ehi.,The farmer raises cattle.,round1_training_data
Ịsa aka na-egbochi mgbasa ọrịa.,Handwashing prevents the spread of disease.,round1_training_data
Polis na-echekwa obodo.,The police protect the community.,round1_training_data
Gịnị ka nke a bụ?,What is this?,round1_training_data
Ndị mmadụ na-achọ ndụmọdụ.,People seek advice.,round1_training_data
Ajụjụ ahụ siri ike.,The question is difficult.,round1_training_data
Ezi omume na-enyere obodo aka.,Good behavior helps the community.,round1_training_data
Ụmụaka niile kwesịrị inweta agụmakwụkwọ.,All children should receive education.,round1_training_data
Ịgba ọgwụ mgbochi ọrịa na-echebe ụmụaka.,Vaccination protects children from disease.,round1_training_data
Ekwentị ahụ nwere igwefoto.,The phone has a camera.,round1_training_data
Ịrụ ọrụ ebere dị mkpa.,Charity work is important.,round1_training_data
Ịntanetị na-enyere ụmụ akwụkwọ aka ịmụ ihe.,The internet helps students learn.,round1_training_data
Ọbịa bịara n'ụlọ ahụ.,A visitor came to the house.,round1_training_data
Anyị ga-akụ ihe ọkụkụ echi.,We will plant crops tomorrow.,round1_training_data
Ehi ahụ na-enye mmiri ara.,The cow gives milk.,round1_training_data
Ajụjụ ahụ dị mfe.,The question is easy.,round1_training_data
Ọ na-asụ ụkwara kemgbe ụnyaahụ.,He has been coughing since yesterday.,round1_training_data
Ọdịnihu ga-adabere n'ụzụ.,The future will depend on technology.,round1_training_data
Ụlọ ọrụ ahụ na-eji usoro dijitalụ.,The company uses digital systems.,round1_training_data
Egwu ahụ na-atọ ụtọ.,The music is enjoyable.,round1_training_data
Ndị ọrụ ugbo na-arụ ọrụ n'ubi.,The farmers work on the farm.,round1_training_data
Ụlọ ọrụ ahụ nwere akaụntụ ụlọ akụ.,The company has a bank account.,round1_training_data
Nne na-ekpe ekpere maka ụmụ ya.,The mother prays for her children.,round1_training_data
Onye na-ere ahịa na-ere uwe.,The trader sells clothes.,round1_training_data
Akwụkwọ ahụ dị na tebụl.,The book is on the table.,round1_training_data
Ndị nyocha na-amụ ọgụgụ isi mmadụ.,Researchers study artificial intelligence.,round1_training_data
Akụkọ ihe mere eme bụ isiokwu dị mkpa.,History is an important subject.,round1_training_data
Ọ gbaghara enyi ya.,He forgave his friend.,round1_training_data
Ọ budatara ngwa ọhụrụ.,He downloaded a new application.,round1_training_data
Mmepe chọrọ nkwado nke ndị mmadụ.,Development requires the support of the people.,round1_training_data
Onye nchịkwa na-elekọta nchekwa data.,The administrator manages the database.,round1_training_data
Ịrụsi ọrụ ike na-enyere azụmahịa aka.,Hard work helps a business.,round1_training_data
Oké mmiri ozuzo nwere ike imebi ihe ubi.,Heavy rain can damage crops.,round1_training_data
Obodo chọrọ nchekwa.,The community needs security.,round1_training_data
Ọ dị mkpa ịmụ ihe kwa ụbọchị.,It is important to study every day.,round1_training_data
Mkpọsa ahụike na-enye ozi dị mkpa.,Health campaigns provide important information.,round1_training_data
Ụmụ akwụkwọ na-asọmpi n'ọmụmụ ihe.,The students compete in their studies.,round1_training_data
Agụmakwụkwọ bụ isi ihe na mmepe obodo.,Education is essential for community development.,round1_training_data
Ndị mmadụ kwesịrị ịgbaso ndụmọdụ ahụike.,People should follow health advice.,round1_training_data
Ha kwadebere nri maka ndị ọbịa.,They prepared food for the visitors.,round1_training_data
Onye ọrụ ugbo zụtara traktọ.,The farmer bought a tractor.,round1_training_data
A na-akụ ji n'oge opupu ihe ubi.,Yam is planted during the planting season.,round1_training_data
Ọ na-amụ maka ule ya.,He is studying for his examination.,round1_training_data
Gọọmenti na-enye mmiri ọṅụṅụ.,The government provides drinking water.,round1_training_data
Ndị mmadụ chọrọ ikpe ziri ezi.,People want justice.,round1_training_data
"Mba, agaghị m abịa.","No, I will not come.",round1_training_data
Dọkịta nyochara ọbara ya.,The doctor tested his blood.,round1_training_data
Ndị mmadụ nwere ike ikwu echiche ha.,People can express their opinions.,round1_training_data
Nyocha ahụike mgbe niile dị mkpa.,Regular health checkups are important.,round1_training_data
Ị dị mma?,Are you fine?,round1_training_data
Gụọ akwụkwọ ahụ.,Read the book.,round1_training_data
Ọ na-eji ngwa dị iche iche.,He uses different applications.,round1_training_data
Ọrụ na-enyere ezinụlọ aka.,Jobs help families.,round1_training_data
Ndị obodo na-echekwa ebe akụkọ ihe mere eme.,The community preserves historical places.,round1_training_data
Ọ na-agba mmiri n'ubi.,He is watering the farm.,round1_training_data
Onye ọrụ ugbo na-asacha ubi.,The farmer clears the farm.,round1_training_data
Ọmụmụ ihe n'ịntanetị na-ewu ewu.,Online learning is popular.,round1_training_data
Gịnị ka ị chọrọ?,What do you want?,round1_training_data
Ụmụ akwụkwọ na-arụ ọrụ ọnụ.,the students work together.,round1_training_data
Ụlọ ọrụ ahụ na-achọ ndị ọrụ ọhụrụ.,The company is looking for new employees.,round1_training_data
Ọ kpọrọ onye na-ahụ maka teknụzụ.,He called the technician.,round1_training_data
Ọ na-ezu ike mgbe ọ gwụrụ ike.,He rests when he is tired.,round1_training_data
Oge eruola.,It is time.,round1_training_data
Ha nwetara ngwá ọrụ ugbo ọhụrụ.,They received new farming equipment.,round1_training_data
Onye ọbịa kwuru okwu.,The visitor gave a speech.,round1_training_data
Ọ chọrọ ịga mahadum.,He wants to go to university.,round1_training_data
Ụzụ na-eme ka ọrụ dị mfe.,Technology makes work easier.,round1_training_data
Ha kpọsara ngwaahịa ọhụrụ.,They advertised a new product.,round1_training_data
Ọrụ ahụ ka na-aga n'ihu.,The work is still continuing.,round1_training_data
Iwu na-enyere aka idobe udo.,Laws help maintain peace.,round1_training_data
Ha na-akụ mkpụrụ n'ahịrị.,They plant seeds in rows.,round1_training_data
Ọgbọ ọhụrụ na-amụta ihe n'aka ndị okenye.,The new generation learns from elders.,round1_training_data
Ọ naghị aṅụ ọgwụ ya mgbe niile.,He does not always take his medicine.,round1_training_data
Onye ahịa enweghị afọ ojuju.,The customer is not satisfied.,round1_training_data
Gee ntị.,Listen.,round1_training_data
Ana m ebi n'obodo a.,I live in this town.,round1_training_data
Ahụike dị ezigbo mkpa.,Health is very important.,round1_training_data
Mepee akwụkwọ.,Open the book.,round1_training_data
Ụlọ ọrụ ahụ mepere alaka ọhụrụ.,The company opened a new branch.,round1_training_data
Ọ dị njọ.,It is bad.,round1_training_data
Ụlọ ọrụ ahụ tụfuru ego.,The company lost money.,round1_training_data
Nọdụ ala.,Sit down.,round1_training_data
Anyị kwesịrị ịsa aka mgbe niile.,We should wash our hands regularly.,round1_training_data
Nwa akwụkwọ ahụ zara ajụjụ ahụ.,The student answered the question.,round1_training_data
Nwa akwụkwọ ahụ na-amụ sayensị kọmputa.,The student studies computer science.,round1_training_data
Nke a bụ akwụkwọ.,This is a book.,round1_training_data
Nkuzi ahụ bara uru.,The lecture was useful.,round1_training_data
Nkuzi ahụ bara uru.,The teaching was useful.,round1_training_data
Ọ lọtara n'ụlọ.,He returned home.,round1_training_data
Ha rere akwụkwọ nri n'ahịa.,They sold vegetables at the market.,round1_training_data
Omenala na-akụzi ịdị n'otu.,Culture teaches unity.,round1_training_data
Ọtụtụ mmadụ na-adabere n'obere azụmahịa.,Many people depend on small businesses.,round1_training_data
Onye ọrụ nwetara ụgwọ ọnwa ya.,The employee received his salary.,round1_training_data
Chere obere oge.,Wait for a short while.,round1_training_data
Ana m aga n'ụlọ.,i am going home.,round1_training_data
Onye ọrịa kọwara ihe mgbaàmà ya.,The patient described his symptoms.,round1_training_data
Ndị ọrụ ugbo na-eche ihu mgbanwe ihu igwe.,Farmers face climate change.,round1_training_data
Ụmụaka na-amụta omenala n'aka ndị okenye.,Children learn traditions from elders.,round1_training_data
Ịntanetị na-enye ozi dị iche iche.,The internet provides different information.,round1_training_data
Bịa ebe a.,Come here.,round1_training_data
Isi na-arịa ya nke ukwuu.,He has a severe headache.,round1_training_data
Ọtụtụ ndị ntorobịa na-achọ ọrụ.,Many young people are looking for jobs.,round1_training_data
Ụmụ akwụkwọ na-amụ asụsụ Igbo.,The students study the Igbo language.,round1_training_data
Ọ bụ elekere asatọ.,It is eight o'clock.,round1_training_data
Ka anyị kwuo okwu.,Let us talk.,round1_training_data
Ọmụmụ ihe dị mkpa.,Learning is important.,round1_training_data
Ọrịa ahụ malitere n'ụtụtụ.,The illness started in the morning.,round1_training_data
Olileanya dị mkpa n'oge nsogbu.,Hope is important during difficult times.,round1_training_data
Aha ụfọdụ na-echeta ndị nna nna.,Some names remember ancestors.,round1_training_data
Onye mmemme na-ede koodu.,The programmer writes code.,round1_training_data
Ndị Igbo na-asọpụrụ ndị nna nna ha.,The Igbo people respect their ancestors.,round1_training_data
Nwa akwụkwọ ahụ na-akwadebe maka ule.,The student is preparing for an examination.,round1_training_data
