Artificial Intelligence System,Sistemụ AI
Bug,Bug
Normalization,Nhazi Nkịtị
Akwụkwọ a dị ọhụrụ.,This book is new.
Nri anụmanụ dị mkpa.,Animal feed is important.
Nwa nwanne nwanyị,Niece
Ka ọ dị,Welcome
Emume ahụ jupụtara n'ọṅụ.,The festival was full of joy.
Ụgbọ ala ahụ mebiri,The car broke down
Monitoring,Monitoring
Nna nna,Grandfather
Iterative Training,Ọzụzụ Ugboro Ugboro
Nsonaazụ Ọjọọ,Poor Result
Nsonaazụ,Result
Signup,Signup
Ọrịa,Sickness
Optimization,Nkwalite
Kedu ka ị mere?,How are you?
Workflow,Workflow
Anyị gara ọmụmụ ihe.,We attended a lesson.
Ịkpụ Ahịhịa,Weeding
Netwọk,Network
Optimizer,Optimizer
Anyi gosiputara nchoputa anyi,We presented our findings
Ehi ahụ dị ike,The cow is healthy
Development Team,Development Team
Nwa nwanne,Nephew
Enwere m agụụ,I am hungry
Onye ugbo nwere ọtụtụ ihe ubi,The farmer has many crops
Mgbakọ Okwu,Word Count
Kemistri,Chemistry
Ka chi fo,Good night
Osikapa,Rice
Nkuzi,Teaching
Algorithm,Algorithm
Nne nne,Grandmother
Anyi jiri email nata ozi,We received information through email
Nchekwa Ahụ Ike,Health Safety
Ha gara ụlọ ọgwụ.,They went to the hospital.
Ọrụ Ụlọ,Homework
Nlekọta Mgbe Amuchara Nwa,Postnatal Care
Mmiri ozuzo nyere aka n'ugbo,Rainfall helped the farm
Ọrịa Ume,Pneumonia
Nchoputa a metutara mmuta,This research concerns education
Bọs,Bus
Nnwale Model,Model Evaluation
Anyi rere ụfọdụ ewu,We sold some goats
Ụlọ Akwụkwọ Dijitalụ,Digital Classroom
Nlekọta Mmụta,Learning Management
Onye Nkụzi,Lecturer
Na-aṅụ mmiri ọtụtụ.,Drink plenty of water.
Ọbara Mgbali Elu,Hypertension
Ana m akụ ose.,I am planting pepper.
Ana m ede ihe n'akwụkwọ m.,I am writing in my notebook.
Onye nkuzi anyi mara ezigbo ihe,Our teacher is knowledgeable
Web Application,Web Application
Nnyocha N'etiti Semester,Mid Semester Test
Anyi jiri Excel hazie data,We used Excel to organize data
Ha bịanyere aka na nkwekọrịta.,They signed the agreement.
Architecture,Architecture
Igbo,Igbo Language
Fakọlti,Faculty
Agile,Agile
Anyị mụtara sayensị taa.,We learned science today.
Nchekwa data dị mkpa.,Data security is important.
Mmepe Nwa,Student Development
Anọ m n'ụlọ akwụkwọ,I am in school
Fine Tuning,Nkwalite Model
Anyi jiri Zoom mee klas,We used Zoom for the class
Di,Husband
Kọlụm,Column
Nchịkọta Okwu Mgbọrọgwụ,Stemming
Amamihe Arụrụ arụ,Artificial Intelligence
Embedding,Embedding
Anyi gara ogbako omumu,We attended an academic conference
Onye nkuzi juru anyi ajuju,The lecturer asked us questions
Ọnụego Mụta,Learning Rate
Vocabulary,Nkọwa Okwu
Sava,Server
Nchekwa Data,Dataset
Aga m eme presentation,I will make a presentation
Nkewa Okwu,Tokenization
Usoro Nnyocha,Research Methodology
Ekwentị ọhụrụ ahụ dị mma.,The new phone is good.
Mmepe Weebụ,Web Development
Angular,Angular
Akwụkwọ Ngụsị Akwụkwọ,Certificate
Ụgwọ Akwụkwọ,School Fees
Ezigbo enyi,Close friend
Nchekwa Model,Model Saving
Ubi ahụ buru ibu.,The farm is large.
Nnyocha Mkpọpụta,Speech Analysis
Nlekọta,Care
Ngwaọrụ Ịkụ Ihe,Planting Equipment
Ọrụ Ugbo Ọgbara Ọhụrụ,Modern Farming
Nchọpụta a na-enyere nchekwa asụsụ aka,This research supports language preservation
Corpus Statistics,Corpus Statistics
Code Review,Code Review
Nkuzi,Lecture
Bandeeji,Bandage
Ọmụmụ Akpaaka,Automatic Learning
Nwaanyị ahụ gụrụ akụkọ.,The girl read a story.
Kedu?,How are you?
Incident Response,Incident Response
Normalization,Normalization
Klas ahụ dị jụụ.,The classroom is quiet.
Mgbede ọma,Good evening
Ana m eje ije,I am walking
Nnyocha Ahụ Ike,Medical Examination
Njem ọma,Safe journey
Nghọta Asụsụ,Language Understanding
Enwere nsogbu internet,There is an internet problem
COVID-19,COVID-19
Ajụjụ Nnyocha,Research Question
Antibiotic,Antibiotic
Onye ugbo gara ugbo taa,The farmer went to the farm today
A na-akụ ji n'oge opupu ihe ubi.,Yam is planted during the planting season.
Ndị Mụrụ Ụmụakwụkwọ,Parents
Aga m ebudata akwukwo dijital,I will download the digital textbook
A na-eji BLEU score tụọ ogo ntụgharị,A BLEU score measures translation quality
Abum nwa akwukwo mahadum,I am a university student
Ụlọ Klas,Classroom
Mmezi Njehie,Error Correction
Pasent,Percentage
Ha gara ụlọ nyocha.,They went to the laboratory.
Ntụgharị a ziri ezi,This translation is accurate
Physics na-ato m uto,Physics interests me
Nsonaazụ ikpeazụ dị mma,The final results are good
Masta,Masters Degree
Ha chịkọtara mkpụrụ osisi.,They harvested fruits.
Onye nkuzi zipuru ihe omumu,The teacher sent the learning material
A kụrụ osikapa n'ubi,Rice was planted on the farm
Asụsụ mmadụ siri ike nghọta,Human language is difficult to understand
Akara,Score
Onye ọkwọ ụgbọ ala,Driver
Threat,Threat
Ha wụnyere ngwanrọ ọhụrụ.,They installed new software.
Ọmụmụ Nna Ochie,Postgraduate Study
Nnwale Sistem,System Testing
Ezumike,Break Time
Nyocha Laboratory,Laboratory Test
Nwa Akwụkwọ Mahadum,University Student
Ule semester ga amalite n'izu na-abia,Semester examinations will begin next week
Akwukwo m di n'akwukwo nchekwa m,My notebook is in my school bag
Ntụle Akara,Grading
Mkpado Data,Data Labeling
Aga m aga lecture hall,I will go to the lecture hall
Ngwa ahụ chọrọ mmelite.,The application needs an update.
Nlekọta Ndị Agadi,Elderly Care
Nnyefe Ihe Omụmụ,Course Delivery
Ọ gụsịrị akwụkwọ nke ọma.,He graduated successfully.
Ụlọ Ọgwụ Gọọmenti,Government Hospital
Nlekọta Nwa,Child Care
Prọfesọ anyi nyere anyi oru,Our professor gave us an assignment
Prediction Output,Nsonaazụ Amụma
Mmụta Igwe,Machine Learning
Vice Principal,Vice Principal
Nchekasị,Anxiety
CSS,CSS
Nnwale N'Ịntanet,Online Examination
Omenala anyị bara uru.,Our culture is valuable.
Anyi na akwadebe maka ule,We are preparing for examinations
Nne,Mother
Akwụkwọ ndị a bara uru.,These books are useful.
Nkuzi N'Ịntanet,Online Teaching
Paracetamol,Paracetamol
Enwere m akpịrị ịkpọ nkụ,I am thirsty
Ịda Nnwale,Fail
Akara,Token
Cybersecurity,Cybersecurity
Word,Okwu
Hidden Layer,Oyi Akụkụ
Akụrụ,Kidney
Ntụle Mmụta,Learning Evaluation
A+,A Plus
Onye ọrụ ugbo gara n'ubi.,The farmer went to the farm.
Ana m eji Wi-Fi.,I am using Wi-Fi.
Achọrọ m ịmụ,I want to learn
Recovery,Recovery
Njikọ Okwu,Word Association
Doktọret,Doctorate Degree
Feature,Njirimara
Ọbá Akwụkwọ Dijitalụ,Digital Library
Ọbara,Blood
Sentence,Ahịrịokwu
Asụsụ Igbo chọrọ nkwado teknụzụ,The Igbo language needs technological support
Onye Nlekọta Nnwale,Invigilator
Syrup,Syrup
Ịda Mbà N'obi,Depression
A na-enye anụmanụ nri kwa ụbọchị,Animals are fed daily
Anyi chotara ihe di mkpa,We discovered important findings
Mmụta Site Na Ekwentị,Mobile Learning
Anyi jiri GPU mee ọzụzụ model,We used a GPU to train the model
Ọdụ ụgbọ elu,Airport
Monolingual Corpus,Monolingual Corpus
Ọrịa Cancer,Cancer
Kedu oge ọ bụ?,What time is it?
Ngwanrọ,Software
Tuberculosis,Tuberculosis
Nchịkọta Okwu,Corpus
Anyi mere quiz online,We completed an online quiz
A na-anakọta ụtụ isi.,Taxes are collected.
Data synthetic na-eme ka dataset buru ibu,Synthetic data increases dataset size
Sayensị,Science
Natural Language Processing bụ akụkụ AI,Natural Language Processing is a branch of AI
Artificial Intelligence,Amamihe Arụrụ Arụ
Ugbo,Farm
Ntụgharị Asụsụ Igbo Bekee,Igbo English Translation
Anyi nwere ule mgbako taa,We had a mathematics examination today
Ana m echekwa akwụkwọ ahụ n'igwe ojii.,I am saving the document to the cloud.
Nsonaazụ Test,Test Result
Dọkịta bịara n'ụtụtụ.,The doctor arrived in the morning.
Vidiyo a bara uru nke ukwuu,This video is very useful
Anyi nwere practical taa,We have practical today
Ọdụ ụgbọ mmiri,Seaport
Nsonaazụ gosiri mmezi dị ukwuu,The results showed significant improvement
Nsonaazụ,Results
Repository,Repository
Memory,Nchekwa
Context,Nkowa
Onye ọrịa zuru ike.,The patient rested.
Akpụ,Cassava
Machine Translation,Ntụgharị Asụsụ Akpaaka
Client,Client
Sentence Pair,Di Ahịrịokwu
Ntụgharị asụsụ dị ezigbo mkpa,Translation is very important
Anom na klaasi otu,I am in primary one
Ezinụlọ,Family
Anyi chekwara model ikpeazụ,We saved the final model
A na-eji fatịlaịza eme ka ihe too nke ọma,Fertilizer helps crops grow well
Ịmụ Nwa,Child Delivery
Anyi dere ngwanrọ ọhụrụ,We developed new software
Nlekọta Nwaanyị Dị Ime,Antenatal Care
Anyi guru sayensi taa,We studied science today
Dean,Dean
A ga-eme ntuli aka echi.,The election will take place tomorrow.
Ọrụ Ubi,Cultivation
Onye isi ụlọ akwụkwọ bịara.,The principal arrived.
Anom na klas online,I am attending an online class
Ahịrị,Row
Tiketi,Ticket
Ọgwụ Nchekwa Ahụ,Supplement
Spyware,Spyware
Text Generation,Mepụta Okwu
Ihe Omụmụ,Course Material
Ndị Ọrụ,Non Academic Staff
Ji toro nke ọma,Yam grew well
Classification,Nkewa
Model ahụ nwekwara ike ịtụgharị Bekee gaa Igbo,The model can also translate English to Igbo
Aga m abanye na portal ulo akwukwo,I will log into the school portal
Ekele m gị,I greet you
Feature,Feature
Aga m ede ule echi,I will write an examination tomorrow
Corpus,Nchịkọta Okwu
Achọrọ m nri,I want food
Onye nkụzi jụrụ ajụjụ.,The teacher asked a question.
Anyi ga-enyocha arụmọrụ model,We will evaluate the model performance
Sedative,Sedative
Ọrịa Akpụkpọ Ahụ,Skin Disease
Mgbu Afọ,Stomach Pain
Gọvanọ kwuru okwu taa.,The governor spoke today.
Ụlọ Ndị Inyom,Maternity Ward
Anyi nyefere report anyi,We submitted our report
Paswọọdụ ahụ dị nchebe.,The password is secure.
Ọrụ ugbo,Farming
CSV File,CSV File
Context Vector,Context Vector
Nọọsụ,Nurse
Onye nkụzi na-akụzi mgbakọ.,The teacher is teaching mathematics.
Anyi kụrụ ọka n'ubi,We planted maize on the farm
Anyi nwere tutorial taa,We have a tutorial today
Ọka,Maize
Merge,Merge
Mgbochi Ọrịa,Disease Prevention
Anyi zara ajuju nile,We answered all the questions
A họpụtara onye isi ọhụrụ.,A new leader was elected.
igbo,english
Nkuzi Dị Ndụ,Live Class
Nọrọ nke ọma,Stay well
Nnyocha Ọnụ,Oral Test
Onye Ugbo,Farmer
Hosting,Hosting
Aga m ede WAEC,I will write WAEC
Software Engineering,Software Engineering
A ga-enyocha ogo ntụgharị asụsụ,Translation quality will be evaluated
Ndebanye Nnwale,Examination Registration
Mmepe Ugbo,Agricultural Development
Release,Release
Nkewa Ahịrịokwu,Sentence Segmentation
Nduzi,Guidance
GitHub,GitHub
Analysis,Analysis
Ọsịsa,Diarrhea
Aga m agu akwukwo abalị a,I will study tonight
Encryption,Encryption
Hacker,Hacker
Enwerem seminar echi,I have a seminar tomorrow
Branch,Branch
Nyocha,Diagnosis
Nwa,Child
GitLab,GitLab
Encoder State,Ọnọdụ Encoder
Deployment,Deployment
Evaluation Metric,Ntụle
Bọs ahụ eruola,The bus has arrived
Obodo chọrọ mmepe.,The community needs development.
Mgbochi Nsị,Antiseptic
Encoder,Encoder
Nnyocha Ederede,Written Test
Nwata ahụ nwere ọkụ.,The child has a fever.
Nnwale,Testing
Ide Ihe,Writing
Bọdụ,Board
Nwa nwoke,Son
Translation Model,Nlereanya Ntụgharị Asụsụ
Mkpụrụ osisi,Fruit
BLEU Score,BLEU Score
Anom na klaasi ise,I am in primary five
Responsive Design,Responsive Design
Onye nlekota ule nyochara akwukwo anyi,The invigilator checked our papers
Scrum,Scrum
Ana m ede koodu ọhụrụ.,I am writing new code.
Akwụkwọ nri toro nke ọma.,The vegetables grew well.
Ọkpụkpụ,Bone
Nri Osisi,Plant Nutrients
Fiziks,Physics
Ikpo okwu mmuta a bara uru,This learning platform is useful
Anyi jiri BLEU score nyochaa model,We used BLEU score to evaluate the model
Dose,Dosage
Enweghị nsogbu,No problem
Ana m ewere ụgbọ ala,I am taking a car
Ọrịa Ntị,Ear Infection
Ọrịa Obi Ọjọọ,Heart Failure
Aga m ebudata akwukwo PDF,I will download the PDF document
Ụgbọ ala,Car
Anyi na-anakọta data maka nyocha,We are collecting data for research
Akwụkwọ,Book
Accuracy,Izi Ezi
Nlekọta Ahụike Obodo,Community Healthcare
Ọfịs ahụ meghere n'ụtụtụ.,The office opened in the morning.
SQL,SQL
Afọ Akwụkwọ,Academic Session
Ụlọ Nlekọta Mberede,Emergency Unit
Biko,Please
GPU,GPU
Checkpoint,Ebe Nchekwa
Dọkịta,Doctor
React,React
Injection,Injection
Nchekwa Data,Data Storage
Ọbá Akwụkwọ,Library
Anyi ga-emezi model n'ọdịnihu,We will improve the model in the future
Nwa akwụkwọ ahụ meriri asọmpi.,The student won the competition.
Attention,Nlebara Anya
Authentication,Authentication
Enwere m obi ụtọ,I am happy
Parallel Corpus,Parallel Corpus
Documentation,Documentation
Akara m ka mma ugbu a,My grades are better now
Ọ dị m nwute,I am sorry
Ndekọ Mmụta,Learning Record
Asụsụ Igbo bụ asụsụ nwere obere data,Igbo is a low-resource language
Anom na klaasi abuo,I am in primary two
Dimension,Dimension
Ha nụrụ ihe onye nkụzi kwuru.,They heard what the teacher said.
Aga m ede ule ikpeazu,I will write the final examination
Aga m ede NECO,I will write NECO
Ebudaram ihe omumu ahu,I downloaded the course material
Pensụl,Pencil
Ọgwụ Akwụkwọ,Prescription Drug
Restore,Restore
Inference,Nkọwa Model
Minista ahụ nyere akụkọ.,The minister gave a report.
Anom na klaasi ano,I am in primary four
Nri ọma na-eme ka ahụ dị ike.,Good food keeps the body healthy.
Onye ọrịa,Patient
Ngwaike,Hardware
Mpempe Ajụjụ,Question Paper
A kwadoro mmefu ego.,The budget was approved.
Nchekwa,Storage
Anya,Eye
Mmemme,Program
Njem ahụ dị ogologo,The journey is long
Kọmputa,Computer
Nnyefe Ọrịa,Patient Referral
Nyocha Mkparịta Ụka,Dialogue Analysis
Pull Request,Pull Request
Anyi nwere workshop n'izu a,We have a workshop this week
Aga m lelee vidiyo ahu ozo,I will watch the video again
Imeju,Liver
Kemistri siri ike,Chemistry is difficult
Ọ bụ eziokwu,It is true
Decoder,Decoder
Ọgwụ Mgbu,Pain Reliever
Mmejọ Nnwale,Examination Malpractice
Security Policy,Security Policy
Daalụ nke ukwuu,Thank you very much
Nsogbu Uche,Mental Illness
Nchọpụta Asụsụ,Language Detection
Ana m eji ekwentị m eme ihe.,I am using my phone.
Weebụsaịtị,Website
Nsonaazụ Ọma,Good Result
A ga-eme gị ọgwụgwọ.,You will receive treatment.
Mkpụrụ Ọgwụ,Tablet
Data validation nyere aka nyochaa model,Validation data helped evaluate the model
Ọrịa Shuga,Diabetes
Nwa Akwụkwọ,Pupil
Select,Select
Ahụ ike,Health
Anyi na-arụ ọrụ na asụsụ Igbo,We are working with the Igbo language
Anyi kparita uka na forum mmuta,We discussed in the learning forum
Anyi na-eme njem taa,We are travelling today
Ụlọ omeiwu zukọrọ.,The parliament held a meeting.
Nkuzi Ọnụ,Audio Lecture
Nhazi Lemma,Lemmatization
Ọgbọ Okwu,Text Generation
Nnwale Ikpeazụ,Final Examination
Requirement,Requirement
Nchekwa Ahụ Ike,Health Protection
A ga-atụgharị ahịrịokwu a,This sentence will be translated
Onye Nnyocha,Researcher
Anyi nyefere assignment anyi,We submitted our assignment
A ga-ewu ụzọ ọhụrụ.,A new road will be constructed.
Ana m ezipu ozi email.,I am sending an email.
HTML,HTML
Ịntanetị ahụ dị ngwa.,The internet is fast.
Ebe ụgbọ ala na-akwụsị,Bus Stop
Firewall,Firewall
Ọrịa,Disease
Data ahụ echekwara nke ọma,The data was stored properly
Nchekwa Nsonaazụ,Result Management
Maintenance,Maintenance
Nna,Father
Nkọwa,Prediction
F,Fail Grade
Anaesthesia,Anaesthesia
Vocabulary Mapping,Mapping Vocabulary
Aga m ebipụta nchoputa m,I will publish my research
Mkpụrụ Osisi,Seed
Bursar,Bursar
Nwa akwụkwọ nọ n'ụlọ akwụkwọ.,The student is in school.
Ọrịa Anya,Eye Disease
MySQL,MySQL
Malware,Malware
Password,Password
Domain Name,Domain Name
Ụlọ Nwata,Children Ward
Mmegharị Model,Model Loading
Ee eriela m,Yes I have eaten
C,Credit
Ụgbọ Mberede,Ambulance
Anyi ga-ahụ echi,We will meet tomorrow
Immunization,Immunization
NECO,NECO
Ndị Nkuzi,Academic Staff
Two Factor Authentication,Two Factor Authentication
Anyi malitere ule n'oge,We started the examination on time
Nchọpụta Njehie,Error Detection
Nchọpụta Isiokwu,Topic Detection
Anyi jikọtara sava ahụ,We connected the server
Ajụjụ,Question
Ehi ahụ na-ata ahịhịa.,The cow is grazing.
Mgbali Ọbara,Blood Pressure
A ga-eme nyocha.,An investigation will be conducted.
Delete,Delete
Ụgbọ elu,Airplane
Ụlọ Ọgwụ Obodo,Clinic
Ndebanye Akwụkwọ,Registration
Onye Ọrịa,Patient
Antimalarial,Antimalarial Drug
Nnyocha,Evaluation
Ndebanye Ọrịa,Patient Registration
Ọ bụ elekere atọ,It is three o'clock
Anyi gara ulo akwukwo taa,We went to school today
Enwerem lecture n'ututu,I have a lecture this morning
Onye ugbo,Farmer
Mmiri,Irrigation Water
Ịntanetị anaghị arụ ọrụ taa,The internet is not working today
Onye nkuzi nyochara akwukwo ule anyi,The teacher marked our examination scripts
Hyperparameter,Hyperparameter
Ubi,Farm
Security Update,Security Update
Ụbọchị Nnwale,Examination Date
Ndo,Sorry
Ahụ́ Ọma,Wellness
Nchekwa Okwu,Vocabulary
Nkwukọrịta Nkuzi,Educational Communication
Oche,Chair
Ọrịa Na-efe Efe,Infectious Disease
Nyocha Mkpụrụedemede,Character Analysis
Ezinụlọ m,My family
Anọ m ebe a,I am here
Target Language,Asụsụ Ebumnuche
Ehi ahụ mụrụ nwa,The cow gave birth
Anyi na-ewu translator ọhụrụ,We are building a new translator
Typhoid,Typhoid Fever
Generation,Mepụta
Component,Component
Prọfesọ toro oru anyi,The professor praised our work
Anyị na-eme emume ọdịnala.,We are celebrating a cultural festival.
Osikapa dị njikere maka owuwe ihe ubi.,The rice is ready for harvest.
Sequence Model,Sequence Model
Ahịhịa,Weed
Kedu aha gị?,What is your name?
Nyocha Ahịrịokwu,Sentence Analysis
Ha mụtara akụkọ ihe mere eme.,They studied history.
Akpụkpọ Ahụ,Skin
Nnyocha,Test
Attack,Attack
Akwukwo nri,Vegetable
Nyocha Akwụkwọ,Literature Review
Nkwado Ahụike,Health Support
A ga-enyocha ọbara gị.,Your blood will be tested.
Ụlọ Ọgwụ,Hospital
Anyi na-ewu usoro ntụgharị asụsụ,We are building a translation system
Nchekwa Ọgwụ,Drug Storage
Anyi nwere ule online,We have an online test
Nlekọta Ọrịa,Patient Care
JAMB,JAMB
Gọọmenti,Government
Ngwaọrụ ahụ nwere batrị ọhụrụ.,The device has a new battery.
Foreign Key,Foreign Key
Portal ulo akwukwo na aru oru nke oma,The school portal is functioning properly
Anyi mechara ule anyi,We completed our examination
Decoder Output,Nsonaazụ Decoder
Nchịkọta GPA,GPA Calculation
Ọgwụgwọ,Treatment
Anom na klaasi ato,I am in primary three
Ụbọchị Ngwụcha Ọgwụ,Expiry Date
Anyi na-atụgharị Igbo gaa Bekee,We translate Igbo into English
Query,Query
Mmetụta Ọgwụ,Side Effect
Ọnụọgụ Batch,Batch Size
Kedu ihe ị chọrọ?,What do you want?
Nchịkọta Akụkọ,Text Summarization
Ha kụrụ ọka.,They planted maize.
Django,Django
Ana m aga ahịa,I am going to the market
Nchịkọta Data,Data Collection
Aga m akwadebe nke oma maka ule,I will prepare properly for the examination
Traktọ,Tractor
Nkwado Ahụ Ike,Health Promotion
Anyi na-eme nyocha,We are conducting research
Egwuregwu,Sports
Bayoloji,Biology
Ntụgharị Asụsụ,Machine Translation
Ntụgharị Asụsụ,Translation
Mmepe Sistem,System Development
Mba eribeghị m,No I have not eaten
Nchịkọta Orụ,Project Summary
Kọmputa ahụ na-arụ ọrụ nke ọma,The computer is working properly
D,Pass Grade
Ha na-azụ ewu.,They are raising goats.
A wepụrụ data ugboro ugboro,Duplicate data was removed
Ka ọ dị?,How is it?
Chatbot,Chatbot
Nkuzi N'ebe Dị Iche,Ict Based Learning
Language Model,Language Model
Ịntanetị,Internet
Robot ahụ na-arụ ọrụ ngwa ngwa.,The robot works quickly.
Ịba,Malaria
PostgreSQL,PostgreSQL
Ehihie ọma,Good afternoon
Kọmputa ahụ na-arụ ọrụ nke ọma.,The computer is working properly.
Anyi gara laboratory taa,We went to the laboratory today
Record,Record
Nyocha Nsonaazụ,Result Analysis
Achọrọ m mmiri,I want water
Ị riela nri?,Have you eaten?
Prescription,Prescription
Ụlọ akwụkwọ meghere n'ụtụtụ.,The school opened in the morning.
Nchekwa Data,Data Security
Nlekọta Ọgwụ,Medication Management
Anyi na-atụgharị Bekee gaa Igbo,We translate English into Igbo
Ibuprofen,Ibuprofen
Aga m agụ maka ule semester,I will study for the semester examination
Ọkụkọ ahụ tinyere akwa,The chicken laid eggs
Model ahụ nwere ike ịtụgharị ederede,The model can translate text
Kedu ebe ị na-aga?,Where are you going?
Vue,Vue
Nlekọta Ahụike Obodo,Community Health
M natara ozi email sitere n'aka onye nkuzi,I received an email from the lecturer
Ubi ahụ buru ibu,The farm is large
Model ahụ mụtara site na ọtụtụ atụ,The model learned from many examples
WAEC,WAEC
Embedding Layer,Embedding Layer
Nyocha N'Ịntanet,Online Assessment
Nsonaazu ule aputala,The examination result has been released
Mepụta Ahịrịokwu,Sentence Generation
VPN,VPN
Ihe Omụmụ,Lesson
Aha m bụ John,My name is John
Mmechi,Conclusion
Ọkwa Shuga,Blood Sugar Level
Anyi jikọtara data ọhụrụ na data mbụ,We combined new data with the original data
Ọrịa Imeju,Liver Disease
Backpropagation,Mgbasa Azụ
Mgbu Isi,Headache
User Experience,User Experience
Mgbakọ,Computation
Ịmata Aha,Named Entity Recognition
Nsonaazụ,Output
Geography,Geography
Orụ Ngo Afọ Ikpeazụ,Final Year Project
Nkwadebe na-eweta ezigbo nsonaazu,Preparation leads to good results
Asambodo,Certificate
Vector,Vector
Okporo ụzọ,Road
Anyi ga-akọ ugbo n'afọ a,We will farm this year
Mmeghachi Ọgwụ,Drug Reaction
Nna ochie kwuru akụkọ.,The elder told a story.
Epoch,Epoch
Mmụta N'Ịntanet,Online Learning
FastAPI,FastAPI
Akwụkwọ Ndebanye,Attendance Register
Nlele,Validation
