english,igbo
The program helps many people.,Mmemme ahụ na-enyere ọtụtụ mmadụ aka.
People can participate in the program.,Ndị mmadụ nwere ike isonye na mmemme ahụ.
The government supports agriculture.,Gọọmenti na-akwado ọrụ ugbo.
The farmers received assistance.,Ndị ọrụ ugbo nwetara enyemaka.
The assistance helped the farmers.,Enyemaka ahụ nyere ndị ọrụ ugbo aka.
The government supports small businesses.,Gọọmenti na-akwado obere azụmahịa.
Small businesses create jobs.,Obere azụmahịa na-emepụta ọrụ.
Many people depend on small businesses.,Ọtụtụ mmadụ na-adabere n'obere azụmahịa.
The government protects the environment.,Gọọmenti na-echekwa gburugburu ebe obibi.
Pollution damages the environment.,Gbururu na-emebi gburugburu ebe obibi.
People should protect the environment.,Ndị mmadụ kwesịrị ichekwa gburugburu ebe obibi.
The government made a new law.,Gọọmenti mere iwu ọhụrụ.
The new law came into effect.,Iwu ọhụrụ ahụ malitere ịrụ ọrụ.
People learned about the law.,Ndị mmadụ mụtara banyere iwu ahụ.
It is important to follow the law.,Ọ dị mkpa ịgbaso iwu.
A person who breaks the law may be punished.,Onye mebiri iwu nwere ike ịta ahụhụ.
The court handles legal matters.,Ụlọ ikpe na-eleba anya n'okwu iwu.
A lawyer helps people.,Onye ọka iwu na-enyere ndị mmadụ aka.
People want justice.,Ndị mmadụ chọrọ ikpe ziri ezi.
Justice is important in a community.,Ikpe ziri ezi dị mkpa n'obodo.
The government supports public health.,Gọọmenti na-akwado ahụike ọha.
Health workers help patients.,Ndị ọrụ ahụike na-enyere ndị ọrịa aka.
Disease can affect a community.,Ọrịa nwere ike imetụta obodo.
The government conducts health campaigns.,Gọọmenti na-eme mkpọsa ahụike.
Health campaigns provide important information.,Mkpọsa ahụike na-enye ozi dị mkpa.
People should follow health advice.,Ndị mmadụ kwesịrị ịgbaso ndụmọdụ ahụike.
The government supports education.,Gọọmenti na-akwado agụmakwụkwọ.
All children should receive education.,Ụmụaka niile kwesịrị inweta agụmakwụkwọ.
Education helps a community develop.,Agụmakwụkwọ na-enyere obodo aka ito eto.
Leaders make plans for the future.,Ndị isi na-eme atụmatụ maka ọdịnihu.
The plan is for community development.,Atụmatụ ahụ bụ maka mmepe obodo.
Development requires the support of the people.,Mmepe chọrọ nkwado nke ndị mmadụ.
People work together with the government.,Ndị mmadụ na-arụkọ ọrụ na gọọmenti.
Working together brings development.,Ịrụkọ ọrụ ọnụ na-eweta mmepe.
Good governance makes a community strong.,Ezi ọchịchị na-eme ka obodo sie ike.
The government and the people should work together.,Gọọmenti na ndị mmadụ kwesịrị ịrụkọ ọrụ ọnụ.
