english,igbo
He exercises every morning.,Ọ na-eme mmega ahụ kwa ụtụtụ.
Walking is good exercise.,Ije ije bụ ezigbo mmega ahụ.
Adequate sleep is important.,Ụra zuru oke dị mkpa.
He sleeps for eight hours every night.,Ọ na-ehi ụra awa asatọ kwa abalị.
Lack of sleep can affect health.,Enweghị ụra nwere ike imetụta ahụike.
It is important to avoid too much stress.,Ọ dị mkpa izere nrụgide dị ukwuu.
Stress can affect the body and mind.,Nrụgide nwere ike imetụta ahụ na uche.
He rests when he is tired.,Ọ na-ezu ike mgbe ọ gwụrụ ike.
The doctor gave the patient medicine.,Dọkịta nyere onye ọrịa ọgwụ.
The patient should take his medicine.,Onye ọrịa kwesịrị ịṅụ ọgwụ ya.
He takes the medicine twice a day.,Ọ na-aṅụ ọgwụ ugboro abụọ n'ụbọchị.
It is important to follow the doctor's instructions.,Ọ dị mkpa ịgbaso ntụziaka dọkịta.
The patient should take the medicine on time.,Onye ọrịa kwesịrị ịṅụ ọgwụ n'oge.
He does not always take his medicine.,Ọ naghị aṅụ ọgwụ ya mgbe niile.
The doctor gave him medicine for the cough.,Dọkịta nyere ya ọgwụ maka ụkwara.
The medicine helped reduce the pain.,Ọgwụ ahụ nyere aka belata ihe mgbu.
It is not good to take medicine without advice.,Ọ dịghị mma ịṅụ ọgwụ n'enweghị ndụmọdụ.
The patient should tell the doctor everything.,Onye ọrịa kwesịrị ịgwa dọkịta ihe niile.
The doctor asked the patient questions.,Dọkịta jụrụ onye ọrịa ajụjụ.
The patient described his symptoms.,Onye ọrịa kọwara ihe mgbaàmà ya.
The illness started in the morning.,Ọrịa ahụ malitere n'ụtụtụ.
He has had a fever for two days.,Ọ na-enwe ahụ ọkụ kemgbe ụbọchị abụọ.
The doctor conducted an examination.,Dọkịta mere nyocha.
The test result is good.,Nsonaazụ nyocha ahụ dị mma.
The patient needs another test.,Onye ọrịa chọrọ nyocha ọzọ.
The hospital has equipment.,Ụlọ ọgwụ nwere akụrụngwa.
Health workers work hard.,Ndị ọrụ ahụike na-arụsi ọrụ ike.
Health workers care for patients.,Ndị ọrụ ahụike na-elekọta ndị ọrịa.
Children need special care.,Ụmụaka chọrọ nlekọta pụrụ iche.
The mother takes care of her child.,Nne na-elekọta nwa ya.
The child has a fever.,Nwa ahụ nwere ahụ ọkụ.
The mother took the child to the hospital.,Nne kpọgara nwa ahụ ụlọ ọgwụ.
Children should eat healthy food.,Ụmụaka kwesịrị iri nri dị mma.
Vaccination protects children from disease.,Ịgba ọgwụ mgbochi ọrịa na-echebe ụmụaka.
The child received a vaccination.,Nwa ahụ nwetara ọgwụ mgbochi ọrịa.
It is important to get vaccinated.,Ọ dị mkpa ịgba ọgwụ mgbochi ọrịa.
Some diseases can be prevented.,Ọrịa ụfọdụ nwere ike igbochi.
Many diseases spread through germs.,Ọtụtụ ọrịa na-agbasa site na nje.
Cleanliness helps prevent germs.,Ịdị ọcha na-enyere aka igbochi nje.
We should avoid sharing certain items.,Anyị kwesịrị izere ịkekọrịta ihe ụfọdụ.
It is important to be careful during an outbreak.,Ọ dị mkpa ịkpachara anya n'oge ọrịa.
People should follow health advice.,Ndị mmadụ kwesịrị ịgbaso ndụmọdụ ahụike.
Diabetes requires regular care.,Ọrịa shuga chọrọ nlekọta mgbe niile.
High blood pressure can be dangerous.,Ọbara mgbali elu nwere ike ịdị ize ndụ.
The patient should check his health.,Onye ọrịa kwesịrị ịlele ahụike ya.
Regular health checkups are important.,Nyocha ahụike mgbe niile dị mkpa.
He went for a medical checkup.,Ọ gara nyocha ahụike.
The doctor tested his blood.,Dọkịta nyochara ọbara ya.
The human body needs good food.,Ahụ mmadụ chọrọ ezigbo nri.
Vitamins help the body.,Vitamin na-enyere ahụ aka.
Iron is important for the body.,Ígwè dị mkpa maka ahụ.
It is important to drink enough water.,Ọ dị mkpa ịṅụ mmiri zuru oke.
Drinking alcohol can harm health.,Ịṅụ mmanya na-aba n'anya nwere ike imerụ ahụike.
Smoking damages health.,Ise siga na-emebi ahụike.
It is important to avoid things that harm the body.,Ọ dị mkpa izere ihe ndị na-emebi ahụ.
Mental health is also important.,Ahụike uche dịkwa mkpa.
Talking to someone can help.,Ịgwa mmadụ okwu nwere ike inye aka.
He needs the support of his family.,Ọ chọrọ nkwado nke ezinụlọ ya.
The family takes care of the patient.,Ezinụlọ na-elekọta onye ọrịa.
His friends gave him support.,Ndị enyi nyere ya nkwado.
Illness can affect a family.,Ọrịa nwere ike imetụta ezinụlọ.
It is important to seek help early.,Ọ dị mkpa ịchọ enyemaka n'oge.
The patient went to the hospital early.,Onye ọrịa gara ụlọ ọgwụ n'oge.
The doctor told him to rest.,Dọkịta gwara ya ka ọ zuru ike.
He recovered after receiving treatment.,Ọ gbakere mgbe ọ nwetara ọgwụgwọ.
The illness stopped after treatment.,Ọrịa ahụ kwụsịrị mgbe ọgwụgwọ gasịrị.
Healthcare helps people live longer lives.,Nlekọta ahụike na-enyere ndị mmadụ aka ibi ndụ ogologo.
Protecting health is everyone's responsibility.,Ịchekwa ahụike bụ ọrụ onye ọ bụla.
