id,igbo,english,domain,source,verified,review_notes
MON040,Onye nwe ụlọ ahịa ahụ na-elekọta ndị ọrụ ya.,the company hired a person for the company.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON041,Omenala Igbo nwere ọtụtụ ihe pụrụ iche.,many traditions is a person.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON042,Ndị obodo na-eme emume kwa afọ.,the community prepared for celebrations.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON043,Ezinụlọ ahụ kwadebere maka emume ọdịnala.,the family is traditional for the family.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON044,Ndị okenye na-akụziri ụmụaka omenala.,children should know their culture.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON045,A na-asọpụrụ ndị okenye n'obodo.,the community prepared the community.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON046,Egwu ọdịnala na-atọ ọtụtụ mmadụ ụtọ.,many people use music is traditional music.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON047,Ndị mmadụ gbakọtara maka emume ahụ.,people speak for the celebration.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON048,Akụkọ ndị nna nna bara uru nke ukwuu.,the stories of ancestors.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON049,Ụmụaka na-amụta egwu ọdịnala n'ụlọ akwụkwọ.,the children are playing of the children from school.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON050,Omenala na-ejikọta ndị mmadụ ọnụ.,people together brings culture.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON051,Ndị obodo na-akwado emume ha nke ọma.,they have a community development.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON052,A na-eji egwu eme emume dị iche iche.,music is uses igbo people.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON053,Ndị okenye kọọrọ ụmụaka akụkọ n'abalị.,the children learned about a story.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON054,Asụsụ bụ akụkụ dị mkpa nke omenala.,learning is an important part of culture.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON055,Ọtụtụ ezinụlọ na-echekwa omenala ha.,they many families.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON056,Emume ahụ malitere n'ehihie.,the celebration took place in the celebration.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON057,Ndị mmadụ yi uwe ọdịnala n'emume ahụ.,people wore traditional clothes.,culture,baseline_model_round_1,yes,Correct translation.
MON058,A na-akụziri ụmụaka nkwanye ùgwù.,children good governance makes a person.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON059,Omenala na-agbanwe nwayọọ nwayọọ.,culture are an important.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON060,Obodo ahụ nwere ọtụtụ akụkọ ihe mere eme.,the town has many places of many places of worship.,culture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON061,Kedu ka ị mere taa?,where are you?,daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON062,A mere m nke ọma.,i am well.,daily_conversation,baseline_model_round_1,yes,Correct translation.
MON063,Ebee ka ị na-aga?,where are you doing?,daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON064,Ana m aga n'ụlọ.,i am going home.,daily_conversation,baseline_model_round_1,yes,Correct translation.
MON065,Biko nyere m aka.,please help me.,daily_conversation,baseline_model_round_1,yes,Correct translation.
MON066,Achọrọ m ịjụ gị ajụjụ.,i want to learn.,daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON067,Gịnị ka ị na-eme ugbu a?,what are you doing?,daily_conversation,baseline_model_round_1,yes,Correct translation.
MON068,Ana m agụ akwụkwọ.,i am going to school.,daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON069,Ị nwere oge taa?,do you have time?,daily_conversation,baseline_model_round_1,yes,Correct translation.
MON070,"Ee, enwere m oge.","yes, i have time.",daily_conversation,baseline_model_round_1,yes,Correct translation.
MON071,Biko chere obere oge.,please for a moment.,daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON072,A ga m alaghachi echi.,i am not feeling well.,daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON073,Echegbula onwe gị.,thank you.,daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON074,Aghọtara m ihe ị kwuru.,you are you doing?,daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON075,Amaghị m azịza ya.,i am sleepy.,daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON076,Ka anyị gaa ọnụ.,let us talk.,daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON077,"Ọ dị mma, enweghị nsogbu.",it is not good.,daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON078,Kpọọ m mgbe ị rutere.,"no, i do not know.",daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON079,A hụrụ m gị n'anya.,i am at home.,daily_conversation,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON080,Ka chi fo.,good morning.,daily_conversation,baseline_model_round_1,yes,Correct translation.
MON081,Ụmụ akwụkwọ na-amụ ihe n'ụlọ akwụkwọ.,the students study at home.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON082,Onye nkuzi na-akọwa ihe ọhụrụ.,the teacher explained the teacher.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON083,Akwụkwọ a nwere ọtụtụ ihe ọmụma.,many young people has a book.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON084,Ọmụmụ ihe chọrọ mgbalị.,learning is want.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON085,Ụmụ akwụkwọ na-akwadebe maka ule.,the students are an important for an examination.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON086,Onye nkuzi nyere ụmụ akwụkwọ ọrụ ụlọ.,the teacher gave teacher gave them homework.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON087,Ụlọ akwụkwọ ahụ nwere nnukwu ọbá akwụkwọ.,the student has a big dream.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON088,Ọ na-agụ akwụkwọ kwa mgbede.,he has a book.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON089,Ụmụ akwụkwọ na-ajụ ajụjụ n'oge klaasị.,the students study in the classroom.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON090,Agụmakwụkwọ dị mkpa maka ọdịnihu.,education is important for crops.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON091,Onye nkuzi dere ihe n'elu bọọdụ.,the teacher gave marks.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON092,Ụmụ akwụkwọ bịara klaasị n'oge.,the students study in the classroom.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON093,Akwụkwọ kọmputa dị n'elu tebụl.,the book is on the book.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON094,Ọ na-amụ sayensị na mgbakọ na mwepụ.,he studies learning about culture.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON095,Ule ahụ ga-amalite n'izu na-abịa.,the examination will took place in the town.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON096,Ụmụ akwụkwọ na-arụ ọrụ ọnụ.,the students work together.,education,baseline_model_round_1,yes,Correct translation.
MON097,Ọgụgụ na-enyere mmadụ aka ịmụ ihe.,learning helps a person.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON098,Onye nkuzi jụrụ ajụjụ dị mkpa.,the teacher is important part of the teacher.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON099,Ụmụ akwụkwọ ahụ gafere ule ha.,the students wrote their examination.,education,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON100,Ọ chọrọ ịga mahadum n'ọdịnihu.,he wants to go to university.,education,baseline_model_round_1,yes,Correct translation.
MON101,Ụtụtụ a dị jụụ nke ukwuu.,the morning is good.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON102,Anyanwụ na-enwu taa.,the phone is satisfied.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON103,E nwere ọtụtụ mmadụ n'okporo ụzọ.,many people love has a person.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON104,Nwa ahụ na-egwu egwu n'èzí.,the family works on time.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON105,Nne m na-esi nri n'ọnụ ụlọ.,my mother is at home.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON106,Anyị gara njem n'ụtụtụ.,we went to a good morning.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON107,Ụlọ ahụ dị nso n'ahịa.,the market is at home.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON108,Ọtụtụ mmadụ nọ n'ụlọ.,many people speak at home.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON109,Akwụkwọ ahụ dị n'elu tebụl.,the book is on the book.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON110,Ọ na-ehi ụra ugbu a.,he wants to a person.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON111,Ụbọchị taa dị ọkụ.,the business is good.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON112,Ndị enyi ahụ na-akparịta ụka.,the people welcomed the file.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON113,Ọ zụtara uwe ọhụrụ.,he received a new email.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON114,Anyị na-echere ụgbọ ala.,we will plant crops tomorrow.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON115,Ọtụtụ ụmụaka na-egwu bọl.,the children are many traditions.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON116,Nne na nna ya nọ n'ụlọ.,the children are in the bank.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON117,A na-anụ egwu n'ebe dị anya.,come here.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON118,Ọ gara ịzụ nri.,he went to a food.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON119,Ha biri n'obodo ahụ ogologo oge.,they irrigate during the town.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON120,Anyị ga-ahụ ibe anyị echi.,we will plant crops tomorrow.,general,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON121,Gọọmenti na-arụ ọrụ maka ụmụ amaala.,the government builds schools.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON122,Ndị obodo chọrọ ezi ọchịchị.,the community want to know.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON123,A họpụtara onye isi ọhụrụ.,the new leader made a new law.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON124,Ụlọ ọrụ gọọmenti na-enye ọrụ dị iche iche.,the government provides different services.,government,baseline_model_round_1,yes,Correct translation.
MON125,Ndị mmadụ gara votu n'ụbọchị ntuli aka.,people have a good day.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON126,Iwu obodo kwesịrị ichebe ụmụ amaala.,the students should learn.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON127,Gọọmenti kwupụtara atụmatụ ọhụrụ.,the government supports new law.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON128,Ndị isi obodo nwere nzukọ.,the community prepared the community.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON129,Ụlọ ọgwụ ọha na-enyere ọtụtụ mmadụ aka.,many people help.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON130,Ọrụ gọọmenti chọrọ ndị ọrụ nwere ahụmahụ.,the government supports requires their work.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON131,Ndị mmadụ na-atụ anya mgbanwe dị mma.,people seek a good life.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON132,Onye isi ahụ kwuru okwu n'ihu ọha.,the leader gave a promise.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON133,A na-eme nzukọ maka mmepe obodo.,this community development.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON134,Obodo chọrọ ezigbo okporo ụzọ.,good governance help a community.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON135,Ndị ọrụ na-arụ ọrụ n'ụlọ ọrụ ọha.,the company work on the work.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON136,Iwu ọhụrụ malitere ịrụ ọrụ.,a new law.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON137,Ndị obodo kwuru echiche ha.,they have an idea.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON138,Gọọmenti na-akwado agụmakwụkwọ.,the government supports education.,government,baseline_model_round_1,yes,Correct translation.
MON139,Ndị ọchịchị kwesịrị ige ntị n'ọnụ ndị mmadụ.,people should at the government together.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON140,Mmepe obodo chọrọ nkwado onye ọ bụla.,he needs to the community.,government,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON141,Ahụ ike dị mkpa maka mmadụ niile.,people can is important in the body.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON142,Ọ gara ụlọ ọgwụ n'ụtụtụ.,he went to the hospital in the hospital.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON143,Dọkịta nyochara onye ọrịa ahụ.,the patient should the doctor the patient.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON144,Ọ na-enwe ahụ ọkụ.,he has a fever.,health,baseline_model_round_1,yes,Correct translation.
MON145,Ndị mmadụ kwesịrị ịṅụ mmiri zuru oke.,people should tell the truth.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON146,Ịsa aka na-enyere aka igbochi ọrịa.,help the body.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON147,Ọgwụ ahụ dị n'elu tebụl.,the hospital is on the hospital.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON148,Onye ọrịa ahụ na-agbake nke ọma.,the patient is a good.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON149,Dọkịta nyere ya ndụmọdụ.,the doctor gave advice.,health,baseline_model_round_1,yes,Correct translation.
MON150,Ezinụlọ ahụ gara ụlọ ọgwụ.,the family went to the hospital.,health,baseline_model_round_1,yes,Correct translation.
MON151,Ọ dị mkpa iri nri na-edozi ahụ.,it is important to eat an important to eat different foods.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON152,Ụra zuru oke na-enyere ahụ aka.,the body helps the body.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON153,Ọ na-enwe mgbu n'afọ.,he has stomach pain.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON154,Nọọsụ nyere onye ọrịa aka.,the patient gave a person.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON155,A ga-eme nyocha ahụ echi.,the market research was helpful.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON156,Ọrịa nwere ike imetụta ọtụtụ mmadụ.,many people can affect a person.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON157,Ọ na-agbaso ndụmọdụ dọkịta.,he does not always his medicine.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON158,Ahụ ya adịghị ya mma taa.,the doctor is good.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON159,A na-enye ụmụaka ọgwụ mgbochi.,children this soil.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON160,Ịdị ọcha dị mkpa maka ahụ ike.,healthy food is important for the body.,health,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON161,Ndị mmadụ gara ụlọ ekpere n'ụtụtụ.,people go to worship in the morning.,religion,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON162,Ọ na-ekpe ekpere kwa ụbọchị.,he is every day.,religion,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON163,Ezinụlọ ahụ gara ụka ọnụ.,the family went to the family.,religion,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON164,Ndị mmadụ na-ekele Chineke maka ndụ.,people seek a good for the celebration.,religion,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON165,Onye ụkọchukwu kwuru okwu n'ihu ọha.,the patient gave a person in the farm.,religion,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON166,Ekpere na-enye ọtụtụ mmadụ olileanya.,many people seek a good quality.,religion,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON167,Ndị kwere ekwe gbakọtara maka emume.,people ask for celebrations.,religion,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON168,Ọ na-agụ akwụkwọ nsọ n'ụlọ.,he returned home.,religion,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON169,Ụlọ ekpere ahụ jupụtara na ndị mmadụ.,people seek a person ' s care.,religion,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON170,Ha na-ekpe ekpere maka ezinụlọ ha.,they pray for their family.,religion,baseline_model_round_1,yes,Correct translation.
