english,igbo
the shop opened in the morning.,Ụlọ ahịa ahụ meghere n'ụtụtụ.
the shop closed at night.,Ụlọ ahịa ahụ mechiri n'abalị.
the trader sells clothes.,Onye na-ere ahịa na-ere uwe.
they sell food at the market.,Ha na-ere nri n'ahịa.
the price of the product is high.,Ọnụ ahịa ngwaahịa ahụ dị elu.
the price of the product is low.,Ọnụ ahịa ngwaahịa ahụ dị ala.
the price changed.,Ọnụ ahịa ahụ gbanwere.
many people want this product.,Ọtụtụ ndị mmadụ chọrọ ngwaahịa a.
this product is good.,Ngwaahịa a dị mma.
the product is not good.,Ngwaahịa ahụ adịghị mma.
the customer has a question.,Onye ahịa nwere ajụjụ.
the employee answered the customer's question.,Onye ọrụ zara ajụjụ onye ahịa.
the customer called the company.,Onye ahịa kpọrọ ụlọ ọrụ ahụ.
they helped the customer.,Ha nyere onye ahịa aka.
customer service is important.,Ọrụ ndị ahịa dị mkpa.
the employee works hard.,Onye ọrụ na-arụsi ọrụ ike.
the employees arrived on time.,Ndị ọrụ bịara n'oge.
the manager has a meeting.,Onye njikwa nwere nzukọ.
the meeting started at ten o'clock.,Nzukọ ahụ malitere n'elekere iri.
they discussed the business.,Ha kwurịtara banyere azụmahịa.
the manager gave a new instruction.,Onye njikwa nyere iwu ọhụrụ.
the company has many employees.,Ụlọ ọrụ ahụ nwere ọtụtụ ndị ọrụ.
the company is looking for new employees.,Ụlọ ọrụ ahụ na-achọ ndị ọrụ ọhụrụ.
he applied for a job.,Ọ tinyere akwụkwọ maka ọrụ.
he went for a job interview.,Ọ gara ajụjụ ọnụ maka ọrụ.
the company hired a new employee.,Ụlọ ọrụ ahụ goro onye ọrụ ọhụrụ.
the employee got the job.,Onye ọrụ ahụ nwetara ọrụ ahụ.
he works full time.,Ọ na-arụ ọrụ oge niile.
he works part time.,Ọ na-arụ ọrụ nwa oge.
the employee received his salary.,Onye ọrụ nwetara ụgwọ ọnwa ya.
his salary is good.,Ụgwọ ọnwa ya dị mma.
this job requires experience.,Ọrụ a chọrọ ahụmahụ.
this job requires skills.,Ọrụ a chọrọ nkà.
he learned a new skill.,Ọ mụtara nkà ọhụrụ.
business requires good planning.,Azụmahịa chọrọ ezigbo atụmatụ.
the entrepreneur made a plan.,Onye ọchụnta ego mere atụmatụ.
they discussed the business plan.,Ha tụlere atụmatụ azụmahịa ahụ.
the plan is good.,Atụmatụ ahụ dị mma.
the business has a major challenge.,Azụmahịa ahụ nwere nnukwu ihe ịma aka.
they found a solution to the problem.,Ha chọtara ngwọta maka nsogbu ahụ.
the company conducts market research.,Ụlọ ọrụ ahụ na-eme nyocha ahịa.
the market research was helpful.,Nnyocha ahịa nyere aka.
they want to know what customers want.,Ha chọrọ ịmata ihe ndị ahịa chọrọ.
the customer gave his opinion.,Onye ahịa nyere echiche ya.
the company advertises.,Ụlọ ọrụ ahụ na-eme mgbasa ozi.
the advertisement attracted many customers.,Mgbasa ozi ahụ dọtara ọtụtụ ndị ahịa.
they advertised a new product.,Ha kpọsara ngwaahịa ọhụrụ.
the new product is in the market.,Ngwaahịa ọhụrụ ahụ dị n'ahịa.
the company promoted its product.,Ụlọ ọrụ ahụ kwalitere ngwaahịa ya.
many people saw the advertisement.,Ọtụtụ mmadụ hụrụ mgbasa ozi ahụ.
they sold many products.,Ha rere ọtụtụ ngwaahịa.
the company made a profit.,Ụlọ ọrụ ahụ nwetara uru.
the business made a large profit.,Azụmahịa ahụ nwetara nnukwu uru.
the company lost money.,Ụlọ ọrụ ahụ tụfuru ego.
they want to increase profit.,Ha chọrọ ịbawanye uru.
the cost of the business increased.,Ọnụ ego azụmahịa ahụ mụbara.
the company pays expenses.,Ụlọ ọrụ ahụ na-akwụ ụgwọ.
they paid the rent.,Ha kwụrụ ụgwọ ụlọ.
the customer paid for the product.,Onye ahịa kwụrụ ụgwọ ngwaahịa ahụ.
he paid through the bank.,Ọ kwụrụ ụgwọ site na ụlọ akụ.
the customer paid with cash.,Onye ahịa jiri ego kwụọ ụgwọ.
the company has a bank account.,Ụlọ ọrụ ahụ nwere akaụntụ ụlọ akụ.
they deposited money in the bank.,Ha debere ego n'ụlọ akụ.
he withdrew money from the bank.,Ọ wepụtara ego n'ụlọ akụ.
business requires money.,Azụmahịa chọrọ ego.
the entrepreneur borrowed money.,Onye ọchụnta ego gbaziri ego.
he paid the debt on time.,Ọ kwụrụ ụgwọ ahụ n'oge.
they need money to expand the business.,Ha chọrọ ego iji gbasaa azụmahịa.
the company opened a new branch.,Ụlọ ọrụ ahụ mepere alaka ọhụrụ.
the branch is in another city.,Alaka ahụ dị n'obodo ọzọ.
they want to expand their business.,Ha chọrọ ịgbasa azụmahịa ha.
the business grew quickly.,Azụmahịa ahụ toro ngwa ngwa.
the company operates in different cities.,Ụlọ ọrụ ahụ na-arụ ọrụ n'obodo dị iche iche.
they import products.,Ha na-ebubata ngwaahịa.
the company exports products.,Ụlọ ọrụ ahụ na-ebupụ ngwaahịa.
the product came from another city.,Ngwaahịa ahụ sitere n'obodo ọzọ.
they transported the product to the shop.,Ha bufere ngwaahịa ahụ n'ụlọ ahịa.
the vehicle carried the product.,Ụgbọala bu ngwaahịa ahụ.
the product arrived on time.,Ngwaahịa ahụ rutere n'oge.
the customer ordered a product.,Onye ahịa nyere iwu ngwaahịa.
the company received the order.,Ụlọ ọrụ ahụ natara iwu ahụ.
they prepared the product for the customer.,Ha kwadebere ngwaahịa maka onye ahịa.
the customer received his product.,Onye ahịa natara ngwaahịa ya.
the company provides different services.,Ụlọ ọrụ ahụ na-enye ọrụ dị iche iche.
the service is fast and good.,Ọrụ ahụ dị ngwa ma dị mma.
the customer is satisfied.,Onye ahịa nwere afọ ojuju.
the customer is not satisfied.,Onye ahịa enweghị afọ ojuju.
the company listened to customers' opinions.,Ụlọ ọrụ ahụ gere ntị n'echiche ndị ahịa.
they want to improve their service.,Ha chọrọ ime ka ọrụ ha ka mma.
business provides people with job opportunities.,Azụmahịa na-enye ndị mmadụ ohere ọrụ.
small businesses help families.,Obere azụmahịa na-enyere ezinụlọ aka.
many people start small businesses.,Ọtụtụ ndị na-amalite obere azụmahịa.
hard work helps a business.,Ịrụsi ọrụ ike na-enyere azụmahịa aka.
business is important for community development.,Azụmahịa dị mkpa maka mmepe obodo.
tradition is an important part of igbo life.,Ọdịnala bụ akụkụ dị mkpa nke ndụ ndị Igbo.
the igbo people have many traditions.,Ndị Igbo nwere ọtụtụ omenala.
tradition teaches us about our ancestors.,Ọdịnala na-akụziri anyị ihe gbasara ndị nna nna anyị.
the family respects their traditions.,Ezinụlọ ahụ na-asọpụrụ omenala ha.
we should preserve our culture.,Anyị kwesịrị ichekwa omenala anyị.
children learn traditions from elders.,Ụmụaka na-amụta omenala n'aka ndị okenye.
elders teach children traditional stories.,Ndị okenye na-akụziri ụmụaka akụkọ ọdịnala.
traditional stories teach many things.,Akụkọ ọdịnala na-akụzi ọtụtụ ihe.
the grandmother told a story at night.,Nne ochie kọrọ akụkọ n'abalị.
the children sat and listened to the story.,Ụmụaka nọdụrụ gee akụkọ ahụ ntị.
music is part of igbo culture.,Egwu bụ akụkụ nke omenala Igbo.
people dance at celebrations.,Ndị mmadụ na-agba egwu n'emume.
they sing traditional songs.,Ha na-abụ abụ ọdịnala.
the music is enjoyable.,Egwu ahụ na-atọ ụtọ.
the musicians play musical instruments.,Ndị egwu na-akpọ ngwá egwu.
the ubo-aka is one of the traditional musical instruments.,Ụbọ aka bụ otu n'ime ngwá egwu ọdịnala.
many people love traditional music.,Ọtụtụ mmadụ hụrụ egwu ọdịnala n'anya.
music brings people together.,Egwu na-ejikọta ndị mmadụ ọnụ.
people use music for celebrations.,Ndị mmadụ na-eji egwu eme emume.
they play music during celebrations.,Ha na-akpọ egwu n'oge emume.
dancing is part of the celebration.,Ịgba egwu bụ akụkụ nke emume.
the children dance well.,Ụmụaka na-agba egwu nke ọma.
they wore traditional clothes.,Ha yi uwe ọdịnala.
the traditional clothing is beautiful.,Uwe ọdịnala ahụ mara mma.
the women wore beautiful clothing.,Ndị inyom yi akwa mara mma.
the men wore traditional clothes.,Ndị nwoke yi uwe ọdịnala.
traditional clothing shows a person's culture.,Uwe ọdịnala na-egosi omenala mmadụ.
people wear traditional clothing for celebrations.,Ndị mmadụ na-eji akwa eme emume.
the traditional celebration began in the morning.,Emume ọdịnala ahụ malitere n'ụtụtụ.
many people came to the celebration.,Ọtụtụ ndị mmadụ bịara emume ahụ.
the celebration took place in the town.,Emume ahụ mere n'obodo.
the community prepared for the celebration.,Ndị obodo kwadebere maka emume ahụ.
the celebration went well.,Emume ahụ gara nke ọma.
they celebrated happily.,Ha ji obi ụtọ mee emume ahụ.
people greet one another at celebrations.,Ndị mmadụ na-enye ibe ha ekele n'emume.
a visitor came to the house.,Ọbịa bịara n'ụlọ ahụ.
they welcomed the visitor warmly.,Ha nabatara ọbịa nke ọma.
welcoming visitors is an important tradition.,Ịnabata ọbịa bụ omenala dị mkpa.
the igbo people respect visitors.,Ndị Igbo na-akwanyere ndị ọbịa ùgwù.
they gave food to the visitor.,Ha nyere ọbịa nri.
traditional food is part of culture.,Nri ọdịnala bụ akụkụ nke omenala.
people cook traditional food at celebrations.,Ndị mmadụ na-esi nri ọdịnala n'emume.
the house was filled with the smell of food.,Ụlọ ahụ jupụtara n'isi nri.
they cooked yam and soup.,Ha siri ji na ofe.
the food is delicious.,Nri ahụ na-atọ ụtọ.
the family ate together.,Ezinụlọ ahụ riri nri ọnụ.
sharing food brings people together.,Ịkekọrịta nri na-eme ka ndị mmadụ dịrị n'otu.
the community prepares food for visitors.,Ndị obodo na-akwadebe nri maka ndị ọbịa.
they use traditional items to prepare food.,Ha na-eji ihe ọdịnala akwadebe nri.
traditional food reflects the history of a community.,Nri ọdịnala na-egosi akụkọ obodo.
names are an important part of culture.,Aha bụ akụkụ dị mkpa nke omenala.
parents choose their children's names carefully.,Ndị nne na nna na-ahọrọ aha ụmụ ha nke ọma.
the name has a meaning.,Aha ahụ nwere ihe ọ pụtara.
they named the child after his grandfather.,Ha kpọrọ nwa ahụ aha nna nna ya.
some names remember ancestors.,Aha ụfọdụ na-echeta ndị nna nna.
the igbo people respect their ancestors.,Ndị Igbo na-asọpụrụ ndị nna nna ha.
we remember the stories of our ancestors.,Anyị na-echeta akụkọ ndị nna nna anyị.
elders tell stories about the past.,Ndị okenye na-akọ akụkọ banyere oge gara aga.
the stories of ancestors are important.,Akụkọ ndị nna nna dị mkpa.
we should learn from history.,Anyị kwesịrị ịmụta ihe n'akụkọ ihe mere eme.
the town has a long history.,Obodo ahụ nwere akụkọ ogologo.
the old building is part of the town's history.,Ụlọ ochie ahụ bụ akụkụ nke akụkọ obodo.
the community preserves historical places.,Ndị obodo na-echekwa ebe akụkọ ihe mere eme.
history teaches us lessons.,Akụkọ ihe mere eme na-akụziri anyị ihe.
students study their culture.,Ụmụ akwụkwọ na-amụ banyere omenala ha.
the school teaches traditional history.,Ụlọ akwụkwọ ahụ na-akụzi akụkọ ọdịnala.
teachers tell stories about the community.,Ndị nkuzi na-akọ akụkọ banyere obodo.
children should know their culture.,Ụmụaka kwesịrị ịma omenala ha.
learning about culture helps children.,Ọmụmụ omenala na-enyere ụmụaka aka.
culture connects different generations.,Omenala na-ejikọta ọgbọ dị iche iche.
the new generation learns from elders.,Ọgbọ ọhụrụ na-amụta ihe n'aka ndị okenye.
young people support their culture.,Ndị ntorobịa na-akwado omenala ha.
culture changes over time.,Omenala na-agbanwe ka oge na-aga.
some traditions are still alive today.,Ụfọdụ omenala ka dị ndụ taa.
we should respect different cultures.,Anyị kwesịrị ịkwanyere omenala dị iche iche ùgwù.
different communities have different cultures.,Obodo dị iche iche nwere omenala dị iche iche.
people speak different languages.,Ndị mmadụ na-asụ asụsụ dị iche iche.
language is an important part of culture.,Asụsụ bụ akụkụ dị mkpa nke omenala.
igbo is the language of the igbo people.,Igbo bụ asụsụ ndị Igbo.
language preserves the history of a community.,Asụsụ na-echekwa akụkọ obodo.
parents teach their children igbo.,Ndị nne na nna na-akụziri ụmụ ha Igbo.
children should learn their language.,Ụmụaka kwesịrị ịmụ asụsụ ha.
language helps people communicate.,Asụsụ na-enyere ndị mmadụ aka ịkparịta ụka.
the community uses igbo during celebrations.,Ndị obodo na-eji Igbo eme emume.
many people speak igbo at home.,Ọtụtụ mmadụ na-asụ Igbo n'ụlọ.
respecting elders is an important tradition.,Ịkwanyere ndị okenye ùgwù bụ omenala dị mkpa.
children greet elders.,Ụmụaka na-ekele ndị okenye.
elders give advice.,Ndị okenye na-enye ndụmọdụ.
we should listen to elders' advice.,Anyị kwesịrị ige ndụmọdụ ndị okenye ntị.
people help one another.,Ndị mmadụ na-enyere ibe ha aka.
working together is a good tradition.,Ịrụkọ ọrụ ọnụ bụ omenala dị mma.
the community worked together.,Ndị obodo rụkọrọ ọrụ ọnụ.
they helped the family.,Ha nyere ezinụlọ ahụ aka.
unity makes a community strong.,Ịdị n'otu na-eme ka obodo sie ike.
culture teaches unity.,Omenala na-akụzi ịdị n'otu.
the igbo people value family.,Ndị Igbo ji ezinụlọ kpọrọ ihe.
the family is the foundation of the community.,Ezinụlọ bụ isi obodo.
family members support one another.,Ndị ezinụlọ na-akwado ibe ha.
our culture is something we should value.,Omenala anyị bụ ihe anyị kwesịrị iji kpọrọ ihe.
preserving culture helps future generations.,Ịchekwa omenala na-enyere ọgbọ na-abịa aka.
hello.,Ndewo.
how are you?,Kedu ka ị mere?
i am fine.,Adị m mma.
are you fine?,Ị dị mma?
i am well.,Ọ dị m mma.
what are you doing?,Kedu ihe ị na-eme?
i am at home.,Anọ m n'ụlọ.
i am at work.,Anọ m n'ọrụ.
where are you going?,Ebee ka ị na-aga?
i am going to the market.,Anọ m na-aga ahịa.
i am going to school.,Aga m ụlọ akwụkwọ.
he is going to work.,Ọ na-aga ọrụ.
where do you live?,Kedu ebe ị bi?
i live in this town.,Ana m ebi n'obodo a.
what is your name?,Kedu aha gị?
my name is chinedu.,Aha m bụ Chinedu.
i am happy to meet you.,Obi dị m ụtọ izute gị.
i am also happy to meet you.,Obi dịkwa m ụtọ izute gị.
it has been a long time.,Ọ dịla anya.
where are you?,Ebee ka ị nọ?
i am here.,Anọ m ebe a.
come here.,Bịa ebe a.
go there.,Gaa ebe ahụ.
please sit down.,Biko nọdụ ala.
please stand up.,Biko bilie.
wait for a short while.,Chere obere oge.
i am coming now.,Abịa m ugbu a.
i will come tomorrow.,Aga m abịa echi.
i am leaving now.,Aga m aga ugbu a.
goodbye.,Ka ọ dị.
good morning.,Ka chi fo.
good afternoon.,Ehihie ọma.
good evening.,Ka chi bọọ.
take care.,Jisie ike.
thank you.,Daalụ.
thank you very much.,Daalụ nke ukwuu.
welcome.,Nnọọ.
sorry.,Ndo.
it is nothing.,Ọ dịghị ihe.
please help me.,Biko nyere m aka.
i will help you.,Aga m enyere gị aka.
do you need help?,Ị chọrọ enyemaka?
"yes, i need help.","Ee, achọrọ m enyemaka."
"no, i do not need help.","Mba, achọghị m enyemaka."
do you understand?,Ị ghọtara?
"yes, i understand.","Ee, aghọtara m."
"no, i do not understand.","Mba, aghọtaghị m."
please say it again.,Biko kwuo ya ọzọ.
speak slowly.,Kwuo nwayọọ.
can you explain it?,Ị nwere ike ịkọwa ya?
i do not know.,Amaghị m.
i know.,Ama m.
do you know the answer?,Ị ma azịza ya?
the answer is easy.,Azịza ya dị mfe.
this question is difficult.,Ajụjụ a siri ike.
what do you want?,Gịnị ka ị chọrọ?
i want water.,A chọrọ m mmiri.
i want food.,A chọrọ m nri.
i am hungry.,Agụụ na-agụ m.
i am thirsty.,Akpịrị na-akpọ m nkụ.
i am sleepy.,Ụra na-agụ m.
i am not feeling well.,Anaghị m enwe ahụ ike.
i am happy.,Enwere m obi ụtọ.
i am not happy.,Obi adịghị m ụtọ.
i am angry.,Iwe na-ewe m.
do not be afraid.,Atụla egwu.
there is no problem.,Enweghị nsogbu.
it is okay.,Ọ dị mma.
it is not good.,Ọ dịghị mma.
you are right.,Ị kwuru eziokwu.
you are wrong.,Ị mehiere.
i have an idea.,Enwere m echiche.
that idea is good.,Echiche ahụ dị mma.
let us go.,Ka anyị gaa.
let us start.,Ka anyị malite.
let us stop.,Ka anyị kwụsị.
what happened?,Gịnị mere?
nothing happened.,Ọ dịghị ihe mere.
who called you?,Ònye kpọrọ gị?
my mother called me.,Nne m kpọrọ m.
do you have a phone?,Ị nwere ekwentị?
"yes, i have a phone.","Ee, enwere m ekwentị."
call me when you arrive.,Kpọọ m mgbe ị rutere.
i will call you tomorrow.,Aga m akpọ gị echi.
send me a message.,Zipụ m ozi.
i will send you a message.,Aga m ezitere gị ozi.
what time is it?,Kedu oge ọ bụ?
it is time.,Oge eruola.
it is eight o'clock.,Ọ bụ elekere asatọ.
will you come tomorrow?,Ị ga-abịa echi?
"yes, i will come.","Ee, aga m abịa."
"no, i will not come.","Mba, agaghị m abịa."
do you have time?,Ị nwere oge?
"yes, i have time.","Ee, enwere m oge."
let us talk.,Ka anyị kwuo okwu.
i need to tell you something.,Ọ dị m mkpa ịgwa gị ihe.
tell me what happened.,Gwa m ihe merenụ.
i will see you later.,Aga m ahụ gị ma emechaa.
have a good day.,Ka ụbọchị ọma.
see you again.,Ka anyị hụ ọzọ.
the student is going to school.,Nwa akwụkwọ na-aga ụlọ akwụkwọ.
the students are studying.,Ụmụ akwụkwọ na-amụ ihe.
the student is reading a book.,Nwa akwụkwọ na-agụ akwụkwọ.
the teacher teaches the students.,Onye nkuzi na-akụzi ụmụ akwụkwọ.
the school is in the town.,Ụlọ akwụkwọ ahụ dị n'obodo.
the children come to school on time.,Ụmụaka na-abịa n'ụlọ akwụkwọ n'oge.
the school opened in the morning.,Ụlọ akwụkwọ ahụ meghere n'ụtụtụ.
the student has a book.,Nwa akwụkwọ ahụ nwere akwụkwọ.
the book is on the table.,Akwụkwọ ahụ dị na tebụl.
the students are in the classroom.,Ụmụ akwụkwọ nọ na klaasị.
the teacher is in the classroom.,Onye nkuzi nọ na klaasị.
the teacher wrote on the board.,Onye nkuzi dere n'elu bọọdụ.
the students are writing.,Ụmụ akwụkwọ na-ede ihe.
the student uses a pencil to write.,Nwa akwụkwọ ahụ na-eji pensụl ede ihe.
they use paper to write.,Ha na-eji akwụkwọ ede ihe.
the teacher asked a question.,Onye nkuzi jụrụ ajụjụ.
the student answered the question.,Nwa akwụkwọ ahụ zara ajụjụ ahụ.
the question is easy.,Ajụjụ ahụ dị mfe.
the question is difficult.,Ajụjụ ahụ siri ike.
the students are learning new things.,Ụmụ akwụkwọ na-amụta ihe ọhụrụ.
learning is important.,Ọmụmụ ihe dị mkpa.
education helps people.,Agụmakwụkwọ na-enyere mmadụ aka.
children should go to school.,Ụmụaka kwesịrị ịga ụlọ akwụkwọ.
parents support education.,Ndị nne na nna na-akwado agụmakwụkwọ.
the teacher helps the students.,Onye nkuzi na-enyere ụmụ akwụkwọ aka.
the student needs help.,Nwa akwụkwọ ahụ chọrọ enyemaka.
the teacher explained the topic.,Onye nkuzi kọwara ihe ahụ.
the students understood the lesson.,Ụmụ akwụkwọ ghọtara ihe ọmụmụ ahụ.
the student did not understand the question.,Nwa akwụkwọ ahụ aghọtaghị ajụjụ ahụ.
the teacher explained it again.,Onye nkuzi kọwara ya ọzọ.
they study mathematics.,Ha na-amụ mgbakọ na mwepụ.
they study science.,Ha na-amụ sayensị.
the students study the igbo language.,Ụmụ akwụkwọ na-amụ asụsụ Igbo.
they study english at school.,Ha na-amụ Bekee n'ụlọ akwụkwọ.
history is an important subject.,Akụkọ ihe mere eme bụ isiokwu dị mkpa.
geography teaches about the world.,Geography na-akụzi banyere ụwa.
the student likes science.,Nwa akwụkwọ ahụ hụrụ sayensị n'anya.
he likes reading.,Ọ masịrị ya ịgụ akwụkwọ.
reading makes a person knowledgeable.,Ịgụ akwụkwọ na-eme ka mmadụ mara ihe.
the students read books in the library.,Ụmụ akwụkwọ na-agụ akwụkwọ n'ọbá akwụkwọ.
the library has many books.,Ọbá akwụkwọ ahụ nwere ọtụtụ akwụkwọ.
the student borrowed a book.,Nwa akwụkwọ ahụ gbaziri akwụkwọ.
he returned the book.,Ọ laghachiri akwụkwọ ahụ.
